q  I(q)
1.536962e-02 5.933602e+00
1.538874e-02 5.923880e+00
1.540789e-02 5.914158e+00
1.542707e-02 5.904436e+00
1.544627e-02 5.894713e+00
1.546549e-02 5.884989e+00
1.548473e-02 5.875265e+00
1.550400e-02 5.865540e+00
1.552330e-02 5.855816e+00
1.554261e-02 5.846090e+00
1.556196e-02 5.836365e+00
1.558132e-02 5.826640e+00
1.560071e-02 5.816914e+00
1.562012e-02 5.807189e+00
1.563956e-02 5.797464e+00
1.565902e-02 5.787738e+00
1.567851e-02 5.778014e+00
1.569802e-02 5.768288e+00
1.571756e-02 5.758565e+00
1.573712e-02 5.748840e+00
1.575670e-02 5.739117e+00
1.577631e-02 5.729394e+00
1.579594e-02 5.719671e+00
1.581560e-02 5.709950e+00
1.583528e-02 5.700230e+00
1.585498e-02 5.690509e+00
1.587471e-02 5.680790e+00
1.589447e-02 5.671072e+00
1.591425e-02 5.661354e+00
1.593405e-02 5.651638e+00
1.595388e-02 5.641923e+00
1.597373e-02 5.632209e+00
1.599361e-02 5.622497e+00
1.601352e-02 5.612785e+00
1.603344e-02 5.603076e+00
1.605340e-02 5.593368e+00
1.607337e-02 5.583661e+00
1.609337e-02 5.573955e+00
1.611340e-02 5.564251e+00
1.613345e-02 5.554551e+00
1.615353e-02 5.544851e+00
1.617363e-02 5.535152e+00
1.619376e-02 5.525457e+00
1.621391e-02 5.515763e+00
1.623409e-02 5.506071e+00
1.625429e-02 5.496381e+00
1.627452e-02 5.486694e+00
1.629477e-02 5.477008e+00
1.631505e-02 5.467326e+00
1.633535e-02 5.457646e+00
1.635568e-02 5.447968e+00
1.637603e-02 5.438293e+00
1.639641e-02 5.428622e+00
1.641681e-02 5.418951e+00
1.643724e-02 5.409285e+00
1.645770e-02 5.399622e+00
1.647818e-02 5.389959e+00
1.649868e-02 5.380302e+00
1.651922e-02 5.370648e+00
1.653977e-02 5.360996e+00
1.656035e-02 5.351347e+00
1.658096e-02 5.341703e+00
1.660160e-02 5.332062e+00
1.662226e-02 5.322423e+00
1.664294e-02 5.312788e+00
1.666365e-02 5.303158e+00
1.668439e-02 5.293530e+00
1.670515e-02 5.283906e+00
1.672594e-02 5.274287e+00
1.674675e-02 5.264671e+00
1.676759e-02 5.255059e+00
1.678846e-02 5.245452e+00
1.680935e-02 5.235848e+00
1.683027e-02 5.226249e+00
1.685121e-02 5.216654e+00
1.687218e-02 5.207064e+00
1.689318e-02 5.197477e+00
1.691420e-02 5.187895e+00
1.693525e-02 5.178318e+00
1.695632e-02 5.168746e+00
1.697743e-02 5.159178e+00
1.699855e-02 5.149615e+00
1.701971e-02 5.140057e+00
1.704089e-02 5.130503e+00
1.706209e-02 5.120955e+00
1.708332e-02 5.111412e+00
1.710458e-02 5.101874e+00
1.712587e-02 5.092342e+00
1.714718e-02 5.082815e+00
1.716852e-02 5.073293e+00
1.718988e-02 5.063777e+00
1.721127e-02 5.054266e+00
1.723269e-02 5.044760e+00
1.725414e-02 5.035260e+00
1.727561e-02 5.025768e+00
1.729711e-02 5.016279e+00
1.731863e-02 5.006798e+00
1.734018e-02 4.997322e+00
1.736176e-02 4.987852e+00
1.738337e-02 4.978388e+00
1.740500e-02 4.968931e+00
1.742666e-02 4.959480e+00
1.744835e-02 4.950035e+00
1.747006e-02 4.940597e+00
1.749180e-02 4.931165e+00
1.751357e-02 4.921740e+00
1.753536e-02 4.912321e+00
1.755718e-02 4.902910e+00
1.757903e-02 4.893505e+00
1.760091e-02 4.884107e+00
1.762281e-02 4.874716e+00
1.764474e-02 4.865333e+00
1.766670e-02 4.855956e+00
1.768868e-02 4.846587e+00
1.771069e-02 4.837225e+00
1.773273e-02 4.827870e+00
1.775480e-02 4.818522e+00
1.777689e-02 4.809183e+00
1.779902e-02 4.799851e+00
1.782117e-02 4.790527e+00
1.784334e-02 4.781209e+00
1.786555e-02 4.771901e+00
1.788778e-02 4.762600e+00
1.791004e-02 4.753307e+00
1.793233e-02 4.744023e+00
1.795464e-02 4.734746e+00
1.797699e-02 4.725477e+00
1.799936e-02 4.716217e+00
1.802176e-02 4.706966e+00
1.804418e-02 4.697722e+00
1.806664e-02 4.688488e+00
1.808912e-02 4.679261e+00
1.811163e-02 4.670045e+00
1.813417e-02 4.660836e+00
1.815673e-02 4.651636e+00
1.817933e-02 4.642445e+00
1.820195e-02 4.633262e+00
1.822460e-02 4.624090e+00
1.824728e-02 4.614926e+00
1.826999e-02 4.605772e+00
1.829273e-02 4.596627e+00
1.831549e-02 4.587491e+00
1.833828e-02 4.578364e+00
1.836110e-02 4.569249e+00
1.838395e-02 4.560141e+00
1.840683e-02 4.551042e+00
1.842973e-02 4.541955e+00
1.845267e-02 4.532877e+00
1.847563e-02 4.523809e+00
1.849862e-02 4.514752e+00
1.852164e-02 4.505704e+00
1.854469e-02 4.496666e+00
1.856777e-02 4.487638e+00
1.859088e-02 4.478620e+00
1.861401e-02 4.469614e+00
1.863717e-02 4.460617e+00
1.866037e-02 4.451631e+00
1.868359e-02 4.442655e+00
1.870684e-02 4.433691e+00
1.873012e-02 4.424737e+00
1.875343e-02 4.415794e+00
1.877676e-02 4.406861e+00
1.880013e-02 4.397941e+00
1.882352e-02 4.389030e+00
1.884695e-02 4.380131e+00
1.887040e-02 4.371243e+00
1.889388e-02 4.362366e+00
1.891740e-02 4.353501e+00
1.894094e-02 4.344646e+00
1.896451e-02 4.335804e+00
1.898811e-02 4.326973e+00
1.901174e-02 4.318154e+00
1.903540e-02 4.309347e+00
1.905908e-02 4.300550e+00
1.908280e-02 4.291767e+00
1.910655e-02 4.282995e+00
1.913033e-02 4.274235e+00
1.915413e-02 4.265487e+00
1.917797e-02 4.256751e+00
1.920183e-02 4.248027e+00
1.922573e-02 4.239316e+00
1.924965e-02 4.230617e+00
1.927361e-02 4.221931e+00
1.929759e-02 4.213256e+00
1.932161e-02 4.204595e+00
1.934565e-02 4.195946e+00
1.936972e-02 4.187310e+00
1.939383e-02 4.178686e+00
1.941796e-02 4.170076e+00
1.944213e-02 4.161478e+00
1.946632e-02 4.152894e+00
1.949055e-02 4.144323e+00
1.951480e-02 4.135764e+00
1.953908e-02 4.127220e+00
1.956340e-02 4.118688e+00
1.958774e-02 4.110170e+00
1.961212e-02 4.101664e+00
1.963653e-02 4.093173e+00
1.966096e-02 4.084695e+00
1.968543e-02 4.076231e+00
1.970993e-02 4.067780e+00
1.973445e-02 4.059343e+00
1.975901e-02 4.050921e+00
1.978360e-02 4.042511e+00
1.980822e-02 4.034116e+00
1.983287e-02 4.025735e+00
1.985755e-02 4.017368e+00
1.988226e-02 4.009015e+00
1.990700e-02 4.000676e+00
1.993177e-02 3.992352e+00
1.995658e-02 3.984042e+00
1.998141e-02 3.975746e+00
2.000628e-02 3.967465e+00
2.003117e-02 3.959198e+00
2.005610e-02 3.950946e+00
2.008106e-02 3.942710e+00
2.010605e-02 3.934487e+00
2.013107e-02 3.926280e+00
2.015612e-02 3.918087e+00
2.018120e-02 3.909909e+00
2.020632e-02 3.901746e+00
2.023146e-02 3.893598e+00
2.025664e-02 3.885466e+00
2.028185e-02 3.877348e+00
2.030709e-02 3.869246e+00
2.033236e-02 3.861160e+00
2.035766e-02 3.853088e+00
2.038299e-02 3.845032e+00
2.040836e-02 3.836991e+00
2.043375e-02 3.828967e+00
