# I(Q)
#Q (1/A)        I (1/cm)        dI (1/cm)       dQ (1/A)
4.772544E-03	3.304481E+00	7.502518E-01	1.050865E-03
4.930276E-03	2.802521E+00	3.738529E-01	1.067653E-03
5.093222E-03	2.927119E+00	2.743476E-01	1.082906E-03
5.261552E-03	2.170715E+00	2.055952E-01	1.095367E-03
5.435447E-03	2.324936E+00	1.593626E-01	1.108185E-03
5.615088E-03	1.766058E+00	1.101432E-01	1.109000E-03
5.800666E-03	1.705806E+00	8.753943E-02	1.119221E-03
5.992378E-03	1.664594E+00	7.291137E-02	1.131634E-03
6.190426E-03	1.651297E+00	6.390075E-02	1.139196E-03
6.395019E-03	1.452820E+00	5.652224E-02	1.143748E-03
6.606374E-03	1.389317E+00	4.982824E-02	1.147945E-03
6.824715E-03	1.261318E+00	4.426606E-02	1.152623E-03
7.050271E-03	1.117003E+00	3.888321E-02	1.159741E-03
7.283282E-03	1.019681E+00	3.409302E-02	1.161870E-03
7.523995E-03	9.757067E-01	3.279051E-02	1.166473E-03
7.772662E-03	8.759859E-01	3.038306E-02	1.167969E-03
8.029548E-03	8.321362E-01	2.914163E-02	1.171208E-03
8.294925E-03	7.439514E-01	2.716347E-02	1.173155E-03
8.569072E-03	7.608984E-01	2.604143E-02	1.171724E-03
8.852279E-03	7.241325E-01	2.463029E-02	1.173230E-03
9.144847E-03	6.609195E-01	2.350167E-02	1.172596E-03
9.447083E-03	6.459875E-01	2.285358E-02	1.172124E-03
9.759309E-03	5.601372E-01	2.118224E-02	1.173753E-03
1.008185E-02	5.766800E-01	2.038456E-02	1.172995E-03
1.041506E-02	5.506247E-01	1.965611E-02	1.172327E-03
1.075928E-02	5.548141E-01	1.920829E-02	1.172022E-03
1.111487E-02	4.885754E-01	1.794646E-02	1.173414E-03
1.148222E-02	4.764668E-01	1.738780E-02	1.172318E-03
1.186170E-02	4.689450E-01	1.670222E-02	1.173216E-03
1.225373E-02	4.663708E-01	1.635800E-02	1.172864E-03
1.265872E-02	4.343380E-01	1.558801E-02	1.173010E-03
1.307709E-02	4.276755E-01	1.498130E-02	1.173018E-03
1.350928E-02	4.123652E-01	1.461172E-02	1.172520E-03
1.395576E-02	3.819435E-01	1.397509E-02	1.173271E-03
1.441700E-02	3.986614E-01	1.348497E-02	1.172984E-03
1.489348E-02	3.635886E-01	1.300710E-02	1.173234E-03
1.538571E-02	3.693808E-01	1.261150E-02	1.173184E-03
1.589421E-02	3.428866E-01	1.218543E-02	1.172575E-03
1.641951E-02	3.364439E-01	1.181942E-02	1.173550E-03
1.696218E-02	3.179725E-01	1.135798E-02	1.174592E-03
1.752278E-02	3.216504E-01	1.112072E-02	1.175177E-03
1.810190E-02	3.033111E-01	1.069915E-02	1.175282E-03
1.870017E-02	3.178543E-01	1.039668E-02	1.174827E-03
1.931821E-02	2.823459E-01	1.019345E-02	1.174187E-03
1.995668E-02	2.910524E-01	9.813334E-03	1.173366E-03
2.061624E-02	2.749283E-01	9.502841E-03	1.173225E-03
2.129761E-02	2.730701E-01	9.166535E-03	1.172081E-03
2.200149E-02	2.594117E-01	8.910525E-03	1.172541E-03
2.272864E-02	2.628197E-01	8.517524E-03	1.173017E-03
2.347982E-02	2.580435E-01	8.300083E-03	1.173254E-03
2.425583E-02	2.493347E-01	7.932247E-03	1.173491E-03
2.505749E-02	2.493884E-01	7.721185E-03	1.173573E-03
2.588563E-02	2.433506E-01	7.414857E-03	1.173870E-03
2.674115E-02	2.269109E-01	7.081355E-03	1.174975E-03
2.762495E-02	2.196874E-01	6.874082E-03	1.175621E-03
2.853795E-02	2.327914E-01	6.663850E-03	1.175081E-03
2.948113E-02	2.258309E-01	6.442864E-03	1.175277E-03
3.045548E-02	2.189268E-01	6.317436E-03	1.175030E-03
3.146203E-02	2.186216E-01	6.108096E-03	1.174559E-03
3.250185E-02	2.234700E-01	5.946449E-03	1.174180E-03
3.357603E-02	2.160502E-01	5.748797E-03	1.174115E-03
3.468572E-02	2.196372E-01	5.571082E-03	1.174330E-03
3.583208E-02	2.131044E-01	5.350506E-03	1.175178E-03
3.701633E-02	2.169595E-01	5.169384E-03	1.175069E-03
3.823972E-02	2.054224E-01	4.994668E-03	1.175112E-03
3.950354E-02	2.037988E-01	4.796089E-03	1.176286E-03
4.080913E-02	2.077656E-01	4.637673E-03	1.175796E-03
4.215787E-02	2.043803E-01	4.477846E-03	1.176274E-03
4.355119E-02	1.944278E-01	4.331916E-03	1.176663E-03
4.499055E-02	1.996233E-01	4.192919E-03	1.176730E-03
4.647749E-02	1.957446E-01	4.041088E-03	1.177257E-03
4.801357E-02	1.927430E-01	3.913496E-03	1.177364E-03
4.960041E-02	1.912030E-01	3.777655E-03	1.177943E-03
5.123971E-02	1.915636E-01	3.644146E-03	1.178264E-03
5.293318E-02	1.915745E-01	3.530853E-03	1.179098E-03
5.468262E-02	1.921839E-01	3.429564E-03	1.179813E-03
5.648987E-02	2.011602E-01	3.324990E-03	1.180437E-03
5.703213E-02	1.478358E-01	2.781984E-03	3.361864E-03
5.835686E-02	1.997189E-01	3.207597E-03	1.182102E-03
5.919074E-02	1.758283E-01	2.715394E-03	3.363172E-03
6.028555E-02	2.020562E-01	3.125835E-03	1.184327E-03
6.143104E-02	2.111157E-01	2.701793E-03	3.377551E-03
6.227799E-02	2.091187E-01	3.035917E-03	1.187813E-03
6.375614E-02	2.897162E-01	2.722226E-03	3.396200E-03
6.433627E-02	2.537323E-01	2.984592E-03	1.191797E-03
6.616924E-02	4.259561E-01	2.844592E-03	3.430700E-03
6.867367E-02	5.141639E-01	2.871376E-03	3.465809E-03
7.127290E-02	4.314441E-01	2.649179E-03	3.426858E-03
7.397050E-02	2.888906E-01	2.362472E-03	3.375110E-03
7.677020E-02	1.856292E-01	2.145467E-03	3.361579E-03
7.967587E-02	1.449224E-01	2.027765E-03	3.379986E-03
8.269152E-02	1.381766E-01	1.953704E-03	3.395876E-03
8.582130E-02	1.613841E-01	1.914865E-03	3.403405E-03
8.906955E-02	2.175189E-01	1.919681E-03	3.425522E-03
9.244073E-02	3.537446E-01	1.984832E-03	3.464557E-03
9.593951E-02	5.384505E-01	2.099721E-03	3.500077E-03
9.957072E-02	5.108292E-01	1.991314E-03	3.471630E-03
1.033394E-01	3.121873E-01	1.744067E-03	3.433606E-03
1.072506E-01	1.940725E-01	1.589979E-03	3.448712E-03
1.113100E-01	1.688483E-01	1.521301E-03	3.488953E-03
1.155229E-01	1.651979E-01	1.471654E-03	3.512164E-03
1.198953E-01	1.417287E-01	1.398841E-03	3.516453E-03
1.244333E-01	1.232870E-01	1.342733E-03	3.533339E-03
