<X> <Y> <dY> <dX>
4.492800000000000e-03 3.904448844851156e+00 1.188879075718771e+00 9.771769767103484e-04
4.852224000000000e-03 4.376625408453136e+00 4.601759340687833e-01 1.001774810807679e-03
5.240401919999999e-03 3.856453697457751e+00 2.594646139401466e-01 1.048621675847643e-03
5.659634073600000e-03 3.758806139875855e+00 1.778464243606271e-01 1.090023949399549e-03
6.112404799487998e-03 4.142506762019844e+00 1.279022121730835e-01 1.141342750282483e-03
6.601397183447039e-03 4.115556926323238e+00 9.271763296378262e-02 1.191572941017866e-03
7.129508958122802e-03 3.877562960490310e+00 7.365443190462702e-02 1.251295898181046e-03
7.699869674772626e-03 3.799904803807429e+00 5.807951957328425e-02 1.318177587997651e-03
8.315859248754436e-03 3.721086905245056e+00 4.606891490440934e-02 1.386010102511778e-03
8.981127988654792e-03 3.696539003820980e+00 3.752441531149076e-02 1.458902506839417e-03
9.699618227747175e-03 3.613834119147378e+00 3.110796341441514e-02 1.540866710246469e-03
1.047558768596695e-02 3.591309459732699e+00 2.603469779723968e-02 1.619492285668425e-03
1.131363470084431e-02 3.459529117481917e+00 2.183337252633429e-02 1.711817555707286e-03
1.221872547691185e-02 3.392014649991175e+00 1.861440417735582e-02 1.795747301680365e-03
1.319622351506480e-02 3.248070087521043e+00 1.597376180545427e-02 1.888466202267121e-03
1.425192139626998e-02 3.161366237797600e+00 1.386639628910178e-02 1.978662677166154e-03
1.539207510797158e-02 3.032327841163947e+00 1.201556739070407e-02 2.071212748383107e-03
1.662344111660931e-02 2.909099606399799e+00 1.048024546899512e-02 2.158723009523407e-03
1.795331640593805e-02 2.769191308664297e+00 9.211330321378173e-03 2.259714312093499e-03
1.938958171841310e-02 2.626512166046219e+00 8.102550419915339e-03 2.354232790717564e-03
2.094074825588614e-02 2.477371351596600e+00 7.122891709433960e-03 2.447910749931232e-03
2.261600811635703e-02 2.299327557808490e+00 6.269387108673766e-03 2.534147891892256e-03
2.442528876566559e-02 2.137040115810048e+00 5.580781040414436e-03 2.572657792667504e-03
2.637931186691884e-02 1.946732650738898e+00 4.936946175318979e-03 2.610860478618609e-03
2.848965681627235e-02 1.747887630546455e+00 4.374561233050466e-03 2.657485279243868e-03
3.076882936157414e-02 1.538955130217264e+00 3.878886839550901e-03 2.687202179932610e-03
3.323033571050008e-02 1.315274766954902e+00 3.410270459231261e-03 2.724434365679478e-03
3.588876256734008e-02 1.106162467878894e+00 2.988528450010698e-03 2.766875740261779e-03
3.863454979458043e-02 8.984365907153882e-01 2.739611787263271e-03 2.786969572436984e-03
4.040000000000001e-02 7.875367357079114e-01 4.771110107931836e-03 2.697295266149373e-03
4.120800000000000e-02 7.308984690286502e-01 4.592071368041233e-03 2.709745387033502e-03
4.203216000000000e-02 6.730004388127859e-01 4.483342047932577e-03 2.711675605862161e-03
4.287280320000000e-02 6.189939618837941e-01 4.329891016014323e-03 2.709791315917727e-03
4.373025926400000e-02 5.819304228351746e-01 4.164283445080389e-03 2.720425228657542e-03
4.460486444928000e-02 5.351786715129605e-01 4.006211477128860e-03 2.748780668320077e-03
4.549696173826560e-02 4.890638257962988e-01 3.892746112082751e-03 2.760009191086361e-03
4.640690097303091e-02 4.458886995014959e-01 3.750128803272120e-03 2.768505481483062e-03
4.733503899249153e-02 4.058173777587067e-01 3.642046593964171e-03 2.784589394533972e-03
4.828173977234136e-02 3.645531410888687e-01 3.519384622697779e-03 2.795747583427346e-03
4.924737456778819e-02 3.322978938346611e-01 3.402254788000535e-03 2.818920770992162e-03
5.023232205914396e-02 3.032376692506616e-01 3.278632299017844e-03 2.838096739234788e-03
5.123696850032684e-02 2.654742286631026e-01 3.222165175954176e-03 2.849137373174097e-03
5.226170787033337e-02 2.400991610083295e-01 3.105814127567803e-03 2.856356352405310e-03
5.330694202774004e-02 2.157702883156796e-01 3.007473516886892e-03 2.896587544289749e-03
5.437308086829484e-02 1.978349761152514e-01 2.937438116841385e-03 2.889497908417592e-03
5.546054248566074e-02 1.786484054108408e-01 2.877085879799014e-03 2.926658845095279e-03
5.656975333537395e-02 1.592661763154718e-01 2.833950214334924e-03 2.939282202785651e-03
5.770114840208143e-02 1.476411814439814e-01 2.763363905894016e-03 2.947248551703478e-03
5.885517137012305e-02 1.468327170865874e-01 2.677462313757238e-03 2.974197282618133e-03
6.003227479752551e-02 1.329497156853361e-01 2.663941673594204e-03 2.997852021954710e-03
6.123292029347603e-02 1.313683774042564e-01 2.613267821483189e-03 3.016555231740956e-03
6.245757869934555e-02 1.342203005086210e-01 2.571164235781760e-03 3.029344460344240e-03
6.370673027333246e-02 1.307547610868539e-01 2.548822223782674e-03 3.042155561765962e-03
6.498086487879912e-02 1.372107066209961e-01 2.529977561226273e-03 3.056291050183147e-03
6.628048217637510e-02 1.470796352420704e-01 2.478006915979843e-03 3.079224377350242e-03
6.760609181990260e-02 1.519782758234988e-01 2.484688905560352e-03 3.103652173479539e-03
6.895821365630064e-02 1.588067023448898e-01 2.441772715402855e-03 3.116459609257571e-03
7.033737792942665e-02 1.717352664446707e-01 2.429309109017640e-03 3.138740460973591e-03
7.174412548801519e-02 1.827073667543897e-01 2.409906943648352e-03 3.153135726099379e-03
7.317900799777549e-02 1.925118140354261e-01 2.389440512935759e-03 3.182265836610194e-03
7.464258815773100e-02 1.973777129800325e-01 2.397169729313008e-03 3.193243920340149e-03
7.613543992088562e-02 2.133734737398775e-01 2.371663146530596e-03 3.220811954344096e-03
7.765814871930334e-02 2.212563115894066e-01 2.361188204942382e-03 3.249790949225495e-03
7.921131169368940e-02 2.286436711108601e-01 2.345870767685450e-03 3.271434632450631e-03
8.079553792756319e-02 2.390088130579777e-01 2.327259005800344e-03 3.298548397914698e-03
8.241144868611447e-02 2.432029508732828e-01 2.313738672784455e-03 3.323858496483876e-03
8.405967765983675e-02 2.507007034033327e-01 2.304879674737899e-03 3.351952141361147e-03
8.574087121303349e-02 2.509537144565616e-01 2.291011591640240e-03 3.392547134535248e-03
8.745568863729417e-02 2.508911515810728e-01 2.268036366030138e-03 3.422336089067449e-03
8.920480241004004e-02 2.503872433687608e-01 2.258735248779210e-03 3.446571240151243e-03
9.098889845824085e-02 2.444960396478157e-01 2.244433073139826e-03 3.487722543060071e-03
9.280867642740567e-02 2.395579554863892e-01 2.218179788851746e-03 3.517184391229772e-03
9.466484995595378e-02 2.318227182374120e-01 2.198559658769568e-03 3.553640582545982e-03
9.655814695507287e-02 2.254094201101319e-01 2.181348008173413e-03 3.591523729985122e-03
9.848930989417432e-02 2.122959909331207e-01 2.158157584047899e-03 3.627431718993702e-03
1.004590960920578e-01 2.013858492853972e-01 2.127050295041998e-03 3.660626455503446e-03
