q(A-1),I_linear_transform(a.u.),sigI(a.u.)
1.97121,0.020680022,5.08E-05
1.97732,0.02046301,5.09E-05
1.98343,0.020152862,4.94E-05
1.98954,0.019980699,4.97E-05
1.99566,0.019815073,4.95E-05
2.00177,0.019561001,4.88E-05
2.00788,0.019342488,4.86E-05
2.01399,0.01918751,4.85E-05
2.02011,0.019143628,4.79E-05
2.02622,0.018836805,4.80E-05
2.03233,0.018691195,4.79E-05
2.03844,0.018519693,4.67E-05
2.04455,0.018379998,4.70E-05
2.05067,0.018200196,4.69E-05
2.05678,0.017970262,4.58E-05
2.06289,0.017928366,4.62E-05
2.069,0.017799323,4.60E-05
2.07512,0.017639307,4.53E-05
2.08123,0.017491671,4.54E-05
2.08734,0.017269958,4.49E-05
2.09345,0.017244743,4.49E-05
2.09957,0.017079509,4.48E-05
2.10568,0.017001963,4.42E-05
2.11179,0.016872158,4.42E-05
2.1179,0.016670164,4.39E-05
2.12401,0.016605156,4.35E-05
2.13013,0.01632828,4.33E-05
2.13624,0.016363929,4.30E-05
2.14235,0.016204377,4.30E-05
2.14846,0.016077027,4.29E-05
2.15458,0.015997698,4.23E-05
2.16069,0.015929317,4.25E-05
2.1668,0.015820528,4.20E-05
2.17291,0.015708637,4.23E-05
2.17903,0.015502159,4.25E-05
2.18514,0.015431627,4.23E-05
2.19125,0.015295938,4.27E-05
2.19736,0.015206959,4.21E-05
2.20347,0.015139647,4.24E-05
2.20959,0.015000685,4.20E-05
2.2157,0.014909736,4.22E-05
2.22181,0.014838268,4.20E-05
2.22792,0.014813108,4.26E-05
2.23403,0.014729231,4.26E-05
2.24015,0.014663056,4.26E-05
2.24626,0.014607432,4.29E-05
2.25237,0.014470876,4.26E-05
2.25848,0.014419343,4.29E-05
2.2646,0.014307498,4.27E-05
2.27071,0.014245444,4.29E-05
2.27682,0.014289405,4.30E-05
2.28293,0.014084414,4.27E-05
2.28905,0.01407706,4.32E-05
2.29516,0.013962365,4.27E-05
2.30127,0.013985544,4.34E-05
2.30738,0.01389807,4.28E-05
2.3135,0.013795893,4.32E-05
2.31961,0.01385018,4.31E-05
2.32572,0.013728643,4.30E-05
2.33183,0.013640651,4.28E-05
2.33794,0.013547458,4.33E-05
2.34406,0.013444668,4.26E-05
2.35017,0.013415202,4.32E-05
2.35628,0.01340281,4.31E-05
2.36239,0.013365131,4.30E-05
2.3685,0.01329319,4.30E-05
2.37462,0.01332574,4.30E-05
2.38073,0.013205063,4.28E-05
2.38684,0.013151603,4.33E-05
2.39295,0.013137714,4.27E-05
2.39907,0.013128378,4.34E-05
2.40518,0.01303591,4.29E-05
2.41129,0.012976086,4.28E-05
2.4174,0.012909839,4.29E-05
2.42352,0.012877267,4.29E-05
2.42963,0.012911376,4.33E-05
2.43574,0.012827151,4.29E-05
2.44185,0.012750735,4.30E-05
2.44796,0.012648315,4.26E-05
2.45408,0.012669098,4.31E-05
2.46019,0.012669571,4.28E-05
2.4663,0.012597055,4.32E-05
2.47241,0.012521423,4.25E-05
2.47853,0.012533495,4.27E-05
2.48464,0.012477504,4.32E-05
2.49075,0.012433535,4.29E-05
2.49686,0.012429808,4.27E-05
2.50298,0.012369379,4.27E-05
2.50909,0.01230626,4.29E-05
2.5152,0.012297751,4.31E-05
2.52131,0.012297816,4.24E-05
2.52742,0.012277688,4.29E-05
2.53354,0.012206634,4.29E-05
2.53965,0.012151915,4.27E-05
2.54576,0.012189292,4.28E-05
2.55187,0.012115118,4.26E-05
2.55798,0.012106446,4.30E-05
2.5641,0.012046098,4.25E-05
2.57021,0.012018367,4.25E-05
2.57632,0.011862163,4.29E-05
2.58243,0.011859172,4.22E-05
2.58855,0.011850096,4.25E-05
2.59466,0.011837988,4.29E-05
2.60077,0.011776223,4.22E-05
2.60688,0.011754159,4.23E-05
2.613,0.011710066,4.26E-05
2.61911,0.011613244,4.24E-05
2.62522,0.011677294,4.23E-05
2.63133,0.011619511,4.23E-05
2.63745,0.011533663,4.25E-05
2.64356,0.011482185,4.22E-05
2.64967,0.01141116,4.20E-05
2.65578,0.011500345,4.26E-05
2.66189,0.011350049,4.17E-05
2.66801,0.011401831,4.22E-05
2.67412,0.011314251,4.22E-05
2.68023,0.011327737,4.23E-05
2.68634,0.011317833,4.22E-05
2.69245,0.011222483,4.16E-05
2.69857,0.011130712,4.23E-05
2.70468,0.011243287,4.18E-05
2.71079,0.011172846,4.20E-05
2.7169,0.011068405,4.18E-05
2.72302,0.011077024,4.22E-05
2.72913,0.011015227,4.16E-05
2.73524,0.010967669,4.18E-05
2.74135,0.010972207,4.17E-05
2.74747,0.010968333,4.21E-05
2.75358,0.010910353,4.17E-05
2.75969,0.010887652,4.19E-05
2.7658,0.010858132,4.14E-05
2.77191,0.010804442,4.18E-05
2.77803,0.010752305,4.16E-05
2.78414,0.010704629,4.18E-05
2.79025,0.010703418,4.14E-05
2.79636,0.010622354,4.14E-05
2.80248,0.010542771,4.15E-05
2.80859,0.010560846,4.14E-05
2.8147,0.010539559,4.18E-05
2.82081,0.010518047,4.13E-05
2.82693,0.010442387,4.12E-05
2.83304,0.010487406,4.14E-05
2.83915,0.010444802,4.12E-05
2.84526,0.010352249,4.12E-05
2.85137,0.010370614,4.13E-05
2.85749,0.010270042,4.12E-05
2.8636,0.010285728,4.11E-05
2.86971,0.010267449,4.08E-05
2.87582,0.010212148,4.08E-05
2.88194,0.010194674,4.10E-05
2.88805,0.010121687,4.07E-05
2.89416,0.010112273,4.06E-05
2.90027,0.009990893,4.06E-05
2.90639,0.010043539,4.07E-05
2.9125,0.009968934,4.03E-05
2.91861,0.009930211,4.04E-05
2.92472,0.00994294,4.05E-05
2.93083,0.009859622,4.04E-05
2.93695,0.009900341,4.03E-05
2.94306,0.009775256,4.00E-05
2.94917,0.0097623,3.99E-05
2.95528,0.009627611,3.99E-05
2.96139,0.009713097,3.99E-05
2.96751,0.009606449,3.98E-05
2.97362,0.009636825,3.97E-05
2.97973,0.009589206,3.97E-05
2.98584,0.009521715,3.96E-05
2.99196,0.009499519,3.97E-05
2.99807,0.009483309,3.95E-05
3.00418,0.009402851,3.93E-05
3.01029,0.009366715,3.92E-05
3.01641,0.009328329,4.03E-05
3.02252,0.009229671,4.03E-05
3.02863,0.009223932,4.11E-05
3.03474,0.009136381,4.11E-05
3.04086,0.009114158,4.12E-05
3.04697,0.009023203,4.13E-05
3.05308,0.009020079,4.13E-05
3.05919,0.009004577,4.16E-05
3.0653,0.008962404,4.17E-05
3.07142,0.008881832,4.15E-05
