q(A-1),I_linear_transform(a.u.),sigI(a.u.)
0.056201,0.011051148,0.0010372
0.05654,0.011548298,0.0010574
0.05688,0.011228296,0.0010519
0.05722,0.011542557,0.0010697
0.057559,0.011518037,0.0010442
0.057899,0.011299962,0.0010364
0.058238,0.012647966,0.0010999
0.058578,0.013977615,0.0010992
0.058917,0.008165197,0.00088125
0.059257,0.012294636,0.001048
0.059597,0.010254353,0.00097165
0.059936,0.011450153,0.0010113
0.060276,0.012717196,0.0010455
0.060615,0.011492014,0.0010198
0.060955,0.011476016,0.0010111
0.061294,0.011730924,0.0010096
0.061634,0.009527864,0.00091688
0.061974,0.011472858,0.00097906
0.062313,0.010616543,0.00096477
0.062653,0.011214517,0.00096448
0.062992,0.010852533,0.00098478
0.063332,0.011515627,0.00095246
0.063672,0.010873008,0.00095246
0.064011,0.010411618,0.00094454
0.064351,0.010683051,0.00093407
0.06469,0.010052105,0.00090479
0.06503,0.009399071,0.00086956
0.065369,0.011859308,0.00098459
0.065709,0.010583905,0.0009178
0.066049,0.009589147,0.00089339
0.066388,0.010999058,0.00093264
0.066728,0.01035918,0.00088284
0.067067,0.008398377,0.00083581
0.067407,0.010934055,0.00092218
0.067747,0.011074841,0.00091391
0.068086,0.009857522,0.00087321
0.068426,0.009161121,0.00084361
0.068765,0.008390943,0.00081194
0.069105,0.010684107,0.00090559
0.069444,0.01041196,0.00086757
0.069784,0.007624607,0.00078764
0.070124,0.01061791,0.00089288
0.070463,0.009281276,0.00082652
0.070803,0.009501793,0.00084291
0.071142,0.00930802,0.00082457
0.071482,0.0098301,0.00085466
0.071822,0.010685082,0.00088416
0.072161,0.010773813,0.00087497
0.072501,0.009106373,0.00081227
0.07284,0.010859444,0.00088096
0.07318,0.010670219,0.00086751
0.073519,0.009475568,0.00080578
0.073859,0.00790868,0.00076387
0.074199,0.010626808,0.00085897
0.074538,0.009804465,0.00082765
0.074878,0.009173508,0.00080012
0.075217,0.009178798,0.00078871
0.075557,0.00939041,0.00080224
0.075897,0.007446134,0.00073603
0.076236,0.009679581,0.00081065
0.076576,0.009222798,0.00080081
0.076915,0.009179048,0.00079954
0.077255,0.009488848,0.00078903
0.077594,0.009661718,0.00079916
0.077934,0.009863433,0.00081509
0.078274,0.008242023,0.00075761
0.078613,0.009035213,0.00077822
0.078953,0.009037794,0.00077624
0.079292,0.010925366,0.00083419
0.079632,0.008005887,0.0007529
0.079971,0.008433569,0.00076566
0.080311,0.00934828,0.00077018
0.080651,0.008556388,0.0007472
0.08099,0.008811349,0.00074659
0.08133,0.00985622,0.00079442
0.081669,0.009019681,0.00074989
0.082009,0.008904909,0.00074315
0.082349,0.009480533,0.00077762
0.082688,0.00826121,0.0007463
0.083028,0.009552376,0.00076015
0.083367,0.008600212,0.00073317
0.083707,0.009592096,0.00075647
0.084046,0.009013418,0.00073638
0.084386,0.007360024,0.00067993
0.084726,0.009027624,0.00073871
0.085065,0.008872283,0.00073198
0.085405,0.008797208,0.00073943
0.085744,0.009511346,0.00076237
0.086084,0.00862713,0.00071317
0.086424,0.008032302,0.00069591
0.086763,0.010619747,0.00079002
0.087144,0.009256658,0.00038985
0.08797,0.00888338,0.00026817
0.088796,0.008759425,0.00026678
0.089622,0.00858888,0.00026167
0.090448,0.008845812,0.00026709
0.091274,0.008648015,0.00026491
0.0921,0.009052903,0.00026405
0.092926,0.008805282,0.00026369
0.093752,0.009146057,0.00026586
0.094578,0.008971713,0.00026874
0.095404,0.008967411,0.00026495
0.09623,0.009556648,0.00026881
0.097056,0.008374715,0.00025689
0.097882,0.008831432,0.00025595
0.098708,0.008652201,0.00026009
0.099534,0.008124938,0.00035021
0.10036,0.008565676,0.00031695
0.101186,0.008631273,0.00032386
0.102012,0.008626782,0.0003137
0.102838,0.008792942,0.00032285
0.103664,0.008230966,0.00030414
0.10449,0.008777024,0.00031954
0.105316,0.008552652,0.00031961
0.106142,0.009030916,0.00031946
0.106968,0.008660893,0.00031401
0.107794,0.008617691,0.00031
0.10862,0.008950067,0.0003227
0.109446,0.007760239,0.00029901
0.110272,0.008478781,0.00030845
0.111098,0.008874251,0.00031755
0.111924,0.008895789,0.00031006
0.11275,0.00818693,0.00030213
0.113576,0.009129205,0.000313
0.114402,0.008717057,0.00031259
0.115228,0.008024589,0.00029558
0.116054,0.008953365,0.00030294
0.11688,0.008740676,0.00029785
0.117706,0.008483134,0.00028841
0.118532,0.00901295,0.00029598
0.119358,0.008431228,0.00028639
0.120184,0.008946041,0.00029057
0.12101,0.008756076,0.00028567
0.121836,0.008582457,0.00028182
0.122662,0.008457951,0.00028056
0.123488,0.008186892,0.00027231
0.124314,0.0087794,0.00027861
0.12514,0.008475154,0.00027768
0.125966,0.008766171,0.00027488
0.126792,0.008470786,0.00027335
0.127618,0.008501986,0.00026772
0.128444,0.008793632,0.000272
0.12927,0.008141978,0.00026412
0.130096,0.008542647,0.000268
0.130922,0.008208764,0.00026193
0.131748,0.00810003,0.00025594
0.132574,0.008468572,0.0002641
0.1334,0.009269439,0.00027415
0.134226,0.008590853,0.0002595
0.135052,0.008409028,0.00026115
0.135878,0.008361813,0.00025621
0.136704,0.008471927,0.00026084
0.13753,0.008631022,0.00025665
0.138356,0.008324125,0.00025282
0.139182,0.008902788,0.0002621
0.140008,0.008254735,0.00025204
0.140834,0.008449686,0.00025221
0.14166,0.008495185,0.00025077
0.142486,0.008688894,0.0002539
0.143312,0.008295326,0.0002512
0.144138,0.008497433,0.00025121
0.144964,0.008516558,0.00024928
0.14579,0.008719968,0.00025073
0.146616,0.007914387,0.0002416
0.147442,0.008901975,0.00025187
0.148268,0.008445305,0.00024537
0.149094,0.00850174,0.00024439
0.14992,0.008545942,0.00024546
0.150746,0.008454667,0.00024523
0.151572,0.008528473,0.00024138
0.152398,0.008325623,0.00024037
0.153224,0.008282145,0.00023934
0.15405,0.008016843,0.00023458
0.154876,0.008263583,0.00023728
0.155702,0.00809169,0.00023111
0.156528,0.008436259,0.00023952
0.157354,0.008716945,0.00023981
0.15818,0.008662204,0.00023882
0.159006,0.008437246,0.00023584
0.159832,0.008550793,0.00023514
0.160658,0.008748973,0.00023937
0.161484,0.00842606,0.00023211
0.16231,0.008510685,0.00023354
0.163136,0.008198977,0.00022761
0.163962,0.008277655,0.00023119
0.164788,0.008306349,0.00023089
0.165614,0.008552037,0.00022768
0.16644,0.008415342,0.00023054
0.167266,0.008540972,0.00022823
0.168092,0.008591006,0.00023127
0.168918,0.007796697,0.00021998
0.169744,0.00847523,0.00022633
0.17057,0.008407857,0.00022911
0.171396,0.008793642,0.00022719
0.172222,0.008641839,0.00022794
0.173048,0.008614382,0.00022453
0.173874,0.008279582,0.00022375
0.1747,0.008278016,0.00022242
0.175526,0.008272689,0.00021871
0.176352,0.008617363,0.00022462
0.177178,0.008425788,0.00022105
0.178004,0.008775666,0.00022793
0.17883,0.008525282,0.00021973
0.179656,0.008452219,0.0002193
0.180483,0.00827225,0.00021805
0.181309,0.008738814,0.0002205
0.182135,0.008567629,0.00021967
0.182961,0.00843331,0.00021647
0.183787,0.008448904,0.0002198
0.184613,0.008328672,0.00021691
0.185439,0.008298139,0.00021319
0.186265,0.008570754,0.00021875
0.187091,0.008373789,0.0002126
0.187917,0.008274159,0.00021633
0.188743,0.00847159,0.00021504
0.189569,0.008165134,0.00020927
0.190395,0.008754451,0.00021745
0.191221,0.008571659,0.0002134
0.192047,0.008567598,0.00021526
0.192873,0.008407378,0.00020961
0.193699,0.009089416,0.00021873
0.194525,0.008344777,0.00021102
0.195351,0.008704344,0.00021304
0.196177,0.00866104,0.00021285
0.197003,0.008409524,0.00020712
0.197829,0.008458261,0.00021062
0.198655,0.008747236,0.00021141
0.199481,0.008556181,0.00020918
0.200307,0.008423155,0.0002066
0.201133,0.008817655,0.00021044
0.201959,0.00857095,0.00020913
0.202785,0.008362369,0.00020595
0.203611,0.008487432,0.00020461
0.204437,0.008639105,0.00020961
0.205263,0.008605719,0.00020523
0.206089,0.009026011,0.00021164
