N	phi	epsd	delta	epsY	lamb	S	q
8000.0	0.001	7.1	0.13	0.73	2.24	2.2555573535752673	0.004774777094906615
8000.0	0.001	7.1	0.13	0.73	2.24	2.234312601238505	0.004969665955923211
8000.0	0.001	7.1	0.13	0.73	2.24	2.192752060934217	0.005164554816939808
8000.0	0.001	7.1	0.13	0.73	2.24	2.107655854421804	0.005359443677956404
8000.0	0.001	7.1	0.13	0.73	2.24	2.129332626769342	0.005554332538972999
8000.0	0.001	7.1	0.13	0.73	2.24	2.0725740131089863	0.005749221399989597
8000.0	0.001	7.1	0.13	0.73	2.24	2.0335591726699564	0.005944110261006192
8000.0	0.001	7.1	0.13	0.73	2.24	2.035535355755411	0.00613899912202279
8000.0	0.001	7.1	0.13	0.73	2.24	1.9441057206908248	0.006333887983039386
8000.0	0.001	7.1	0.13	0.73	2.24	1.9310836796609718	0.006528776844055983
8000.0	0.001	7.1	0.13	0.73	2.24	1.9124349354341834	0.006723665705072579
8000.0	0.001	7.1	0.13	0.73	2.24	1.879078156213952	0.006918554566089177
8000.0	0.001	7.1	0.13	0.73	2.24	1.8851778386230391	0.007113443427105772
8000.0	0.001	7.1	0.13	0.73	2.24	1.8399163173744784	0.007308332288122368
8000.0	0.001	7.1	0.13	0.73	2.24	1.7743025426838324	0.007503221149138966
8000.0	0.001	7.1	0.13	0.73	2.24	1.710005747608114	0.0076981100101555615
8000.0	0.001	7.1	0.13	0.73	2.24	1.7191239736594455	0.007892998871172159
8000.0	0.001	7.1	0.13	0.73	2.24	1.6526962149738138	0.008087887732188754
8000.0	0.001	7.1	0.13	0.73	2.24	1.6626455674612255	0.008282776593205352
8000.0	0.001	7.1	0.13	0.73	2.24	1.6191227228284841	0.008477665454221947
8000.0	0.001	7.1	0.13	0.73	2.24	1.575583214664296	0.008672554315238543
8000.0	0.001	7.1	0.13	0.73	2.24	1.5624602193280288	0.008867443176255142
8000.0	0.001	7.1	0.13	0.73	2.24	1.5583056270076512	0.009062332037271737
8000.0	0.001	7.1	0.13	0.73	2.24	1.5238497134773812	0.009257220898288334
8000.0	0.001	7.1	0.13	0.73	2.24	1.4820716665242748	0.00945210975930493
8000.0	0.001	7.1	0.13	0.73	2.24	1.448509327295947	0.009646998620321527
8000.0	0.001	7.1	0.13	0.73	2.24	1.4342894403542323	0.009841887481338123
8000.0	0.001	7.1	0.13	0.73	2.24	1.4186535239090892	0.01003677634235472
8000.0	0.001	7.1	0.13	0.73	2.24	1.3766164811397603	0.010231665203371315
8000.0	0.001	7.1	0.13	0.73	2.24	1.3506273473291086	0.010426554064387914
8000.0	0.001	7.1	0.13	0.73	2.24	1.3301380899872435	0.01062144292540451
8000.0	0.001	7.1	0.13	0.73	2.24	1.3057310654729681	0.010816331786421106
8000.0	0.001	7.1	0.13	0.73	2.24	1.267589608110363	0.011011220647437701
8000.0	0.001	7.1	0.13	0.73	2.24	1.2467932497578789	0.011206109508454298
8000.0	0.001	7.1	0.13	0.73	2.24	1.242724390425109	0.011400998369470896
8000.0	0.001	7.1	0.13	0.73	2.24	1.2052765705762418	0.011595887230487491
8000.0	0.001	7.1	0.13	0.73	2.24	1.197537267954444	0.011790776091504087
8000.0	0.001	7.1	0.13	0.73	2.24	1.1710951315953646	0.011985664952520686
8000.0	0.001	7.1	0.13	0.73	2.24	1.1667358690845184	0.012180553813537283
8000.0	0.001	7.1	0.13	0.73	2.24	1.145406437231565	0.012375442674553878
8000.0	0.001	7.1	0.13	0.73	2.24	1.1093236144074674	0.012570331535570474
8000.0	0.001	7.1	0.13	0.73	2.24	1.1146890925473685	0.01276522039658707
8000.0	0.001	7.1	0.13	0.73	2.24	1.0895543379354575	0.012960109257603667
8000.0	0.001	7.1	0.13	0.73	2.24	1.0718495029278772	0.013154998118620264
8000.0	0.001	7.1	0.13	0.73	2.24	1.0632867472952183	0.01334988697963686
8000.0	0.001	7.1	0.13	0.73	2.24	1.0533818056733633	0.013544775840653455
8000.0	0.001	7.1	0.13	0.73	2.24	1.0424965703201294	0.013739664701670054
8000.0	0.001	7.1	0.13	0.73	2.24	1.0212188102934565	0.013934553562686651
8000.0	0.001	7.1	0.13	0.73	2.24	1.0150585300896613	0.014129442423703247
8000.0	0.001	7.1	0.13	0.73	2.24	0.9996653763382315	0.014324331284719842
8000.0	0.001	7.1	0.13	0.73	2.24	0.9945065612117091	0.014519220145736438
8000.0	0.001	7.1	0.13	0.73	2.24	0.9733098177061651	0.014714109006753035
8000.0	0.001	7.1	0.13	0.73	2.24	0.9662129971112748	0.014908997867769634
8000.0	0.001	7.1	0.13	0.73	2.24	0.9614011562288578	0.01510388672878623
8000.0	0.001	7.1	0.13	0.73	2.24	0.947267758053833	0.015298775589802825
8000.0	0.001	7.1	0.13	0.73	2.24	0.946419113329864	0.015493664450819422
8000.0	0.001	7.1	0.13	0.73	2.24	0.9398314281767579	0.015688553311836016
8000.0	0.001	7.1	0.13	0.73	2.24	0.9368667647373247	0.015883442172852615
8000.0	0.001	7.1	0.13	0.73	2.24	0.9338049176200657	0.01607833103386921
8000.0	0.001	7.1	0.13	0.73	2.24	0.9138056301415475	0.016273219894885806
8000.0	0.001	7.1	0.13	0.73	2.24	0.9140096221349012	0.016468108755902405
8000.0	0.001	7.1	0.13	0.73	2.24	0.9156100964419144	0.016662997616919
8000.0	0.001	7.1	0.13	0.73	2.24	0.9094914469677009	0.016857886477935596
8000.0	0.001	7.1	0.13	0.73	2.24	0.9011163062640678	0.017052775338952192
8000.0	0.001	7.1	0.13	0.73	2.24	0.8995228051208802	0.017247664199968787
8000.0	0.001	7.1	0.13	0.73	2.24	0.8980524182062286	0.017442553060985386
8000.0	0.001	7.1	0.13	0.73	2.24	0.896350398202872	0.017637441922001985
8000.0	0.001	7.1	0.13	0.73	2.24	0.8930685163124333	0.01783233078301858
8000.0	0.001	7.1	0.13	0.73	2.24	0.8944939693349573	0.018027219644035176
8000.0	0.001	7.1	0.13	0.73	2.24	0.8946655702550167	0.018222108505051772
8000.0	0.001	7.1	0.13	0.73	2.24	0.8906560891270965	0.01841699736606837
8000.0	0.001	7.1	0.13	0.73	2.24	0.8857381069051259	0.018611886227084967
8000.0	0.001	7.1	0.13	0.73	2.24	0.8827152419656853	0.018806775088101562
8000.0	0.001	7.1	0.13	0.73	2.24	0.8904611894863275	0.019001663949118158
8000.0	0.001	7.1	0.13	0.73	2.24	0.8769342073326246	0.019196552810134757
8000.0	0.001	7.1	0.13	0.73	2.24	0.8840566856142331	0.019391441671151352
8000.0	0.001	7.1	0.13	0.73	2.24	0.8833597356113433	0.019586330532167948
8000.0	0.001	7.1	0.13	0.73	2.24	0.8846488792512875	0.019781219393184543
8000.0	0.001	7.1	0.13	0.73	2.24	0.8842183636840283	0.019976108254201142
8000.0	0.001	7.1	0.13	0.73	2.24	0.8825977871936811	0.020170997115217738
8000.0	0.001	7.1	0.13	0.73	2.24	0.8857008544861128	0.020365885976234333
8000.0	0.001	7.1	0.13	0.73	2.24	0.8874696104417228	0.02056077483725093
8000.0	0.001	7.1	0.13	0.73	2.24	0.8834742771860212	0.020755663698267524
8000.0	0.001	7.1	0.13	0.73	2.24	0.8841374230077571	0.02095055255928412
8000.0	0.001	7.1	0.13	0.73	2.24	0.8892750079240702	0.021145441420300722
8000.0	0.001	7.1	0.13	0.73	2.24	0.8926817484645316	0.021340330281317318
8000.0	0.001	7.1	0.13	0.73	2.24	0.894253298611596	0.021535219142333913
8000.0	0.001	7.1	0.13	0.73	2.24	0.8920036094270594	0.02173010800335051
8000.0	0.001	7.1	0.13	0.73	2.24	0.8964279360319899	0.021924996864367108
8000.0	0.001	7.1	0.13	0.73	2.24	0.8997277597423228	0.022119885725383703
8000.0	0.001	7.1	0.13	0.73	2.24	0.8975164828251607	0.0223147745864003
8000.0	0.001	7.1	0.13	0.73	2.24	0.9003901627109167	0.022509663447416894
8000.0	0.001	7.1	0.13	0.73	2.24	0.9049795255400992	0.02270455230843349
8000.0	0.001	7.1	0.13	0.73	2.24	0.902743782217942	0.02289944116945009
8000.0	0.001	7.1	0.13	0.73	2.24	0.903906503359735	0.023094330030466684
8000.0	0.001	7.1	0.13	0.73	2.24	0.9032131584732092	0.02328921889148328
8000.0	0.001	7.1	0.13	0.73	2.24	0.9148865364717472	0.023484107752499876
8000.0	0.001	7.1	0.13	0.73	2.24	0.9066314540310778	0.023678996613516478
8000.0	0.001	7.1	0.13	0.73	2.24	0.9164740705792549	0.023873885474533073
8000.0	0.001	7.1	0.13	0.73	2.24	0.9133740685474341	0.02406877433554967
8000.0	0.001	7.1	0.13	0.73	2.24	0.9195769132580978	0.024263663196566265
8000.0	0.001	7.1	0.13	0.73	2.24	0.9205898241549955	0.02445855205758286
8000.0	0.001	7.1	0.13	0.73	2.24	0.9200112018337082	0.02465344091859946
8000.0	0.001	7.1	0.13	0.73	2.24	0.9298006669479192	0.024848329779616055
8000.0	0.001	7.1	0.13	0.73	2.24	0.9321603791610794	0.02504321864063265
8000.0	0.001	7.1	0.13	0.73	2.24	0.9301453189274348	0.025238107501649246
8000.0	0.001	7.1	0.13	0.73	2.24	0.9344980401851062	0.025432996362665845
8000.0	0.001	7.1	0.13	0.73	2.24	0.9318943338578692	0.02562788522368244
8000.0	0.001	7.1	0.13	0.73	2.24	0.9365989194954776	0.025822774084699036
8000.0	0.001	7.1	0.13	0.73	2.24	0.9412557068049211	0.02601766294571563
8000.0	0.001	7.1	0.13	0.73	2.24	0.9425906104250711	0.026212551806732227
8000.0	0.001	7.1	0.13	0.73	2.24	0.9421494739041142	0.026407440667748826
8000.0	0.001	7.1	0.13	0.73	2.24	0.9519527101597949	0.02660232952876542
8000.0	0.001	7.1	0.13	0.73	2.24	0.9533845813576703	0.026797218389782017
8000.0	0.001	7.1	0.13	0.73	2.24	0.9447965133580515	0.026992107250798612
8000.0	0.001	7.1	0.13	0.73	2.24	0.9561531310900625	0.027186996111815215
8000.0	0.001	7.1	0.13	0.73	2.24	0.9536246501135607	0.02738188497283181
8000.0	0.001	7.1	0.13	0.73	2.24	0.9572245193585404	0.027576773833848406
8000.0	0.001	7.1	0.13	0.73	2.24	0.9577993043195374	0.027771662694865
8000.0	0.001	7.1	0.13	0.73	2.24	0.9637348213921381	0.027966551555881597
8000.0	0.001	7.1	0.13	0.73	2.24	0.9689196494212889	0.028161440416898196
8000.0	0.001	7.1	0.13	0.73	2.24	0.9722795003936965	0.02835632927791479
8000.0	0.001	7.1	0.13	0.73	2.24	0.9723514312620889	0.028551218138931387
8000.0	0.001	7.1	0.13	0.73	2.24	0.9752841871630943	0.028746106999947982
8000.0	0.001	7.1	0.13	0.73	2.24	0.973851552947189	0.02894099586096458
8000.0	0.001	7.1	0.13	0.73	2.24	0.9797397601085617	0.029135884721981177
8000.0	0.001	7.1	0.13	0.73	2.24	0.98060529854892	0.029330773582997773
8000.0	0.001	7.1	0.13	0.73	2.24	0.986364679732546	0.029525662444014368
8000.0	0.001	7.1	0.13	0.73	2.24	0.9857895505828731	0.029720551305030964
8000.0	0.001	7.1	0.13	0.73	2.24	0.9905646570992834	0.02991544016604756
8000.0	0.001	7.1	0.13	0.73	2.24	0.9927968411949507	0.03011032902706416
8000.0	0.001	7.1	0.13	0.73	2.24	0.9902547414210492	0.030305217888080757
8000.0	0.001	7.1	0.13	0.73	2.24	0.9983968704409917	0.030500106749097353
8000.0	0.001	7.1	0.13	0.73	2.24	0.9982452330909455	0.03069499561011395
8000.0	0.001	7.1	0.13	0.73	2.24	1.0066101284626443	0.030889884471130547
8000.0	0.001	7.1	0.13	0.73	2.24	1.0074523483864688	0.031084773332147143
8000.0	0.001	7.1	0.13	0.73	2.24	1.0101828007380966	0.031279662193163735
8000.0	0.001	7.1	0.13	0.73	2.24	1.0069676938901162	0.03147455105418033
8000.0	0.001	7.1	0.13	0.73	2.24	1.015589939754334	0.031669439915196926
8000.0	0.001	7.1	0.13	0.73	2.24	1.0176225717237033	0.03186432877621353
8000.0	0.001	7.1	0.13	0.73	2.24	1.0190446632176826	0.032059217637230124
8000.0	0.001	7.1	0.13	0.73	2.24	1.0268401110515435	0.03225410649824672
8000.0	0.001	7.1	0.13	0.73	2.24	1.0281506803990383	0.03244899535926332
8000.0	0.001	7.1	0.13	0.73	2.24	1.0253992551335673	0.03264388422027992
8000.0	0.001	7.1	0.13	0.73	2.24	1.0266976821961091	0.03283877308129651
8000.0	0.001	7.1	0.13	0.73	2.24	1.0291777478916913	0.03303366194231311
8000.0	0.001	7.1	0.13	0.73	2.24	1.0297900618035538	0.033228550803329704
8000.0	0.001	7.1	0.13	0.73	2.24	1.0338123427954924	0.0334234396643463
8000.0	0.001	7.1	0.13	0.73	2.24	1.0372335763908895	0.033618328525362895
8000.0	0.001	7.1	0.13	0.73	2.24	1.0363590046769815	0.03381321738637949
8000.0	0.001	7.1	0.13	0.73	2.24	1.0357826724433976	0.034008106247396086
8000.0	0.001	7.1	0.13	0.73	2.24	1.0389312112598277	0.03420299510841268
8000.0	0.001	7.1	0.13	0.73	2.24	1.039838226860375	0.034397883969429284
8000.0	0.001	7.1	0.13	0.73	2.24	1.0360983682277523	0.03459277283044588
8000.0	0.001	7.1	0.13	0.73	2.24	1.0377931347961449	0.034787661691462475
8000.0	0.001	7.1	0.13	0.73	2.24	1.0453156367916285	0.03498255055247907
8000.0	0.001	7.1	0.13	0.73	2.24	1.0477385241175827	0.035177439413495666
8000.0	0.001	7.1	0.13	0.73	2.24	1.0476742882017092	0.03537232827451227
8000.0	0.001	7.1	0.13	0.73	2.24	1.0413066142965923	0.035567217135528864
8000.0	0.001	7.1	0.13	0.73	2.24	1.0438605757818282	0.03576210599654546
8000.0	0.001	7.1	0.13	0.73	2.24	1.0437032827075734	0.035956994857562055
8000.0	0.001	7.1	0.13	0.73	2.24	1.0411043724099502	0.03615188371857865
8000.0	0.001	7.1	0.13	0.73	2.24	1.0388686318190075	0.036346772579595246
8000.0	0.001	7.1	0.13	0.73	2.24	1.0476051029248494	0.03654166144061184
8000.0	0.001	7.1	0.13	0.73	2.24	1.0481070360904206	0.03673655030162844
8000.0	0.001	7.1	0.13	0.73	2.24	1.0464952112430885	0.03693143916264503
8000.0	0.001	7.1	0.13	0.73	2.24	1.0513601292792545	0.037126328023661635
8000.0	0.001	7.1	0.13	0.73	2.24	1.0446972714474976	0.03732121688467823
8000.0	0.001	7.1	0.13	0.73	2.24	1.046407903131758	0.037516105745694826
8000.0	0.001	7.1	0.13	0.73	2.24	1.0457265953687263	0.03771099460671142
8000.0	0.001	7.1	0.13	0.73	2.24	1.0512060843368438	0.037905883467728024
8000.0	0.001	7.1	0.13	0.73	2.24	1.0397013109352795	0.03810077232874462
8000.0	0.001	7.1	0.13	0.73	2.24	1.0485295802306922	0.038295661189761215
8000.0	0.001	7.1	0.13	0.73	2.24	1.045294263511731	0.03849055005077781
8000.0	0.001	7.1	0.13	0.73	2.24	1.0429327458160333	0.038685438911794406
8000.0	0.001	7.1	0.13	0.73	2.24	1.0372547667464078	0.038880327772811
8000.0	0.001	7.1	0.13	0.73	2.24	1.0472201048712138	0.0390752166338276
8000.0	0.001	7.1	0.13	0.73	2.24	1.0388282068034764	0.03927010549484419
8000.0	0.001	7.1	0.13	0.73	2.24	1.035508137239478	0.03946499435586079
8000.0	0.001	7.1	0.13	0.73	2.24	1.0423717669769317	0.03965988321687739
8000.0	0.001	7.1	0.13	0.73	2.24	1.0296769722847587	0.039854772077893987
8000.0	0.001	7.1	0.13	0.73	2.24	1.0335800614615487	0.04004966093891058
8000.0	0.001	7.1	0.13	0.73	2.24	1.0305744849163347	0.040244549799927185
8000.0	0.001	7.1	0.13	0.73	2.24	1.026634220621505	0.04043943866094377
8000.0	0.001	7.1	0.13	0.73	2.24	1.0334077883573078	0.040634327521960376
8000.0	0.001	7.1	0.13	0.73	2.24	1.0255747164932543	0.040829216382976964
8000.0	0.001	7.1	0.13	0.73	2.24	1.0213971932857977	0.04102410524399357
8000.0	0.001	7.1	0.13	0.73	2.24	1.023486289202769	0.041218994105010155
8000.0	0.001	7.1	0.13	0.73	2.24	1.0141102482904538	0.04141388296602676
8000.0	0.001	7.1	0.13	0.73	2.24	1.0110633746584947	0.041608771827043346
8000.0	0.001	7.1	0.13	0.73	2.24	1.009808712964285	0.04180366068805995
8000.0	0.001	7.1	0.13	0.73	2.24	1.0125369368929613	0.04199854954907655
8000.0	0.001	7.1	0.13	0.73	2.24	1.0044704860635347	0.04219343841009314
8000.0	0.001	7.1	0.13	0.73	2.24	1.0002194828765618	0.04238832727110974
8000.0	0.001	7.1	0.13	0.73	2.24	0.9959751407952233	0.04258321613212633
8000.0	0.001	7.1	0.13	0.73	2.24	0.9924199147150148	0.04277810499314293
8000.0	0.001	7.1	0.13	0.73	2.24	1.0019141613232414	0.04297299385415952
8000.0	0.001	7.1	0.13	0.73	2.24	0.9836572304191681	0.043167882715176124
8000.0	0.001	7.1	0.13	0.73	2.24	1.001287701301315	0.04336277157619271
8000.0	0.001	7.1	0.13	0.73	2.24	0.9890132556544845	0.043557660437209315
8000.0	0.001	7.1	0.13	0.73	2.24	0.9847929847838056	0.04375254929822591
8000.0	0.001	7.1	0.13	0.73	2.24	0.9785812223493798	0.043947438159242506
8000.0	0.001	7.1	0.13	0.73	2.24	0.9844657905371634	0.044142327020259116
8000.0	0.001	7.1	0.13	0.73	2.24	0.9952313314462373	0.0443372158812757
8000.0	0.001	7.1	0.13	0.73	2.24	0.9801447953959088	0.04453210474229231
8000.0	0.001	7.1	0.13	0.73	2.24	0.9931384201589879	0.04472699360330889
8000.0	0.001	7.1	0.13	0.73	2.24	0.9786366082006028	0.0449218824643255
8000.0	0.001	7.1	0.13	0.73	2.24	0.9899958762887784	0.04511677132534208
8000.0	0.001	7.1	0.13	0.73	2.24	0.9917718984022899	0.04531166018635869
8000.0	0.001	7.1	0.13	0.73	2.24	0.9678746668152448	0.045506549047375285
8000.0	0.001	7.1	0.13	0.73	2.24	0.9812673315936629	0.04570143790839188
8000.0	0.001	7.1	0.13	0.73	2.24	0.9855462295687225	0.04589632676940848
8000.0	0.001	7.1	0.13	0.73	2.24	0.9567928669277911	0.04609121563042507
8000.0	0.001	7.1	0.13	0.73	2.24	0.969171675080032	0.046286104491441674
8000.0	0.001	7.1	0.13	0.73	2.24	0.9969219398847436	0.04648099335245826
8000.0	0.001	7.1	0.13	0.73	2.24	0.9879029019697998	0.046675882213474865
8000.0	0.001	7.1	0.13	0.73	2.24	0.9650397151641685	0.04687077107449145
8000.0	0.001	7.1	0.13	0.73	2.24	0.9785252014277082	0.047065659935508056
8000.0	0.001	7.1	0.13	0.73	2.24	0.9633771982365996	0.04726054879652465
8000.0	0.001	7.1	0.13	0.73	2.24	0.9538634159918105	0.04745543765754125
8000.0	0.001	7.1	0.13	0.73	2.24	0.9551376247301401	0.04765032651855785
8000.0	0.001	7.1	0.13	0.73	2.24	0.952763387907521	0.04784521537957444
8000.0	0.001	7.1	0.13	0.73	2.24	1.0032996800509044	0.04804010424059104
8000.0	0.001	7.1	0.13	0.73	2.24	0.9454525673289742	0.04823499310160763
8000.0	0.001	7.1	0.13	0.73	2.24	0.9481918611614082	0.04842988196262423
8000.0	0.001	7.1	0.13	0.73	2.24	1.0016790299185336	0.04862477082364082
8000.0	0.001	7.1	0.13	0.73	2.24	0.9625360938637852	0.04881965968465742
8000.0	0.001	7.1	0.13	0.73	2.24	0.9585769470144554	0.04901454854567402
8000.0	0.001	7.1	0.13	0.73	2.24	0.9115749902991395	0.04920943740669061
8000.0	0.001	7.1	0.13	0.73	2.24	0.9520700067436575	0.049404326267707216
8000.0	0.001	7.1	0.13	0.73	2.24	0.9199677522862856	0.049599215128723805
8000.0	0.001	7.1	0.13	0.73	2.24	0.8464487238129653	0.04979410398974041
8000.0	0.001	7.1	0.13	0.73	2.24	0.7147057939395084	0.049988992850756996
8000.0	0.001	7.1	0.13	0.73	2.24	1.1977610976901762	0.0501838817117736
8000.0	0.001	7.1	0.13	0.73	2.24	1.2355425600890364	0.05037877057279019
8000.0	0.01	4.89	0.13	0.73	2.24	0.8388452461209808	0.000629812992975223
8000.0	0.01	4.89	0.13	0.73	2.24	0.7371996261477712	0.0010496883216253715
8000.0	0.01	4.89	0.13	0.73	2.24	0.9634429469816148	0.0014695636502755204
8000.0	0.01	4.89	0.13	0.73	2.24	1.0080342731488636	0.0018894389789256688
8000.0	0.01	4.89	0.13	0.73	2.24	1.021373437244718	0.0023093143075758175
8000.0	0.01	4.89	0.13	0.73	2.24	0.9741271858559063	0.002729189636225966
8000.0	0.01	4.89	0.13	0.73	2.24	1.0772704276473308	0.003149064964876115
8000.0	0.01	4.89	0.13	0.73	2.24	1.0924560431284682	0.0035689402935262637
8000.0	0.01	4.89	0.13	0.73	2.24	1.0412811590549136	0.0039888156221764125
8000.0	0.01	4.89	0.13	0.73	2.24	1.0676444313807443	0.0044086909508265605
8000.0	0.01	4.89	0.13	0.73	2.24	1.0174382747044914	0.004828566279476709
8000.0	0.01	4.89	0.13	0.73	2.24	1.0598047105386512	0.005248441608126859
8000.0	0.01	4.89	0.13	0.73	2.24	1.0980234889273353	0.005668316936777007
8000.0	0.01	4.89	0.13	0.73	2.24	1.1413439851017149	0.006088192265427155
8000.0	0.01	4.89	0.13	0.73	2.24	1.136617316262059	0.006508067594077305
8000.0	0.01	4.89	0.13	0.73	2.24	1.1260956126889254	0.006927942922727453
8000.0	0.01	4.89	0.13	0.73	2.24	1.1029481961590348	0.007347818251377603
8000.0	0.01	4.89	0.13	0.73	2.24	1.087188917824383	0.007767693580027751
8000.0	0.01	4.89	0.13	0.73	2.24	1.154089697772896	0.008187568908677898
8000.0	0.01	4.89	0.13	0.73	2.24	1.1034693890882967	0.008607444237328048
8000.0	0.01	4.89	0.13	0.73	2.24	1.095821792774979	0.009027319565978196
8000.0	0.01	4.89	0.13	0.73	2.24	1.1260755271776681	0.009447194894628346
8000.0	0.01	4.89	0.13	0.73	2.24	1.0649758871504438	0.009867070223278493
8000.0	0.01	4.89	0.13	0.73	2.24	1.0508861978250315	0.010286945551928644
8000.0	0.01	4.89	0.13	0.73	2.24	1.0956990250489742	0.010706820880578791
8000.0	0.01	4.89	0.13	0.73	2.24	1.0584848957624888	0.011126696209228938
8000.0	0.01	4.89	0.13	0.73	2.24	1.0621594182759577	0.011546571537879089
8000.0	0.01	4.89	0.13	0.73	2.24	1.0310588357511323	0.011966446866529236
8000.0	0.01	4.89	0.13	0.73	2.24	1.0436125296934524	0.012386322195179385
8000.0	0.01	4.89	0.13	0.73	2.24	1.0174542166658487	0.012806197523829534
8000.0	0.01	4.89	0.13	0.73	2.24	1.031782871996185	0.013226072852479684
8000.0	0.01	4.89	0.13	0.73	2.24	1.0308535217268233	0.01364594818112983
8000.0	0.01	4.89	0.13	0.73	2.24	1.0048866046534568	0.01406582350977998
8000.0	0.01	4.89	0.13	0.73	2.24	1.0074981604051954	0.014485698838430129
8000.0	0.01	4.89	0.13	0.73	2.24	0.9841091169184066	0.014905574167080278
8000.0	0.01	4.89	0.13	0.73	2.24	0.9945245843046703	0.015325449495730425
8000.0	0.01	4.89	0.13	0.73	2.24	0.9704177089823071	0.015745324824380576
8000.0	0.01	4.89	0.13	0.73	2.24	0.984147763526601	0.016165200153030725
8000.0	0.01	4.89	0.13	0.73	2.24	0.9954028564164978	0.01658507548168087
8000.0	0.01	4.89	0.13	0.73	2.24	0.9684280415992895	0.017004950810331022
8000.0	0.01	4.89	0.13	0.73	2.24	0.9796746969074633	0.01742482613898117
8000.0	0.01	4.89	0.13	0.73	2.24	0.9430923110671487	0.017844701467631317
8000.0	0.01	4.89	0.13	0.73	2.24	0.9471734569532789	0.018264576796281465
8000.0	0.01	4.89	0.13	0.73	2.24	0.9636577225326827	0.018684452124931618
8000.0	0.01	4.89	0.13	0.73	2.24	0.9451113345964599	0.019104327453581763
8000.0	0.01	4.89	0.13	0.73	2.24	0.9409062167804181	0.019524202782231912
8000.0	0.01	4.89	0.13	0.73	2.24	0.9329876621649732	0.01994407811088206
8000.0	0.01	4.89	0.13	0.73	2.24	0.9408443610686665	0.020363953439532213
8000.0	0.01	4.89	0.13	0.73	2.24	0.9396264941246374	0.02078382876818236
8000.0	0.01	4.89	0.13	0.73	2.24	0.9424716960039896	0.021203704096832508
8000.0	0.01	4.89	0.13	0.73	2.24	0.936650565420743	0.021623579425482656
8000.0	0.01	4.89	0.13	0.73	2.24	0.9472096053408631	0.022043454754132802
8000.0	0.01	4.89	0.13	0.73	2.24	0.9419221866980216	0.022463330082782954
8000.0	0.01	4.89	0.13	0.73	2.24	0.9502419985065865	0.022883205411433103
8000.0	0.01	4.89	0.13	0.73	2.24	0.9491629478675598	0.023303080740083252
8000.0	0.01	4.89	0.13	0.73	2.24	0.9483657027997963	0.023722956068733397
8000.0	0.01	4.89	0.13	0.73	2.24	0.9519907862506694	0.02414283139738355
8000.0	0.01	4.89	0.13	0.73	2.24	0.95415964551313	0.024562706726033695
8000.0	0.01	4.89	0.13	0.73	2.24	0.9524641852792143	0.024982582054683844
8000.0	0.01	4.89	0.13	0.73	2.24	0.9565433982223384	0.025402457383333993
8000.0	0.01	4.89	0.13	0.73	2.24	0.9618756975457317	0.025822332711984145
8000.0	0.01	4.89	0.13	0.73	2.24	0.9579937244467779	0.026242208040634294
8000.0	0.01	4.89	0.13	0.73	2.24	0.9752161206411594	0.02666208336928444
8000.0	0.01	4.89	0.13	0.73	2.24	0.9616293374167257	0.02708195869793459
8000.0	0.01	4.89	0.13	0.73	2.24	0.9723290704154539	0.027501834026584734
8000.0	0.01	4.89	0.13	0.73	2.24	0.9723047052699847	0.027921709355234886
8000.0	0.01	4.89	0.13	0.73	2.24	0.9900750848200717	0.028341584683885035
