N	phi	epsd	delta	epsY	lamb	S	q
8000.0	0.001	7.1	0.13	0.73	2.24	1.4130426997814334	0.00029233329152489475
8000.0	0.001	7.1	0.13	0.73	2.24	2.298159615751949	0.00048722215254149126
8000.0	0.001	7.1	0.13	0.73	2.24	2.1962153363643253	0.0006821110135580877
8000.0	0.001	7.1	0.13	0.73	2.24	2.2546365818472216	0.0008769998745746843
8000.0	0.001	7.1	0.13	0.73	2.24	2.5724424936261956	0.0010718887355912806
8000.0	0.001	7.1	0.13	0.73	2.24	2.4254988993004623	0.001266777596607877
8000.0	0.001	7.1	0.13	0.73	2.24	2.4602008729290317	0.0014616664576244736
8000.0	0.001	7.1	0.13	0.73	2.24	2.5503066338941163	0.0016565553186410702
8000.0	0.001	7.1	0.13	0.73	2.24	2.4216241853300486	0.001851444179657667
8000.0	0.001	7.1	0.13	0.73	2.24	2.5074119427991364	0.002046333040674263
8000.0	0.001	7.1	0.13	0.73	2.24	2.418063043219777	0.00224122190169086
8000.0	0.001	7.1	0.13	0.73	2.24	2.493956592887542	0.0024361107627074562
8000.0	0.001	7.1	0.13	0.73	2.24	2.3053604140254484	0.002630999623724053
8000.0	0.001	7.1	0.13	0.73	2.24	2.505143872471006	0.002825888484740649
8000.0	0.001	7.1	0.13	0.73	2.24	2.4573182646004987	0.003020777345757246
8000.0	0.001	7.1	0.13	0.73	2.24	2.3737611443996633	0.0032156662067738422
8000.0	0.001	7.1	0.13	0.73	2.24	2.4391058646665686	0.003410555067790439
8000.0	0.001	7.1	0.13	0.73	2.24	2.3769518694260814	0.003605443928807035
8000.0	0.001	7.1	0.13	0.73	2.24	2.2995020312664587	0.003800332789823632
8000.0	0.001	7.1	0.13	0.73	2.24	2.364153819111722	0.003995221650840228
8000.0	0.001	7.1	0.13	0.73	2.24	2.2606089247732153	0.004190110511856825
8000.0	0.001	7.1	0.13	0.73	2.24	2.331613015346577	0.004384999372873421
8000.0	0.001	7.1	0.13	0.73	2.24	2.2704603534364955	0.0045798882338900174
