# x	y	z	sld
-3.942590065002441690e+01 9.343637847900390625e+01 8.885927600860594566e+01 1.000000000000000000e+00
-3.942590065002441690e+01 9.343637847900390625e+01 9.731444816589355185e+01 1.000000000000000000e+00
-3.091321735382079794e+01 9.343637847900390625e+01 8.040410385131835369e+01 1.000000000000000000e+00
-3.091321735382079794e+01 9.343637847900390625e+01 8.885927600860594566e+01 1.000000000000000000e+00
-3.091321735382079794e+01 9.343637847900390625e+01 9.731444816589355185e+01 1.000000000000000000e+00
-2.240053405761718608e+01 9.343637847900390625e+01 5.503858737945556356e+01 1.000000000000000000e+00
-5.375167465209955253e+00 9.343637847900390625e+01 5.503858737945556356e+01 1.000000000000000000e+00
-5.375167465209955253e+00 9.343637847900390625e+01 8.885927600860594566e+01 1.000000000000000000e+00
-5.375167465209955253e+00 9.343637847900390625e+01 9.731444816589355185e+01 1.000000000000000000e+00
3.137515830993656607e+00 9.343637847900390625e+01 4.658341522216797159e+01 1.000000000000000000e+00
3.137515830993656607e+00 9.343637847900390625e+01 5.503858737945556356e+01 1.000000000000000000e+00
3.137515830993656607e+00 9.343637847900390625e+01 6.349375953674316264e+01 1.000000000000000000e+00
3.137515830993656607e+00 9.343637847900390625e+01 8.885927600860594566e+01 1.000000000000000000e+00
3.137515830993656607e+00 9.343637847900390625e+01 9.731444816589355185e+01 1.000000000000000000e+00
1.165019912719726847e+01 9.343637847900390625e+01 4.658341522216797159e+01 1.000000000000000000e+00
1.165019912719726847e+01 9.343637847900390625e+01 8.040410385131835369e+01 1.000000000000000000e+00
1.165019912719726847e+01 9.343637847900390625e+01 8.885927600860594566e+01 1.000000000000000000e+00
1.165019912719726847e+01 9.343637847900390625e+01 9.731444816589355185e+01 1.000000000000000000e+00
2.016288242340088743e+01 9.343637847900390625e+01 8.885927600860594566e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.022956390380859375e+02 4.658341522216797159e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.022956390380859375e+02 4.658341522216797159e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.022956390380859375e+02 6.349375953674316264e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.022956390380859375e+02 4.658341522216797159e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.022956390380859375e+02 7.194893169403076172e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.022956390380859375e+02 6.349375953674316264e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.022956390380859375e+02 7.194893169403076172e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 3.812824306488037251e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 4.658341522216797159e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 6.349375953674316264e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 7.194893169403076172e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.022956390380859375e+02 1.057696203231811438e+02 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 3.812824306488037251e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 4.658341522216797159e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 9.731444816589355185e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.022956390380859375e+02 1.057696203231811438e+02 1.000000000000000000e+00
2.016288242340088743e+01 1.022956390380859375e+02 5.503858737945556356e+01 1.000000000000000000e+00
2.016288242340088743e+01 1.022956390380859375e+02 8.040410385131835369e+01 1.000000000000000000e+00
2.016288242340088743e+01 1.022956390380859375e+02 8.885927600860594566e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.111548995971679688e+02 1.057696203231811438e+02 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
-5.375167465209955253e+00 1.111548995971679688e+02 1.057696203231811438e+02 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
3.137515830993656607e+00 1.111548995971679688e+02 1.057696203231811438e+02 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 5.503858737945556356e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 7.194893169403076172e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 8.885927600860594566e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
1.165019912719726847e+01 1.111548995971679688e+02 1.057696203231811438e+02 1.000000000000000000e+00
2.016288242340088743e+01 1.111548995971679688e+02 3.812824306488037251e+01 1.000000000000000000e+00
2.016288242340088743e+01 1.111548995971679688e+02 4.658341522216797159e+01 1.000000000000000000e+00
2.016288242340088743e+01 1.111548995971679688e+02 6.349375953674316264e+01 1.000000000000000000e+00
2.016288242340088743e+01 1.111548995971679688e+02 8.040410385131835369e+01 1.000000000000000000e+00
2.016288242340088743e+01 1.111548995971679688e+02 9.731444816589355185e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 3.812824306488037251e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 4.658341522216797159e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 5.503858737945556356e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 7.194893169403076172e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 8.040410385131835369e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 8.885927600860594566e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 9.731444816589355185e+01 1.000000000000000000e+00
-4.793858394622802876e+01 1.200141601562500000e+02 1.057696203231811438e+02 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 3.812824306488037251e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 4.658341522216797159e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 5.503858737945556356e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 6.349375953674316264e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 7.194893169403076172e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 8.040410385131835369e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 8.885927600860594566e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 9.731444816589355185e+01 1.000000000000000000e+00
-3.942590065002441690e+01 1.200141601562500000e+02 1.057696203231811438e+02 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 3.812824306488037251e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 4.658341522216797159e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 5.503858737945556356e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 6.349375953674316264e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 7.194893169403076172e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 8.040410385131835369e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 8.885927600860594566e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 9.731444816589355185e+01 1.000000000000000000e+00
-3.091321735382079794e+01 1.200141601562500000e+02 1.057696203231811438e+02 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 3.812824306488037251e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 4.658341522216797159e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 5.503858737945556356e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 6.349375953674316264e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 7.194893169403076172e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 8.040410385131835369e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 8.885927600860594566e+01 1.000000000000000000e+00
-2.240053405761718608e+01 1.200141601562500000e+02 1.057696203231811438e+02 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 3.812824306488037251e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 4.658341522216797159e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 5.503858737945556356e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 6.349375953674316264e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 8.040410385131835369e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 8.885927600860594566e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 9.731444816589355185e+01 1.000000000000000000e+00
-1.388785076141357422e+01 1.200141601562500000e+02 1.057696203231811438e+02 1.000000000000000000e+00
-5.375167465209955253e+00 1.200141601562500000e+02 4.658341522216797159e+01 1.000000000000000000e+00
