q,I,dI
0.116686964,295.8491588,0
0.116776589,295.7349803,0
0.116866283,295.6206683,0
0.116956045,295.5062228,0
0.117045877,295.3916437,0
0.117135777,295.2769308,0
0.117225747,295.1620841,0
0.117315785,295.0471035,0
0.117405893,294.931989,0
0.11749607,294.8167403,0
0.117586316,294.7013575,0
0.117676632,294.5858405,0
0.117767017,294.4701891,0
0.117857471,294.3544032,0
0.117947995,294.2384829,0
0.118038589,294.1224279,0
0.118129252,294.0062382,0
0.118219984,293.8899138,0
0.118310786,293.7734545,0
0.118401659,293.6568602,0
0.1184926,293.5401309,0
0.118583612,293.4232664,0
0.118674694,293.3062667,0
0.118765845,293.1891317,0
0.118857067,293.0718613,0
0.118948358,292.9544555,0
0.11903972,292.836914,0
0.119131152,292.7192369,0
0.119222654,292.6014241,0
0.119314227,292.4834755,0
0.119405869,292.3653909,0
0.119497583,292.2471703,0
0.119589366,292.1288137,0
0.11968122,292.0103208,0
0.119773145,291.8916918,0
0.11986514,291.7729264,0
0.119957206,291.6540245,0
0.120049343,291.5349862,0
0.12014155,291.4158113,0
0.120233828,291.2964997,0
0.120326177,291.1770513,0
0.120418597,291.0574661,0
0.120511088,290.937744,0
0.120603651,290.8178849,0
0.120696284,290.6978886,0
0.120788988,290.5777552,0
0.120881763,290.4574846,0
0.12097461,290.3370766,0
0.121067528,290.2165312,0
0.121160518,290.0958482,0
0.121253579,289.9750277,0
0.121346711,289.8540695,0
0.121439915,289.7329736,0
0.12153319,289.6117399,0
0.121626537,289.4903682,0
0.121719956,289.3688585,0
0.121813447,289.2472108,0
0.121907009,289.1254249,0
0.122000643,289.0035008,0
0.122094349,288.8814383,0
0.122188128,288.7592375,0
0.122281978,288.6368982,0
0.1223759,288.5144203,0
0.122469894,288.3918038,0
0.122563961,288.2690486,0
0.1226581,288.1461546,0
0.122752311,288.0231218,0
0.122846594,287.89995,0
0.12294095,287.7766391,0
0.123035379,287.6531892,0
0.12312988,287.5296001,0
0.123224453,287.4058717,0
0.123319099,287.282004,0
0.123413818,287.1579968,0
0.12350861,287.0338502,0
0.123603474,286.909564,0
0.123698411,286.7851382,0
0.123793421,286.6605727,0
0.123888504,286.5358673,0
0.123983661,286.4110221,0
0.12407889,286.2860369,0
0.124174192,286.1609117,0
0.124269568,286.0356465,0
0.124365017,285.910241,0
0.124460539,285.7846953,0
0.124556134,285.6590093,0
0.124651803,285.5331829,0
0.124747546,285.407216,0
0.124843362,285.2811086,0
0.124939251,285.1548605,0
0.125035215,285.0284718,0
0.125131252,284.9019423,0
0.125227362,284.7752719,0
0.125323547,284.6484607,0
0.125419805,284.5215085,0
0.125516138,284.3944152,0
0.125612544,284.2671808,0
0.125709024,284.1398052,0
0.125805579,284.0122884,0
0.125902207,283.8846302,0
0.12599891,283.7568306,0
0.126095687,283.6288895,0
0.126192539,283.5008069,0
0.126289465,283.3725826,0
0.126386465,283.2442167,0
0.12648354,283.115709,0
0.126580689,282.9870595,0
0.126677913,282.8582681,0
0.126775212,282.7293347,0
0.126872585,282.6002592,0
0.126970033,282.4710417,0
0.127067556,282.341682,0
0.127165154,282.2121801,0
0.127262827,282.0825359,0
0.127360575,281.9527493,0
0.127458398,281.8228202,0
0.127556296,281.6927487,0
0.12765427,281.5625346,0
0.127752318,281.4321778,0
0.127850442,281.3016784,0
0.127948641,281.1710361,0
0.128046916,281.0402511,0
0.128145266,280.9093231,0
0.128243692,280.7782522,0
0.128342193,280.6470382,0
0.12844077,280.5156812,0
0.128539423,280.3841809,0
0.128638151,280.2525375,0
0.128736956,280.1207508,0
0.128835836,279.9888207,0
0.128934792,279.8567473,0
0.129033824,279.7245303,0
0.129132932,279.5921699,0
0.129232116,279.4596658,0
0.129331377,279.3270181,0
0.129430714,279.1942266,0
0.129530127,279.0612914,0
0.129629616,278.9282123,0
0.129729182,278.7949893,0
0.129828824,278.6616224,0
0.129928543,278.5281115,0
0.130028338,278.3944564,0
0.13012821,278.2606573,0
