<X> <Y> <dY> <dX>
6.688960000000000e-04 4.159290000000000e+10 9.261770000000000e+11 5.774470000000000e+11
1.337790000000000e-03 4.137550000000000e+10 9.213470000000000e+11 5.744360000000000e+11
2.006690000000000e-03 4.101510000000000e+10 9.133400000000000e+11 5.694450000000000e+11
2.675590000000000e-03 4.051490000000000e+10 9.022260000000000e+11 5.625160000000000e+11
3.344480000000000e-03 3.987890000000000e+10 8.880960000000000e+11 5.537080000000000e+11
4.013380000000000e-03 3.911260000000000e+10 8.710690000000000e+11 5.430939999999999e+11
4.682270000000000e-03 3.822230000000000e+10 8.512850000000000e+11 5.307610000000001e+11
5.351170000000000e-03 3.721530000000000e+10 8.289080000000000e+11 5.168120000000000e+11
6.020070000000000e-03 3.609990000000000e+10 8.041200000000000e+11 5.013600000000000e+11
6.688960000000000e-03 3.488510000000000e+10 7.771230000000000e+11 4.845300000000000e+11
7.357860000000000e-03 3.358080000000000e+10 7.481320000000000e+11 4.664580000000000e+11
8.026760000000001e-03 3.219730000000000e+10 7.173790000000000e+11 4.472860000000000e+11
8.695649999999999e-03 3.074550000000000e+10 6.851040000000000e+11 4.271650000000000e+11
9.364549999999999e-03 2.923650000000000e+10 6.515550000000000e+11 4.062510000000000e+11
1.003340000000000e-02 2.768190000000000e+10 6.169870000000000e+11 3.847010000000000e+11
1.070230000000000e-02 2.609330000000000e+10 5.816580000000000e+11 3.626760000000000e+11
1.137120000000000e-02 2.448230000000000e+10 5.458260000000000e+11 3.403360000000000e+11
1.204010000000000e-02 2.286030000000000e+10 5.097440000000000e+11 3.178420000000000e+11
1.270900000000000e-02 2.123860000000000e+10 4.736640000000000e+11 2.953470000000000e+11
1.337790000000000e-02 1.962820000000000e+10 4.378280000000000e+11 2.730050000000000e+11
1.404680000000000e-02 1.803940000000000e+10 4.024680000000000e+11 2.509590000000000e+11
1.471570000000000e-02 1.648230000000000e+10 3.678050000000000e+11 2.293470000000000e+11
1.538460000000000e-02 1.496600000000000e+10 3.340450000000000e+11 2.082980000000000e+11
1.605350000000000e-02 1.349920000000000e+10 3.013800000000000e+11 1.879310000000000e+11
1.672240000000000e-02 1.208970000000000e+10 2.699820000000000e+11 1.683540000000000e+11
1.739130000000000e-02 1.074440000000000e+10 2.400070000000000e+11 1.496630000000000e+11
1.806020000000000e-02 9.469290000000000e+09 2.115890000000000e+11 1.319440000000000e+11
1.872910000000000e-02 8.269570000000000e+09 1.848440000000000e+11 1.152670000000000e+11
1.939800000000000e-02 7.149400000000000e+09 1.598640000000000e+11 9.969000000000000e+10
2.006690000000000e-02 6.112000000000000e+09 1.367220000000000e+11 8.525930000000000e+10
2.073580000000000e-02 5.159620000000000e+09 1.154690000000000e+11 7.200650000000000e+10
2.140470000000000e-02 4.293590000000000e+09 9.613610000000000e+10 5.995020000000001e+10
2.207360000000000e-02 3.514280000000000e+09 7.873160000000000e+10 4.909650000000000e+10
2.274250000000000e-02 2.821220000000000e+09 6.324580000000000e+10 3.943920000000000e+10
2.341140000000000e-02 2.213050000000000e+09 4.964970000000000e+10 3.096030000000000e+10
2.408030000000000e-02 1.687640000000000e+09 3.789690000000000e+10 2.363080000000000e+10
2.474920000000000e-02 1.242150000000000e+09 2.792460000000000e+10 1.741170000000000e+10
2.541810000000000e-02 8.730290000000000e+08 1.965510000000000e+10 1.225450000000000e+10
2.608700000000000e-02 5.761840000000000e+08 1.299760000000000e+10 8.102830000000000e+09
2.675590000000000e-02 3.469870000000000e+08 7.850150000000000e+09 4.892910000000000e+09
2.742470000000000e-02 1.803870000000000e+08 4.100770000000000e+09 2.555080000000000e+09
2.809360000000000e-02 7.098780000000000e+07 1.629910000000000e+09 1.014780000000000e+09
2.876250000000000e-02 1.313320000000000e+07 3.120720000000000e+08 1.937720000000000e+08
2.943140000000000e-02 9.901380000000000e+05 1.773450000000000e+07 1.130720000000000e+07
3.010030000000000e-02 2.863280000000000e+07 6.151900000000000e+08 3.852520000000000e+08
3.076920000000000e-02 9.012310000000000e+07 1.972340000000000e+09 1.233220000000000e+09
