<X> <Y> <dY> <dX>
6.688960000000000e-04 4.777120000000000e+10 4.519840000000000e+11 2.072030000000000e+11
1.337790000000000e-03 4.766420000000000e+10 4.509540000000000e+11 2.067270000000000e+11
2.006690000000000e-03 4.748630000000000e+10 4.492420000000000e+11 2.059350000000000e+11
2.675590000000000e-03 4.723830000000000e+10 4.468560000000000e+11 2.048320000000000e+11
3.344480000000000e-03 4.692120000000000e+10 4.438050000000000e+11 2.034210000000000e+11
4.013380000000000e-03 4.653640000000000e+10 4.401030000000000e+11 2.017090000000000e+11
4.682270000000000e-03 4.608530000000000e+10 4.357630000000000e+11 1.997020000000000e+11
5.351170000000000e-03 4.556990000000000e+10 4.308060000000000e+11 1.974100000000000e+11
6.020070000000000e-03 4.499230000000000e+10 4.252500000000000e+11 1.948410000000000e+11
6.688960000000000e-03 4.435480000000000e+10 4.191200000000000e+11 1.920070000000000e+11
7.357860000000000e-03 4.365990000000000e+10 4.124390000000000e+11 1.889180000000000e+11
8.026760000000001e-03 4.291050000000000e+10 4.052340000000000e+11 1.855880000000000e+11
8.695649999999999e-03 4.210950000000000e+10 3.975350000000000e+11 1.820300000000000e+11
9.364549999999999e-03 4.126000000000000e+10 3.893720000000000e+11 1.782570000000000e+11
1.003340000000000e-02 4.036540000000000e+10 3.807770000000000e+11 1.742860000000000e+11
1.070230000000000e-02 3.942900000000000e+10 3.717830000000000e+11 1.701300000000000e+11
1.137120000000000e-02 3.845450000000000e+10 3.624250000000000e+11 1.658070000000000e+11
1.204010000000000e-02 3.744540000000000e+10 3.527380000000000e+11 1.613320000000000e+11
1.270900000000000e-02 3.640540000000000e+10 3.427570000000000e+11 1.567230000000000e+11
1.337790000000000e-02 3.533840000000000e+10 3.325200000000000e+11 1.519970000000000e+11
1.404680000000000e-02 3.424800000000000e+10 3.220630000000000e+11 1.471690000000000e+11
1.471570000000000e-02 3.313810000000000e+10 3.114230000000000e+11 1.422580000000000e+11
1.538460000000000e-02 3.201260000000000e+10 3.006370000000000e+11 1.372810000000000e+11
1.605350000000000e-02 3.087500000000000e+10 2.897410000000000e+11 1.322540000000000e+11
1.672240000000000e-02 2.972920000000000e+10 2.787700000000000e+11 1.271940000000000e+11
1.739130000000000e-02 2.857870000000000e+10 2.677610000000000e+11 1.221170000000000e+11
1.806020000000000e-02 2.742710000000000e+10 2.567460000000000e+11 1.170390000000000e+11
1.872910000000000e-02 2.627790000000000e+10 2.457600000000000e+11 1.119760000000000e+11
1.939800000000000e-02 2.513430000000000e+10 2.348350000000000e+11 1.069430000000000e+11
2.006690000000000e-02 2.399960000000000e+10 2.240010000000000e+11 1.019530000000000e+11
2.073580000000000e-02 2.287680000000000e+10 2.132870000000000e+11 9.702070000000000e+10
2.140470000000000e-02 2.176870000000000e+10 2.027220000000000e+11 9.215820000000000e+10
2.207360000000000e-02 2.067800000000000e+10 1.923310000000000e+11 8.737790000000000e+10
2.274250000000000e-02 1.960730000000000e+10 1.821380000000000e+11 8.269090000000000e+10
2.341140000000000e-02 1.855900000000000e+10 1.721660000000000e+11 7.810750000000000e+10
2.408030000000000e-02 1.753510000000000e+10 1.624360000000000e+11 7.363730000000000e+10
2.474920000000000e-02 1.653760000000000e+10 1.529660000000000e+11 6.928880000000000e+10
2.541810000000000e-02 1.556830000000000e+10 1.437720000000000e+11 6.506960000000000e+10
2.608700000000000e-02 1.462870000000000e+10 1.348700000000000e+11 6.098640000000000e+10
2.675590000000000e-02 1.372010000000000e+10 1.262720000000000e+11 5.704510000000000e+10
2.742470000000000e-02 1.284370000000000e+10 1.179890000000000e+11 5.325060000000000e+10
2.809360000000000e-02 1.200050000000000e+10 1.100290000000000e+11 4.960680000000000e+10
2.876250000000000e-02 1.119110000000000e+10 1.023990000000000e+11 4.611680000000000e+10
2.943140000000000e-02 1.041620000000000e+10 9.510480000000000e+10 4.278280000000000e+10
3.010030000000000e-02 9.676010000000000e+09 8.814910000000000e+10 3.960630000000000e+10
3.076920000000000e-02 8.970870000000000e+09 8.153350000000000e+10 3.658780000000000e+10
3.143810000000000e-02 8.300750000000000e+09 7.525770000000000e+10 3.372700000000000e+10
3.210700000000000e-02 7.665530000000000e+09 6.932000000000000e+10 3.102320000000000e+10
3.277590000000000e-02 7.064920000000000e+09 6.371720000000000e+10 2.847470000000000e+10
3.344480000000000e-02 6.498480000000000e+09 5.844470000000000e+10 2.607920000000000e+10
3.411370000000000e-02 5.965650000000000e+09 5.349670000000000e+10 2.383400000000000e+10
3.478260000000000e-02 5.465770000000000e+09 4.886610000000000e+10 2.173570000000000e+10
3.545150000000000e-02 4.998030000000000e+09 4.454480000000000e+10 1.978030000000000e+10
3.612040000000000e-02 4.561550000000000e+09 4.052390000000000e+10 1.796370000000000e+10
3.678930000000000e-02 4.155360000000000e+09 3.679340000000000e+10 1.628120000000000e+10
3.745820000000000e-02 3.778410000000000e+09 3.334290000000000e+10 1.472770000000000e+10
3.812710000000000e-02 3.429580000000000e+09 3.016110000000000e+10 1.329810000000000e+10
3.879600000000000e-02 3.107710000000000e+09 2.723630000000000e+10 1.198660000000000e+10
3.946490000000000e-02 2.811580000000000e+09 2.455650000000000e+10 1.078780000000000e+10
4.013380000000000e-02 2.539970000000000e+09 2.210930000000000e+10 9.695750000000000e+09
4.080270000000000e-02 2.291590000000000e+09 1.988210000000000e+10 8.704560000000000e+09
4.147160000000000e-02 2.065180000000000e+09 1.786240000000000e+10 7.808290000000000e+09
4.214050000000000e-02 1.859460000000000e+09 1.603740000000000e+10 7.001020000000000e+09
4.280940000000000e-02 1.673140000000000e+09 1.439460000000000e+10 6.276830000000000e+09
4.347830000000000e-02 1.504980000000000e+09 1.292150000000000e+10 5.629900000000000e+09
4.414720000000000e-02 1.353730000000000e+09 1.160580000000000e+10 5.054530000000000e+09
4.481610000000000e-02 1.218170000000000e+09 1.043570000000000e+10 4.545110000000000e+09
4.548490000000000e-02 1.097110000000000e+09 9.399470000000000e+09 4.096250000000000e+09
4.615380000000000e-02 9.894170000000000e+08 8.485970000000000e+09 3.702710000000000e+09
4.682270000000000e-02 8.939750000000000e+08 7.684380000000000e+09 3.359470000000000e+09
4.749160000000000e-02 8.097250000000000e+08 6.984390000000000e+09 3.061730000000000e+09
4.816050000000000e-02 7.356570000000000e+08 6.376170000000000e+09 2.804930000000000e+09
4.882940000000000e-02 6.708090000000000e+08 5.850420000000000e+09 2.584770000000000e+09
4.949830000000000e-02 6.142730000000000e+08 5.398370000000000e+09 2.397180000000000e+09
5.016720000000000e-02 5.651930000000000e+08 5.011810000000000e+09 2.238370000000000e+09
5.083610000000000e-02 5.227710000000000e+08 4.683090000000000e+09 2.104810000000000e+09
5.150500000000000e-02 4.862610000000000e+08 4.405100000000000e+09 1.993240000000000e+09
5.217390000000000e-02 4.549730000000000e+08 4.171280000000000e+09 1.900640000000000e+09
5.284280000000000e-02 4.282710000000000e+08 3.975640000000000e+09 1.824280000000000e+09
5.351170000000000e-02 4.055700000000000e+08 3.812680000000000e+09 1.761650000000000e+09
5.418060000000000e-02 3.863380000000000e+08 3.677460000000000e+09 1.710510000000000e+09
5.484950000000000e-02 3.700920000000000e+08 3.565500000000000e+09 1.668820000000000e+09
5.551840000000000e-02 3.563960000000000e+08 3.472820000000000e+09 1.634810000000000e+09
5.618730000000000e-02 3.448590000000000e+08 3.395860000000000e+09 1.606870000000000e+09
5.685620000000000e-02 3.351330000000000e+08 3.331510000000000e+09 1.583630000000000e+09
5.752510000000000e-02 3.269090000000000e+08 3.277050000000000e+09 1.563890000000000e+09
5.819400000000000e-02 3.199160000000000e+08 3.230120000000000e+09 1.546620000000000e+09
5.886290000000000e-02 3.139190000000000e+08 3.188720000000000e+09 1.530960000000000e+09
5.953180000000000e-02 3.087130000000000e+08 3.151150000000000e+09 1.516190000000000e+09
6.020070000000000e-02 3.041220000000000e+08 3.115990000000000e+09 1.501720000000000e+09
