<X> <Y>
6.250000000000000e-03 4.109083717547820e+10
1.250000000000000e-02 4.085600118218066e+10
1.875000000000000e-02 4.054378101574903e+10
2.500000000000000e-02 4.013832731413295e+10
3.125000000000000e-02 3.962689339414098e+10
3.750000000000000e-02 3.900229773577186e+10
4.375000000000000e-02 3.826398073662434e+10
5.000000000000000e-02 3.741703613316316e+10
5.625000000000000e-02 3.646983594160287e+10
6.250000000000000e-02 3.542565446226028e+10
6.875000000000001e-02 3.430128077785975e+10
7.500000000000000e-02 3.310325794796099e+10
8.125000000000000e-02 3.183846293517685e+10
8.749999999999999e-02 3.051470631306066e+10
9.375000000000000e-02 2.914094645919875e+10
1.000000000000000e-01 2.772703877622240e+10
1.062500000000000e-01 2.628316246681768e+10
1.125000000000000e-01 2.481921562418177e+10
1.187500000000000e-01 2.334438155047001e+10
1.250000000000000e-01 2.186697258791018e+10
1.312500000000000e-01 2.039498582407733e+10
1.375000000000000e-01 1.893615293625757e+10
1.437500000000000e-01 1.749819752092204e+10
1.500000000000000e-01 1.608883947835177e+10
1.562500000000000e-01 1.471558002748978e+10
1.625000000000000e-01 1.338539882323999e+10
1.687500000000000e-01 1.210450029707659e+10
1.750000000000000e-01 1.087819040704018e+10
1.812500000000000e-01 9.710943581259752e+09
1.875000000000000e-01 8.606631885265034e+09
1.937500000000000e-01 7.568491523851481e+09
2.000000000000000e-01 6.599173142624799e+09
2.062500000000000e-01 5.700702077793261e+09
2.125000000000000e-01 4.874407378244985e+09
2.187500000000000e-01 4.120881858233037e+09
2.250000000000000e-01 3.439998369600849e+09
2.312500000000000e-01 2.830982881889948e+09
2.375000000000000e-01 2.292519695738824e+09
2.437500000000000e-01 1.822810733671748e+09
2.500000000000000e-01 1.419574877399952e+09
2.562500000000000e-01 1.080062631550362e+09
2.625000000000000e-01 8.010702616120647e+08
2.687500000000000e-01 5.789765831660920e+08
2.750000000000000e-01 4.098054623748243e+08
2.812500000000000e-01 2.893256020174375e+08
2.875000000000000e-01 2.131254063581960e+08
2.937500000000000e-01 1.766751937188681e+08
3.000000000000000e-01 1.753784907008163e+08
3.062500000000000e-01 2.046418255231055e+08
3.125000000000000e-01 2.599327818017038e+08
3.187500000000000e-01 3.368294974656690e+08
3.250000000000000e-01 4.310492115402951e+08
3.312500000000000e-01 5.384500138894584e+08
3.375000000000000e-01 6.550607585608172e+08
3.437500000000000e-01 7.770529264047042e+08
3.500000000000000e-01 9.007793722298704e+08
3.562500000000000e-01 1.022864825152940e+09
3.625000000000000e-01 1.140310012520998e+09
3.687500000000000e-01 1.250570249015428e+09
3.750000000000000e-01 1.351576811186707e+09
3.812500000000000e-01 1.441686774058468e+09
3.875000000000000e-01 1.519581193297439e+09
3.937500000000000e-01 1.584196113664230e+09
4.000000000000000e-01 1.634617112105034e+09
4.062500000000000e-01 1.670135053652417e+09
4.125000000000000e-01 1.690327413086681e+09
4.187500000000000e-01 1.695142874566489e+09
4.250000000000000e-01 1.684950893875498e+09
4.312500000000000e-01 1.660512316657606e+09
4.375000000000000e-01 1.622876713539953e+09
4.437500000000000e-01 1.573246804366833e+09
4.500000000000000e-01 1.512877023837799e+09
4.562500000000000e-01 1.442983328609879e+09
4.625000000000000e-01 1.364813161435603e+09
4.687500000000000e-01 1.279679174806408e+09
4.750000000000000e-01 1.189003481373051e+09
4.812500000000000e-01 1.094329173816904e+09
4.875000000000000e-01 9.972759173315721e+08
4.937500000000000e-01 8.994583501090865e+08
5.000000000000000e-01 8.024015614457864e+08
5.062500000000000e-01 7.074810312779415e+08
5.125000000000000e-01 6.158907449315826e+08
5.187500000000000e-01 5.287010772996351e+08
5.250000000000000e-01 4.468529064322607e+08
5.312500000000000e-01 3.711779537112693e+08
5.375000000000000e-01 3.024001892036406e+08
5.437500000000000e-01 2.411187101932520e+08
5.500000000000000e-01 1.877848983194486e+08
5.562500000000000e-01 1.426871508612996e+08
5.625000000000000e-01 1.059506163138596e+08
5.687500000000000e-01 7.753982067018156e+07
5.750000000000000e-01 5.729293740842565e+07
5.812500000000000e-01 4.492045815178177e+07
5.875000000000000e-01 4.002372926036087e+07
5.937500000000000e-01 4.210843637053835e+07
6.000000000000000e-01 5.059554293283068e+07
6.062500000000000e-01 6.483051929810169e+07
6.125000000000000e-01 8.409544966049428e+07
6.187500000000000e-01 1.076224211592568e+08
6.250000000000000e-01 1.346011463965013e+08
6.312500000000000e-01 1.641986493904198e+08
6.375000000000000e-01 1.955822119422118e+08
6.437500000000000e-01 2.279441137742430e+08
6.500000000000000e-01 2.605216455624330e+08
6.562500000000000e-01 2.926070495201997e+08
6.625000000000000e-01 3.235457033129683e+08
6.687500000000000e-01 3.527328064829689e+08
6.750000000000000e-01 3.796059015473460e+08
6.812500000000000e-01 4.036431133506955e+08
6.875000000000000e-01 4.243860368175891e+08
6.937500000000000e-01 4.414634322016593e+08
7.000000000000000e-01 4.546134122304823e+08
7.062500000000000e-01 4.636918073567099e+08
7.125000000000000e-01 4.686619040522171e+08
7.187500000000000e-01 4.695695231718071e+08
7.250000000000000e-01 4.665196204902392e+08
7.312500000000000e-01 4.596505892593298e+08
7.375000000000000e-01 4.491334676366434e+08
7.437500000000000e-01 4.351911523226634e+08
7.500000000000000e-01 4.181087335306656e+08
7.562500000000000e-01 3.982427727996549e+08
7.625000000000000e-01 3.760142614471085e+08
7.687500000000000e-01 3.518862132621352e+08
7.750000000000000e-01 3.263342656143374e+08
7.812500000000000e-01 2.998207553334646e+08
7.875000000000000e-01 2.727799507128698e+08
7.937500000000000e-01 2.456206777256333e+08
8.000000000000000e-01 2.187372364977022e+08
8.062500000000000e-01 1.925113472842941e+08
8.125000000000000e-01 1.673142980181341e+08
8.187500000000000e-01 1.435000874248358e+08
8.250000000000000e-01 1.213929030644536e+08
8.312500000000000e-01 1.012740443519174e+08
8.375000000000000e-01 8.337285999681748e+07
8.437500000000000e-01 6.786097947452800e+07
8.500000000000000e-01 5.485842112249193e+07
8.562500000000000e-01 4.443337601422356e+07
8.625000000000000e-01 3.660508985170252e+07
8.687500000000000e-01 3.134801148343104e+07
8.750000000000000e-01 2.859469990267844e+07
8.812500000000000e-01 2.823799107680275e+07
8.875000000000000e-01 3.013282266242612e+07
8.937500000000000e-01 3.410231707660182e+07
9.000000000000000e-01 3.993756816599484e+07
9.062500000000000e-01 4.740322184633835e+07
9.125000000000000e-01 5.624507058366144e+07
9.187500000000000e-01 6.619654999491845e+07
9.250000000000000e-01 7.698658735209383e+07
9.312500000000000e-01 8.834544055946434e+07
9.375000000000000e-01 1.000073126029290e+08
9.437500000000000e-01 1.117099493293909e+08
9.500000000000000e-01 1.231967251024454e+08
9.562500000000000e-01 1.342156485001372e+08
9.625000000000000e-01 1.445246866195772e+08
9.687500000000000e-01 1.539023820138921e+08
9.750000000000000e-01 1.621585768295816e+08
9.812500000000000e-01 1.691428283732428e+08
9.875000000000000e-01 1.747471721159640e+08
9.937500000000000e-01 1.789022743643155e+08
1.000000000000000e+00 1.815692927942616e+08
1.006250000000000e+00 1.827327635222125e+08
1.012500000000000e+00 1.823903846939427e+08
1.018750000000000e+00 1.805595251984350e+08
1.025000000000000e+00 1.772797795637617e+08
1.031250000000000e+00 1.726199160670869e+08
1.037500000000000e+00 1.666808879450834e+08
1.043750000000000e+00 1.595925991336112e+08
1.050000000000000e+00 1.515051846129484e+08
1.056250000000000e+00 1.425784584271131e+08
1.062500000000000e+00 1.329737187552236e+08
1.068750000000000e+00 1.228482059304737e+08
1.075000000000000e+00 1.123600144748244e+08
1.081250000000000e+00 1.016704123476212e+08
1.087500000000000e+00 9.094462163711366e+07
1.093750000000000e+00 8.035036374624379e+07
1.100000000000000e+00 7.005256842779034e+07
1.106250000000000e+00 6.020632383078126e+07
1.112500000000000e+00 5.095055460233202e+07
1.118750000000000e+00 4.240444080409966e+07
1.125000000000000e+00 3.466605433332545e+07
1.131250000000000e+00 2.781638679485756e+07
1.137500000000000e+00 2.191812415198570e+07
1.143750000000000e+00 1.701704337332739e+07
1.150000000000000e+00 1.314211249917269e+07
1.156250000000000e+00 1.030484847237992e+07
1.162500000000000e+00 8.498632085511731e+06
1.168750000000000e+00 7.698961266975756e+06
1.175000000000000e+00 7.864215554066566e+06
1.181250000000000e+00 8.936502292387137e+06
1.187500000000000e+00 1.084416367122252e+07
1.193750000000000e+00 1.350337084472164e+07
1.200000000000000e+00 1.682096270079153e+07
1.206250000000000e+00 2.069710995872050e+07
1.212500000000000e+00 2.502738977182422e+07
1.218750000000000e+00 2.970396102849581e+07
1.225000000000000e+00 3.461718618884109e+07
1.231250000000000e+00 3.965591217050845e+07
1.237500000000000e+00 4.470836118549536e+07
1.243750000000000e+00 4.966551291155612e+07
1.250000000000000e+00 5.442482751416695e+07
1.256250000000000e+00 5.889397504172403e+07
1.262500000000000e+00 6.299319214267121e+07
1.268750000000000e+00 6.665544301394603e+07
1.275000000000000e+00 6.982455402690110e+07
1.281250000000000e+00 7.245397386563732e+07
1.287500000000000e+00 7.450360652106495e+07
1.293750000000000e+00 7.594100333057088e+07
1.300000000000000e+00 7.674463287275855e+07
1.306250000000000e+00 7.690688244919679e+07
1.312500000000000e+00 7.643631859283762e+07
1.318750000000000e+00 7.535731154938439e+07
1.325000000000000e+00 7.370690953556158e+07
1.331250000000000e+00 7.153019687693480e+07
1.337500000000000e+00 6.887585255557367e+07
1.343750000000000e+00 6.579415092749544e+07
1.350000000000000e+00 6.233731548439384e+07
1.356250000000000e+00 5.856184695101903e+07
1.362500000000000e+00 5.452986912131695e+07
1.368750000000000e+00 5.030984785349996e+07
1.375000000000000e+00 4.597525168286739e+07
1.381250000000000e+00 4.160158943400981e+07
1.387500000000000e+00 3.726282451288718e+07
1.393750000000000e+00 3.302830566462276e+07
1.400000000000000e+00 2.895991358004980e+07
1.406250000000000e+00 2.511304399107452e+07
1.412500000000000e+00 2.153567399428336e+07
1.418750000000000e+00 1.826878105416423e+07
1.425000000000000e+00 1.534674909792503e+07
1.431250000000000e+00 1.279722898916070e+07
1.437500000000000e+00 1.064063425167490e+07
1.443750000000000e+00 8.889632036713790e+06
1.450000000000000e+00 7.549313206734529e+06
1.456250000000000e+00 6.617311383173083e+06
1.462500000000000e+00 6.084131614930447e+06
1.468750000000000e+00 5.934739233142632e+06
1.475000000000000e+00 6.148590200173622e+06
1.481250000000000e+00 6.700335922504298e+06
1.487500000000000e+00 7.560330076768699e+06
1.493750000000000e+00 8.694968258576471e+06
1.500000000000000e+00 1.006677746162125e+07
1.506250000000000e+00 1.163558187964899e+07
1.512500000000000e+00 1.335807284376065e+07
1.518750000000000e+00 1.518925084332727e+07
1.525000000000000e+00 1.708356939875302e+07
1.531250000000000e+00 1.899672900991347e+07
1.537500000000000e+00 2.088719488222175e+07
1.543750000000000e+00 2.271711833303778e+07
1.550000000000000e+00 2.445240310403048e+07
1.556250000000000e+00 2.606239327502257e+07
1.562500000000000e+00 2.751910725361055e+07
1.568750000000000e+00 2.879649078741585e+07
1.575000000000000e+00 2.987156666839793e+07
1.581250000000000e+00 3.072553156290177e+07
1.587500000000000e+00 3.134519399098664e+07
1.593750000000000e+00 3.172371192298735e+07
1.600000000000000e+00 3.186023158385732e+07
1.606250000000000e+00 3.175857073661309e+07
1.612500000000000e+00 3.142574681209268e+07
1.618750000000000e+00 3.087086495965913e+07
1.625000000000000e+00 3.010428329509793e+07
1.631250000000000e+00 2.913947834866223e+07
1.637500000000000e+00 2.799338459094037e+07
1.643750000000000e+00 2.668706520003006e+07
1.650000000000000e+00 2.524543653416872e+07
1.656250000000000e+00 2.369605997179420e+07
1.662500000000000e+00 2.206744170754707e+07
1.668750000000000e+00 2.038742127161530e+07
1.675000000000000e+00 1.868215014716820e+07
1.681250000000000e+00 1.697602919800533e+07
1.687500000000000e+00 1.529228092877967e+07
1.693750000000000e+00 1.365305393868697e+07
1.700000000000000e+00 1.207967026123185e+07
1.706250000000000e+00 1.059237922872439e+07
1.712500000000000e+00 9.209748459829168e+06
1.718750000000000e+00 7.947960403399162e+06
1.725000000000000e+00 6.820319482836460e+06
1.731250000000000e+00 5.836894114735652e+06
1.737500000000000e+00 5.004697506518318e+06
1.743750000000000e+00 4.327941913912073e+06
1.750000000000000e+00 3.808055500026730e+06
1.756250000000000e+00 3.443916965733157e+06
1.762500000000000e+00 3.231993501801611e+06
1.768750000000000e+00 3.166425904490395e+06
1.775000000000000e+00 3.239108763117474e+06
1.781250000000000e+00 3.439769547824183e+06
1.787500000000000e+00 3.756444343715811e+06
1.793750000000000e+00 4.175428673108451e+06
1.800000000000000e+00 4.681834122922024e+06
1.806250000000000e+00 5.259976867147727e+06
1.812500000000000e+00 5.893915417769648e+06
1.818750000000000e+00 6.567946848407881e+06
1.825000000000000e+00 7.266950893257822e+06
1.831250000000000e+00 7.976493788287544e+06
1.837500000000000e+00 8.683063537390931e+06
1.843750000000000e+00 9.373498671919804e+06
1.850000000000000e+00 1.003523262803062e+07
1.856250000000000e+00 1.065648070713484e+07
1.862500000000000e+00 1.122670907030336e+07
1.868750000000000e+00 1.173707187926860e+07
1.875000000000000e+00 1.218059262461260e+07
1.881250000000000e+00 1.255197455329317e+07
1.887500000000000e+00 1.284714356888958e+07
1.893750000000000e+00 1.306286402866192e+07
1.900000000000000e+00 1.319660903135731e+07
1.906250000000000e+00 1.324655921629462e+07
1.912500000000000e+00 1.321248139039622e+07
1.918750000000000e+00 1.309604337156254e+07
1.925000000000000e+00 1.290107353930573e+07
1.931250000000000e+00 1.263340630003255e+07
1.937500000000000e+00 1.230036398189172e+07
1.943750000000000e+00 1.191005961140281e+07
1.950000000000000e+00 1.147081501263545e+07
1.956250000000000e+00 1.099053858869173e+07
1.962500000000000e+00 1.047708283510136e+07
1.968750000000000e+00 9.938060772746876e+06
1.975000000000000e+00 9.381135956574436e+06
1.981250000000000e+00 8.814133282295324e+06
1.987500000000000e+00 8.244927477719056e+06
1.993750000000000e+00 7.681145954812428e+06
2.000000000000000e+00 7.129772834176007e+06
2.006250000000000e+00 6.596973776185636e+06
2.012500000000000e+00 6.087882301093007e+06
2.018750000000000e+00 5.606734961229505e+06
2.025000000000000e+00 5.157086142621792e+06
2.031250000000000e+00 4.741856227597405e+06
2.037500000000000e+00 4.363426508227206e+06
2.043750000000000e+00 4.023630112029405e+06
2.050000000000000e+00 3.723671685684959e+06
2.056250000000000e+00 3.464112617596436e+06
2.062500000000000e+00 3.244690381970824e+06
2.068750000000000e+00 3.064384457630633e+06
2.075000000000000e+00 2.921552607588807e+06
2.081250000000000e+00 2.813982306323709e+06
2.087500000000000e+00 2.739020796116889e+06
2.093750000000000e+00 2.693665623056395e+06
2.100000000000000e+00 2.674601043340668e+06
2.106250000000000e+00 2.678208585372281e+06
2.112500000000000e+00 2.700610195892902e+06
