<X> <Y> <dY> <dX>
6.688960000000000e-04 4.987280000000000e+11 6.816600000000000e+12 3.633220000000000e+12
1.337790000000000e-03 4.873370000000000e+11 6.660300000000000e+12 3.549790000000000e+12
2.006690000000000e-03 4.688540000000000e+11 6.406720000000000e+12 3.414450000000000e+12
2.675590000000000e-03 4.440000000000000e+11 6.065820000000000e+12 3.232510000000000e+12
3.344480000000000e-03 4.137250000000000e+11 5.650720000000000e+12 3.011000000000000e+12
4.013380000000000e-03 3.791570000000000e+11 5.176930000000000e+12 2.758210000000000e+12
4.682270000000000e-03 3.415340000000000e+11 4.661510000000000e+12 2.483260000000000e+12
5.351170000000000e-03 3.021410000000000e+11 4.122160000000000e+12 2.195600000000000e+12
6.020070000000000e-03 2.622440000000000e+11 3.576270000000000e+12 1.904520000000000e+12
6.688960000000000e-03 2.230320000000000e+11 3.040130000000000e+12 1.618720000000000e+12
7.357860000000000e-03 1.855610000000000e+11 2.528220000000000e+12 1.345920000000000e+12
8.026760000000001e-03 1.507160000000000e+11 2.052620000000000e+12 1.092550000000000e+12
8.695649999999999e-03 1.191860000000000e+11 1.622680000000000e+12 8.635950000000000e+11
9.364549999999999e-03 9.144580000000000e+10 1.244840000000000e+12 6.624600000000000e+11
1.003340000000000e-02 6.776210000000000e+10 9.226140000000000e+11 4.910070000000000e+11
1.070230000000000e-02 4.820120000000000e+10 6.568110000000000e+11 3.496420000000000e+11
1.137120000000000e-02 3.265290000000000e+10 4.458110000000000e+11 2.374800000000000e+11
1.204010000000000e-02 2.085950000000000e+10 2.859870000000000e+11 1.525670000000000e+11
1.270900000000000e-02 1.244920000000000e+10 1.721740000000000e+11 9.213390000000000e+10
1.337790000000000e-02 6.971860000000000e+09 9.815780000000000e+10 5.285610000000000e+10
1.404680000000000e-02 3.933210000000000e+09 5.714740000000000e+10 3.110720000000000e+10
1.471570000000000e-02 2.826550000000000e+09 4.221140000000000e+10 2.319110000000000e+10
1.538460000000000e-02 3.159970000000000e+09 4.664580000000000e+10 2.553800000000000e+10
1.605350000000000e-02 4.478100000000000e+09 6.426800000000000e+10 3.486040000000000e+10
1.672240000000000e-02 6.378100000000000e+09 8.962960000000000e+10 4.826540000000000e+10
1.739130000000000e-02 8.519830000000000e+09 1.181490000000000e+11 6.332410000000000e+10
1.806020000000000e-02 1.063080000000000e+10 1.461740000000000e+11 7.810290000000000e+10
1.872910000000000e-02 1.250630000000000e+10 1.709740000000000e+11 9.116080000000000e+10
1.939800000000000e-02 1.400630000000000e+10 1.906970000000000e+11 1.015210000000000e+11
2.006690000000000e-02 1.504890000000000e+10 2.042720000000000e+11 1.086240000000000e+11
2.073580000000000e-02 1.560260000000000e+10 2.113040000000000e+11 1.122660000000000e+11
2.140470000000000e-02 1.567710000000000e+10 2.119470000000000e+11 1.125320000000000e+11
2.207360000000000e-02 1.531380000000000e+10 2.067720000000000e+11 1.097290000000000e+11
2.274250000000000e-02 1.457660000000000e+10 1.966500000000000e+11 1.043200000000000e+11
2.341140000000000e-02 1.354370000000000e+10 1.826300000000000e+11 9.686110000000000e+10
2.408030000000000e-02 1.229960000000000e+10 1.658450000000000e+11 8.795200000000000e+10
2.474920000000000e-02 1.092930000000000e+10 1.474240000000000e+11 7.818910000000000e+10
2.541810000000000e-02 9.512270000000000e+09 1.284260000000000e+11 6.813070000000000e+10
2.608700000000000e-02 8.119590000000000e+09 1.097890000000000e+11 5.827100000000000e+10
2.675590000000000e-02 6.810680000000000e+09 9.229600000000000e+10 4.902220000000000e+10
2.742470000000000e-02 5.632070000000000e+09 7.655920000000000e+10 4.070530000000000e+10
2.809360000000000e-02 4.616950000000000e+09 6.301150000000000e+10 3.354750000000000e+10
2.876250000000000e-02 3.785490000000000e+09 5.191430000000000e+10 2.768500000000000e+10
2.943140000000000e-02 3.145960000000000e+09 4.337160000000000e+10 2.317170000000000e+10
3.010030000000000e-02 2.696140000000000e+09 3.735010000000000e+10 1.998900000000000e+10
3.076920000000000e-02 2.425130000000000e+09 3.370250000000000e+10 1.805850000000000e+10
3.143810000000000e-02 2.315160000000000e+09 3.219250000000000e+10 1.725540000000000e+10
3.210700000000000e-02 2.343450000000000e+09 3.251820000000000e+10 1.742030000000000e+10
3.277590000000000e-02 2.483850000000000e+09 3.433440000000000e+10 1.837150000000000e+10
3.344480000000000e-02 2.708350000000000e+09 3.727150000000000e+10 1.991420000000000e+10
3.411370000000000e-02 2.988410000000000e+09 4.095280000000000e+10 2.185020000000000e+10
3.478260000000000e-02 3.296000000000000e+09 4.500820000000000e+10 2.398450000000000e+10
3.545150000000000e-02 3.604650000000000e+09 4.908660000000000e+10 2.613210000000000e+10
3.612040000000000e-02 3.890280000000000e+09 5.286760000000000e+10 2.812390000000000e+10
3.678930000000000e-02 4.131940000000000e+09 5.607120000000000e+10 2.981180000000000e+10
3.745820000000000e-02 4.312580000000000e+09 5.846770000000000e+10 3.107410000000000e+10
3.812710000000000e-02 4.419620000000000e+09 5.988590000000000e+10 3.181980000000000e+10
3.879600000000000e-02 4.445440000000000e+09 6.022010000000000e+10 3.199260000000000e+10
3.946490000000000e-02 4.387660000000000e+09 5.943450000000000e+10 3.157270000000000e+10
4.013380000000000e-02 4.249140000000000e+09 5.756410000000000e+10 3.057820000000000e+10
4.080270000000000e-02 4.037760000000000e+09 5.471140000000000e+10 2.906300000000000e+10
4.147160000000000e-02 3.765720000000000e+09 5.103880000000000e+10 2.711270000000000e+10
4.214050000000000e-02 3.448670000000000e+09 4.675570000000000e+10 2.483830000000000e+10
4.280940000000000e-02 3.104460000000000e+09 4.210270000000000e+10 2.236730000000000e+10
