<X> <Y>
6.250000000000000e-03 5.697854913464369e+10
1.250000000000000e-02 5.683888513291690e+10
1.875000000000000e-02 5.665217922517710e+10
2.500000000000000e-02 5.640834337599622e+10
3.125000000000000e-02 5.609893531659075e+10
3.750000000000000e-02 5.571864192349423e+10
4.375000000000000e-02 5.526592897038781e+10
5.000000000000000e-02 5.474245502715234e+10
5.625000000000000e-02 5.415160366211089e+10
6.250000000000000e-02 5.349339495313252e+10
6.875000000000001e-02 5.277575710834907e+10
7.500000000000000e-02 5.200016638428797e+10
8.125000000000000e-02 5.116817514214059e+10
8.749999999999999e-02 5.028194206482854e+10
9.375000000000000e-02 4.934450217469341e+10
1.000000000000000e-01 4.835967363476180e+10
1.062500000000000e-01 4.733166549176581e+10
1.125000000000000e-01 4.626459078087619e+10
1.187500000000000e-01 4.516214377218120e+10
1.250000000000000e-01 4.402736454784421e+10
1.312500000000000e-01 4.286310010267568e+10
1.375000000000000e-01 4.167218607862994e+10
1.437500000000000e-01 4.045780902474392e+10
1.500000000000000e-01 3.922366192213779e+10
1.562500000000000e-01 3.797384716766295e+10
1.625000000000000e-01 3.671259575711430e+10
1.687500000000000e-01 3.544393516552335e+10
1.750000000000000e-01 3.417149155752241e+10
1.812500000000000e-01 3.289837523595959e+10
1.875000000000000e-01 3.162747518936006e+10
1.937500000000000e-01 3.036153805189867e+10
2.000000000000000e-01 2.910336839199909e+10
2.062500000000000e-01 2.785590317619750e+10
2.125000000000000e-01 2.662215385789241e+10
2.187500000000000e-01 2.540506755845827e+10
2.250000000000000e-01 2.420746073611330e+10
2.312500000000000e-01 2.303178248715004e+10
2.375000000000000e-01 2.188022425831286e+10
2.437500000000000e-01 2.075483463336806e+10
2.500000000000000e-01 1.965749853165744e+10
2.562500000000000e-01 1.858995883106548e+10
2.625000000000000e-01 1.755376048523112e+10
2.687500000000000e-01 1.655015588510435e+10
2.750000000000000e-01 1.558003933960707e+10
2.812500000000000e-01 1.464390324053104e+10
2.875000000000000e-01 1.374203237819948e+10
2.937500000000000e-01 1.287455585827029e+10
3.000000000000000e-01 1.204161464251607e+10
3.062500000000000e-01 1.124335556003388e+10
3.125000000000000e-01 1.047990744390151e+10
3.187500000000000e-01 9.751332984004362e+09
3.250000000000000e-01 9.057601655364080e+09
3.312500000000000e-01 8.398596653073066e+09
3.375000000000000e-01 7.774105625994398e+09
3.437500000000000e-01 7.183824858974287e+09
3.500000000000000e-01 6.627423945054169e+09
3.562500000000000e-01 6.104340549556620e+09
3.625000000000000e-01 5.613816541354271e+09
3.687500000000000e-01 5.154891536273430e+09
3.750000000000000e-01 4.726441259996591e+09
3.812500000000000e-01 4.327248057935892e+09
3.875000000000000e-01 3.956078941079287e+09
3.937500000000000e-01 3.611740379968817e+09
4.000000000000000e-01 3.293124063855650e+09
4.062500000000000e-01 2.999115477571815e+09
4.125000000000000e-01 2.728636196910008e+09
4.187500000000000e-01 2.480563472574428e+09
4.250000000000000e-01 2.253706367698493e+09
4.312500000000000e-01 2.046809435925500e+09
4.375000000000000e-01 1.858581489616934e+09
4.437500000000000e-01 1.687737850400157e+09
4.500000000000000e-01 1.533041468537313e+09
4.562500000000000e-01 1.393339305947617e+09
4.625000000000000e-01 1.267536614216169e+09
4.687500000000000e-01 1.154615603016920e+09
4.750000000000000e-01 1.053606511697022e+09
4.812500000000000e-01 9.635690571104522e+08
4.875000000000000e-01 8.835840447288445e+08
4.937500000000000e-01 8.127561986689665e+08
5.000000000000000e-01 7.502190308968860e+08
5.062500000000000e-01 6.951587649495063e+08
5.125000000000000e-01 6.468131551264428e+08
5.187500000000000e-01 6.044759497320340e+08
5.250000000000000e-01 5.674935344322984e+08
5.312500000000000e-01 5.352699494314369e+08
5.375000000000000e-01 5.072652642198759e+08
5.437500000000000e-01 4.829939193037323e+08
5.500000000000000e-01 4.620202410124353e+08
5.562500000000000e-01 4.439519913629381e+08
5.625000000000000e-01 4.284284818574783e+08
5.687500000000000e-01 4.151105097528001e+08
5.750000000000000e-01 4.036794891997335e+08
5.812500000000000e-01 3.938391368035054e+08
5.875000000000000e-01 3.853251325503977e+08
5.937500000000000e-01 3.779099968959111e+08
6.000000000000000e-01 3.714018036951536e+08
6.062500000000000e-01 3.656364073081363e+08
6.125000000000000e-01 3.604700359578460e+08
6.187500000000000e-01 3.557710234359532e+08
6.250000000000000e-01 3.514100748451921e+08
6.312500000000000e-01 3.472789065519210e+08
6.375000000000000e-01 3.432900392399259e+08
6.437500000000000e-01 3.393821210369999e+08
6.500000000000000e-01 3.355188316053283e+08
6.562500000000000e-01 3.316810134443737e+08
6.625000000000000e-01 3.278549579807667e+08
6.687500000000000e-01 3.240190342021154e+08
6.750000000000000e-01 3.201443214906118e+08
6.812500000000000e-01 3.161912708611205e+08
6.875000000000000e-01 3.121194757919866e+08
6.937500000000000e-01 3.078961130076383e+08
7.000000000000000e-01 3.035043968689030e+08
7.062500000000000e-01 2.989472600634409e+08
7.125000000000000e-01 2.942452182224058e+08
7.187500000000000e-01 2.894291270777767e+08
7.250000000000000e-01 2.845340628511622e+08
7.312500000000000e-01 2.795836519997460e+08
7.375000000000000e-01 2.745923388941497e+08
7.437500000000000e-01 2.695638376346882e+08
7.500000000000000e-01 2.644959075716672e+08
7.562500000000000e-01 2.593863939759268e+08
7.625000000000000e-01 2.542360482553056e+08
7.687500000000000e-01 2.490468695874019e+08
7.750000000000000e-01 2.438176695256710e+08
7.812500000000000e-01 2.385411987902115e+08
7.875000000000000e-01 2.332045985232143e+08
7.937500000000000e-01 2.277884700329273e+08
8.000000000000000e-01 2.222812413297022e+08
8.062500000000000e-01 2.166795975065231e+08
8.125000000000000e-01 2.109910347902053e+08
8.187500000000000e-01 2.052323254987908e+08
8.250000000000000e-01 1.994250864625434e+08
8.312500000000000e-01 1.935904608932173e+08
8.375000000000000e-01 1.877464474076854e+08
8.437500000000000e-01 1.819026949184399e+08
8.500000000000000e-01 1.760680765889402e+08
8.562500000000000e-01 1.702484493487622e+08
8.625000000000000e-01 1.644518720778794e+08
8.687500000000000e-01 1.586905049732441e+08
8.750000000000000e-01 1.529801235685230e+08
8.812500000000000e-01 1.473376228349100e+08
8.875000000000000e-01 1.417778686575500e+08
8.937500000000000e-01 1.363106624859729e+08
9.000000000000000e-01 1.309420997555657e+08
9.062500000000000e-01 1.256752680834879e+08
9.125000000000000e-01 1.205133068007038e+08
9.187500000000000e-01 1.154614725291840e+08
9.250000000000000e-01 1.105286592649631e+08
9.312500000000000e-01 1.057275209717695e+08
9.375000000000000e-01 1.010734391847016e+08
9.437500000000000e-01 9.658272409192096e+07
9.500000000000000e-01 9.227098043136200e+07
9.562500000000000e-01 8.814995968115802e+07
9.625000000000000e-01 8.422885163446195e+07
9.687500000000000e-01 8.051226535768749e+07
9.750000000000000e-01 7.700179499971873e+07
9.812500000000000e-01 7.369729823501574e+07
9.875000000000000e-01 7.059777332184531e+07
9.937500000000000e-01 6.770150150950360e+07
1.000000000000000e+00 6.500607376841917e+07
1.006250000000000e+00 6.250754705951859e+07
1.012500000000000e+00 6.020107826079722e+07
1.018750000000000e+00 5.808013046386514e+07
1.025000000000000e+00 5.613940738662426e+07
1.031250000000000e+00 5.437415271104873e+07
1.037500000000000e+00 5.278015880033429e+07
1.043750000000000e+00 5.135305707474611e+07
1.050000000000000e+00 5.008726610805777e+07
1.056250000000000e+00 4.897491287217596e+07
1.062500000000000e+00 4.800625376888063e+07
1.068750000000000e+00 4.716931352334357e+07
1.075000000000000e+00 4.645176529805194e+07
1.081250000000000e+00 4.584148716187163e+07
1.087500000000000e+00 4.532775445575162e+07
1.093750000000000e+00 4.490173829870598e+07
1.100000000000000e+00 4.455641764915244e+07
1.106250000000000e+00 4.428596948973566e+07
1.112500000000000e+00 4.408514413945916e+07
1.118750000000000e+00 4.394811181173911e+07
1.125000000000000e+00 4.386852062177596e+07
1.131250000000000e+00 4.383937459561031e+07
1.137500000000000e+00 4.385376662429288e+07
1.143750000000000e+00 4.390566819213172e+07
1.150000000000000e+00 4.399035319769584e+07
1.156250000000000e+00 4.410420674574775e+07
1.162500000000000e+00 4.424399766070629e+07
1.168750000000000e+00 4.440610962856767e+07
1.175000000000000e+00 4.458621667603937e+07
1.181250000000000e+00 4.477864934004589e+07
1.187500000000000e+00 4.497794493856686e+07
1.193750000000000e+00 4.517932577727170e+07
1.200000000000000e+00 4.537953038389012e+07
1.206250000000000e+00 4.557709492044888e+07
1.212500000000000e+00 4.577196534438435e+07
1.218750000000000e+00 4.596458616406932e+07
1.225000000000000e+00 4.615537266016120e+07
1.231250000000000e+00 4.634323720244303e+07
1.237500000000000e+00 4.652613422392184e+07
1.243750000000000e+00 4.670148114576767e+07
1.250000000000000e+00 4.686690086982583e+07
1.256250000000000e+00 4.702090820162124e+07
1.262500000000000e+00 4.716300873601982e+07
1.268750000000000e+00 4.729314309207934e+07
1.275000000000000e+00 4.741075848867167e+07
1.281250000000000e+00 4.751430252175081e+07
1.287500000000000e+00 4.760075197953121e+07
1.293750000000000e+00 4.766614608469073e+07
1.300000000000000e+00 4.770684013584581e+07
1.306250000000000e+00 4.772024875530262e+07
1.312500000000000e+00 4.770544803708795e+07
1.318750000000000e+00 4.766309548784805e+07
1.325000000000000e+00 4.759472745594340e+07
1.331250000000000e+00 4.750172903649932e+07
1.337500000000000e+00 4.738444491060667e+07
1.343750000000000e+00 4.724172723947870e+07
1.350000000000000e+00 4.707148030685806e+07
1.356250000000000e+00 4.687097898864022e+07
1.362500000000000e+00 4.663801117664509e+07
1.368750000000000e+00 4.637169042557189e+07
1.375000000000000e+00 4.607276834753233e+07
1.381250000000000e+00 4.574335233272239e+07
1.387500000000000e+00 4.538615895975836e+07
1.393750000000000e+00 4.500377417467175e+07
1.400000000000000e+00 4.459782412826056e+07
1.406250000000000e+00 4.416904554636753e+07
1.412500000000000e+00 4.371760930919523e+07
1.418750000000000e+00 4.324377742043670e+07
1.425000000000000e+00 4.274860221927353e+07
1.431250000000000e+00 4.223423112136623e+07
1.437500000000000e+00 4.170369157139838e+07
1.443750000000000e+00 4.116027835076160e+07
1.450000000000000e+00 4.060719659418838e+07
1.456250000000000e+00 4.004667965751631e+07
1.462500000000000e+00 3.948024054778355e+07
1.468750000000000e+00 3.890935761293794e+07
1.475000000000000e+00 3.833578656125520e+07
1.481250000000000e+00 3.776195676794398e+07
1.487500000000000e+00 3.719092374903496e+07
1.493750000000000e+00 3.662589988552418e+07
1.500000000000000e+00 3.606967807362904e+07
1.506250000000000e+00 3.552419191027784e+07
1.512500000000000e+00 3.499027616718324e+07
1.518750000000000e+00 3.446822577053107e+07
1.525000000000000e+00 3.395840107753202e+07
1.531250000000000e+00 3.346164500257435e+07
1.537500000000000e+00 3.297949021727196e+07
1.543750000000000e+00 3.251394164824166e+07
1.550000000000000e+00 3.206695935936054e+07
1.556250000000000e+00 3.163968943647993e+07
1.562500000000000e+00 3.123257378319851e+07
1.568750000000000e+00 3.084470641595534e+07
1.575000000000000e+00 3.047470322359666e+07
1.581250000000000e+00 3.012081879534552e+07
1.587500000000000e+00 2.978162383549103e+07
1.593750000000000e+00 2.945640490642997e+07
1.600000000000000e+00 2.914526320959186e+07
1.606250000000000e+00 2.884887480645607e+07
1.612500000000000e+00 2.856827820383974e+07
1.618750000000000e+00 2.830397641569865e+07
1.625000000000000e+00 2.805584518946965e+07
1.631250000000000e+00 2.782318464041202e+07
1.637500000000000e+00 2.760489271695648e+07
1.643750000000000e+00 2.739984132067066e+07
1.650000000000000e+00 2.720706682701889e+07
1.656250000000000e+00 2.702565669115217e+07
1.662500000000000e+00 2.685441318045758e+07
1.668750000000000e+00 2.669189235306504e+07
1.675000000000000e+00 2.653591306413105e+07
1.681250000000000e+00 2.638386786082607e+07
1.687500000000000e+00 2.623369949412628e+07
1.693750000000000e+00 2.608404307870216e+07
1.700000000000000e+00 2.593441808447985e+07
1.706250000000000e+00 2.578501188051719e+07
1.712500000000000e+00 2.563615976251514e+07
1.718750000000000e+00 2.548777100130305e+07
1.725000000000000e+00 2.533858830040659e+07
1.731250000000000e+00 2.518692216288708e+07
1.737500000000000e+00 2.503060383648416e+07
1.743750000000000e+00 2.486744302538392e+07
1.750000000000000e+00 2.469587589306217e+07
1.756250000000000e+00 2.451540364944706e+07
1.762500000000000e+00 2.432683369740550e+07
1.768750000000000e+00 2.413227263023856e+07
1.775000000000000e+00 2.393481615852189e+07
1.781250000000000e+00 2.373830688815569e+07
1.787500000000000e+00 2.354593865648380e+07
1.793750000000000e+00 2.336053488880143e+07
1.800000000000000e+00 2.318375641350424e+07
1.806250000000000e+00 2.301646730612847e+07
1.812500000000000e+00 2.285909363345920e+07
1.818750000000000e+00 2.271188059494642e+07
1.825000000000000e+00 2.257488337652014e+07
1.831250000000000e+00 2.244775465807505e+07
1.837500000000000e+00 2.232937265342210e+07
1.843750000000000e+00 2.221847756046513e+07
1.850000000000000e+00 2.211293209189699e+07
1.856250000000000e+00 2.201119533710497e+07
1.862500000000000e+00 2.191225181676171e+07
1.868750000000000e+00 2.181590597608643e+07
1.875000000000000e+00 2.172284784235153e+07
1.881250000000000e+00 2.163450287614893e+07
1.887500000000000e+00 2.155268949796616e+07
1.893750000000000e+00 2.147926084202733e+07
1.900000000000000e+00 2.141539132138613e+07
1.906250000000000e+00 2.136176836821564e+07
1.912500000000000e+00 2.131806407614398e+07
1.918750000000000e+00 2.128340794970893e+07
1.925000000000000e+00 2.125677261830063e+07
1.931250000000000e+00 2.123727386473369e+07
1.937500000000000e+00 2.122423750150529e+07
1.943750000000000e+00 2.121703090009495e+07
1.950000000000000e+00 2.121483605969567e+07
1.956250000000000e+00 2.121657341142192e+07
1.962500000000000e+00 2.122052536523794e+07
1.968750000000000e+00 2.122508383502238e+07
1.975000000000000e+00 2.122877981971544e+07
1.981250000000000e+00 2.123057270753941e+07
1.987500000000000e+00 2.122996109329602e+07
1.993750000000000e+00 2.122687949674589e+07
2.000000000000000e+00 2.122175713655449e+07
2.006250000000000e+00 2.121477763897626e+07
2.012500000000000e+00 2.120599042388167e+07
2.018750000000000e+00 2.119536844812540e+07
2.025000000000000e+00 2.118286503092143e+07
2.031250000000000e+00 2.116852305588548e+07
2.037500000000000e+00 2.115245366634948e+07
2.043750000000000e+00 2.113462373798013e+07
2.050000000000000e+00 2.111455794756636e+07
2.056250000000000e+00 2.109119991673266e+07
2.062500000000000e+00 2.106301229117443e+07
2.068750000000000e+00 2.102824030491049e+07
2.075000000000000e+00 2.098543715903413e+07
2.081250000000000e+00 2.093392024781427e+07
2.087500000000000e+00 2.087385967347302e+07
2.093750000000000e+00 2.080617395564340e+07
2.100000000000000e+00 2.073220399535162e+07
2.106250000000000e+00 2.065328805728677e+07
2.112500000000000e+00 2.057026405305412e+07
2.118750000000000e+00 2.048343863244565e+07
2.125000000000000e+00 2.039269703341686e+07
2.131250000000000e+00 2.029738386097376e+07
2.137500000000000e+00 2.019684403102755e+07
2.143750000000000e+00 2.009079574398109e+07
2.150000000000000e+00 1.997957685433597e+07
2.156250000000000e+00 1.986416908705964e+07
2.162500000000000e+00 1.974597579268362e+07
2.168750000000000e+00 1.962646895893439e+07
2.175000000000000e+00 1.950675185620679e+07
2.181250000000000e+00 1.938728625765672e+07
2.187500000000000e+00 1.926796484489947e+07
2.193750000000000e+00 1.914828225114862e+07
2.200000000000000e+00 1.902768821452099e+07
2.206250000000000e+00 1.890585793045035e+07
2.212500000000000e+00 1.878276547240994e+07
2.218750000000000e+00 1.865855792432183e+07
2.225000000000000e+00 1.853339138797013e+07
2.231250000000000e+00 1.840728163152539e+07
2.237500000000000e+00 1.827983110881734e+07
2.243750000000000e+00 1.815073487254125e+07
2.250000000000000e+00 1.801977018221635e+07
2.256250000000000e+00 1.788699482303481e+07
2.262500000000000e+00 1.775280566775213e+07
2.268750000000000e+00 1.761782864480142e+07
2.275000000000000e+00 1.748268561876449e+07
2.281250000000000e+00 1.734767066398064e+07
2.287500000000000e+00 1.721278130221254e+07
2.293750000000000e+00 1.707754673048488e+07
2.300000000000000e+00 1.694128869714437e+07
2.306250000000000e+00 1.680335221769683e+07
2.312500000000000e+00 1.666338235253301e+07
2.318750000000000e+00 1.652149497254211e+07
2.325000000000000e+00 1.637828197542956e+07
2.331250000000000e+00 1.623464452529686e+07
2.337500000000000e+00 1.609169404775378e+07
2.343750000000000e+00 1.595020586961522e+07
2.350000000000000e+00 1.581069816615039e+07
2.356250000000000e+00 1.567343199722792e+07
2.362500000000000e+00 1.553853414368017e+07
2.368750000000000e+00 1.540617312107397e+07
2.375000000000000e+00 1.527661635200256e+07
2.381250000000000e+00 1.515012856596454e+07
2.387500000000000e+00 1.502677806376738e+07
2.393750000000000e+00 1.490632271566986e+07
2.400000000000000e+00 1.478821975824873e+07
2.406250000000000e+00 1.467164474969363e+07
2.412500000000000e+00 1.455599595093324e+07
2.418750000000000e+00 1.444097094246138e+07
2.425000000000000e+00 1.432667791730538e+07
2.431250000000000e+00 1.421358595535110e+07
2.437500000000000e+00 1.410235415290673e+07
2.443750000000000e+00 1.399361216398925e+07
2.450000000000000e+00 1.388783173375589e+07
2.456250000000000e+00 1.378512415901385e+07
2.462500000000000e+00 1.368551200678687e+07
2.468750000000000e+00 1.358882785269344e+07
2.475000000000000e+00 1.349497303649549e+07
2.481250000000000e+00 1.340403884212085e+07
2.487500000000000e+00 1.331632232502701e+07
2.493750000000000e+00 1.323222441047165e+07
2.500000000000000e+00 1.315191638446659e+07
2.506250000000000e+00 1.307549248923223e+07
2.512500000000000e+00 1.300255243914082e+07
2.518750000000000e+00 1.293235646247206e+07
2.525000000000000e+00 1.286399258931354e+07
2.531250000000000e+00 1.279661641821391e+07
2.537500000000000e+00 1.272971144814310e+07
2.543750000000000e+00 1.266324169018047e+07
2.550000000000000e+00 1.259762543419885e+07
2.556250000000000e+00 1.253369478555849e+07
2.562500000000000e+00 1.247216981898384e+07
2.568750000000000e+00 1.241355301207159e+07
2.575000000000000e+00 1.235806061494403e+07
2.581250000000000e+00 1.230566087053060e+07
2.587500000000000e+00 1.225620064068294e+07
2.593750000000000e+00 1.220949545414783e+07
2.600000000000000e+00 1.216529333781200e+07
2.606250000000000e+00 1.212314711994597e+07
2.612500000000000e+00 1.208225831768365e+07
2.618750000000000e+00 1.204167961974255e+07
2.625000000000000e+00 1.200007905512123e+07
2.631250000000000e+00 1.195637295851659e+07
2.637500000000000e+00 1.190974710312244e+07
2.643750000000000e+00 1.185980113594396e+07
2.650000000000000e+00 1.180656817161482e+07
2.656250000000000e+00 1.175042309861507e+07
2.662500000000000e+00 1.169191095955357e+07
2.668750000000000e+00 1.163160009176090e+07
2.675000000000000e+00 1.156978558350917e+07
2.681250000000000e+00 1.150664213689502e+07
2.687500000000000e+00 1.144203361864350e+07
2.693750000000000e+00 1.137572540897184e+07
2.700000000000000e+00 1.130752967901144e+07
2.706250000000000e+00 1.123738899032493e+07
2.712500000000000e+00 1.116535555305693e+07
