# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 9.304430454219816923e+08
1.001768256211580483e-03 9.299511264448238611e+08
1.003539639153191651e-03 9.294577518270266056e+08
1.005314154353691277e-03 9.289629182777186632e+08
1.007091807351717053e-03 9.284666225059226751e+08
1.008872603695698316e-03 9.279688612206245661e+08
1.010656548943877518e-03 9.274696311308350563e+08
1.012443648664321932e-03 9.269689289456597567e+08
1.014233908434947727e-03 9.264667513743623495e+08
1.016027333843533406e-03 9.259630951264337301e+08
1.017823930487738674e-03 9.254579569116592407e+08
1.019623703975118751e-03 9.249513334401874542e+08
1.021426659923147353e-03 9.244432214225981236e+08
1.023232803959230356e-03 9.239336175699715614e+08
1.025042141720725096e-03 9.234225185939596891e+08
1.026854678854954460e-03 9.229099212068560123e+08
1.028670421019230088e-03 9.223958221216657162e+08
1.030489373880866472e-03 9.218802180521787405e+08
1.032311543117199817e-03 9.213631057130415440e+08
1.034136934415603006e-03 9.208444818198289871e+08
1.035965553473508147e-03 9.203243430891193151e+08
1.037797405998421973e-03 9.198026862385659218e+08
1.039632497707940802e-03 9.192795079869744778e+08
1.041470834329773741e-03 9.187548050543751717e+08
1.043312421601756993e-03 9.182285741621009111e+08
1.045157265271874462e-03 9.177008120328608751e+08
1.047005371098269893e-03 9.171715153908207417e+08
1.048856744849272458e-03 9.166406809616765976e+08
1.050711392303409989e-03 9.161083054727358818e+08
1.052569319249430004e-03 9.155743856529924870e+08
1.054430531486311639e-03 9.150389182332105637e+08
1.056295034823292317e-03 9.145018999460005760e+08
1.058162835079880107e-03 9.139633275259007215e+08
1.060033938085874761e-03 9.134231977094576359e+08
1.061908349681381153e-03 9.128815072353109121e+08
1.063786075716834437e-03 9.123382528442703485e+08
1.065667122053013272e-03 9.117934312794023752e+08
1.067551494561061725e-03 9.112470392861118317e+08
1.069439199122501193e-03 9.106990736122274399e+08
1.071330241629257080e-03 9.101495310080854893e+08
1.073224627983672018e-03 9.095984082266141176e+08
1.075122364098526255e-03 9.090457020234220028e+08
1.077023455897052617e-03 9.084914091568825245e+08
1.078927909312960357e-03 9.079355263882213831e+08
1.080835730290451418e-03 9.073780504816052914e+08
1.082746924784235617e-03 9.068189782042301893e+08
1.084661498759554926e-03 9.062583063264092207e+08
1.086579458192198436e-03 9.056960316216632128e+08
1.088500809068523607e-03 9.051321508668117523e+08
1.090425557385469278e-03 9.045666608420629501e+08
