# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 1.000000000000000000e+00
1.001768256211580483e-03 9.999989690609653037e-01
1.003539639153191651e-03 9.999979344737377485e-01
1.005314154353691277e-03 9.999968962254103255e-01
1.007091807351717053e-03 9.999958543030315061e-01
1.008872603695698316e-03 9.999948086936029101e-01
1.010656548943877518e-03 9.999937593840806382e-01
1.012443648664321932e-03 9.999927063613753830e-01
1.014233908434947727e-03 9.999916496123498755e-01
1.016027333843533406e-03 9.999905891238221045e-01
1.017823930487738674e-03 9.999895248825624305e-01
1.019623703975118751e-03 9.999884568752948066e-01
1.021426659923147353e-03 9.999873850886962234e-01
1.023232803959230356e-03 9.999863095093961540e-01
1.025042141720725096e-03 9.999852301239777752e-01
1.026854678854954460e-03 9.999841469189756360e-01
1.028670421019230088e-03 9.999830598808774340e-01
1.030489373880866472e-03 9.999819689961232383e-01
1.032311543117199817e-03 9.999808742511042681e-01
1.034136934415603006e-03 9.999797756321646691e-01
1.035965553473508147e-03 9.999786731255994043e-01
1.037797405998421973e-03 9.999775667176559191e-01
1.039632497707940802e-03 9.999764563945320317e-01
1.041470834329773741e-03 9.999753421423775990e-01
1.043312421601756993e-03 9.999742239472926286e-01
1.045157265271874462e-03 9.999731017953293888e-01
1.047005371098269893e-03 9.999719756724891884e-01
1.048856744849272458e-03 9.999708455647247085e-01
1.050711392303409989e-03 9.999697114579395585e-01
1.052569319249430004e-03 9.999685733379859442e-01
1.054430531486311639e-03 9.999674311906674440e-01
1.056295034823292317e-03 9.999662850017367877e-01
1.058162835079880107e-03 9.999651347568961901e-01
1.060033938085874761e-03 9.999639804417981281e-01
1.061908349681381153e-03 9.999628220420435643e-01
1.063786075716834437e-03 9.999616595431827237e-01
1.065667122053013272e-03 9.999604929307150947e-01
1.067551494561061725e-03 9.999593221900882067e-01
1.069439199122501193e-03 9.999581473066990744e-01
1.071330241629257080e-03 9.999569682658923098e-01
1.073224627983672018e-03 9.999557850529610104e-01
1.075122364098526255e-03 9.999545976531464264e-01
1.077023455897052617e-03 9.999534060516369616e-01
1.078927909312960357e-03 9.999522102335700602e-01
1.080835730290451418e-03 9.999510101840287657e-01
1.082746924784235617e-03 9.999498058880447182e-01
1.084661498759554926e-03 9.999485973305962672e-01
1.086579458192198436e-03 9.999473844966088043e-01
1.088500809068523607e-03 9.999461673709539866e-01
1.090425557385469278e-03 9.999449459384506245e-01
1.092353709150582124e-03 9.999437201838632383e-01
1.094285270382030530e-03 9.999424900919028358e-01
1.096220247108625626e-03 9.999412556472260238e-01
1.098158645369835817e-03 9.999400168344360074e-01
1.100100471215811719e-03 9.999387736380804803e-01
1.102045730707401552e-03 9.999375260426531797e-01
1.103994429916171742e-03 9.999362740325931087e-01
1.105946574924421017e-03 9.999350175922836481e-01
1.107902171825207293e-03 9.999337567060534449e-01
1.109861226722360684e-03 9.999324913581758567e-01
1.111823745730505840e-03 9.999312215328681752e-01
1.113789734975076254e-03 9.999299472142924028e-01
1.115759200592340503e-03 9.999286683865540315e-01
1.117732148729416990e-03 9.999273850337030423e-01
1.119708585544290863e-03 9.999260971397320175e-01
1.121688517205839380e-03 9.999248046885783614e-01
1.123671949893847088e-03 9.999235076641210807e-01
1.125658889799026645e-03 9.999222060501838927e-01
1.127649343123034425e-03 9.999208998305315621e-01
1.129643316078496329e-03 9.999195889888731203e-01
1.131640814889022526e-03 9.999182735088586460e-01
1.133641845789228920e-03 9.999169533740813742e-01
1.135646415024753201e-03 9.999156285680762535e-01
1.137654528852279773e-03 9.999142990743197235e-01
1.139666193539555375e-03 9.999129648762301592e-01
1.141681415365410979e-03 9.999116259571673160e-01
1.143700200619776749e-03 9.999102823004319962e-01
1.145722555603708500e-03 9.999089338892661605e-01
1.147748486629402440e-03 9.999075807068520394e-01
1.149778000020218157e-03 9.999062227363130217e-01
1.151811102110692278e-03 9.999048599607126553e-01
1.153847799246566878e-03 9.999034923630542027e-01
1.155888097784804223e-03 9.999021199262817516e-01
1.157932004093603900e-03 9.999007426332782167e-01
1.159979524552430140e-03 9.998993604668660051e-01
1.162030665552026129e-03 9.998979734098080163e-01
1.164085433494436560e-03 9.998965814448044220e-01
1.166143834793023464e-03 9.998951845544961081e-01
1.168205875872492224e-03 9.998937827214606777e-01
1.170271563168908497e-03 9.998923759282158930e-01
1.172340903129719027e-03 9.998909641572166773e-01
1.174413902213767907e-03 9.998895473908563369e-01
