# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 3.357922013954240084e+08
1.001768256211580483e-03 3.356486150020673275e+08
1.003539639153191651e-03 3.355046016842942834e+08
1.005314154353691277e-03 3.353601604618875384e+08
1.007091807351717053e-03 3.352152903544607162e+08
1.008872603695698316e-03 3.350699903814776540e+08
1.010656548943877518e-03 3.349242595622702241e+08
1.012443648664321932e-03 3.347780969160568714e+08
1.014233908434947727e-03 3.346315014619613886e+08
1.016027333843533406e-03 3.344844722190318108e+08
1.017823930487738674e-03 3.343370082062588930e+08
1.019623703975118751e-03 3.341891084425959587e+08
1.021426659923147353e-03 3.340407719469777346e+08
1.023232803959230356e-03 3.338919977383396626e+08
1.025042141720725096e-03 3.337427848356376886e+08
1.026854678854954460e-03 3.335931322578682899e+08
1.028670421019230088e-03 3.334430390240879655e+08
1.030489373880866472e-03 3.332925041534333825e+08
1.032311543117199817e-03 3.331415266651417613e+08
1.034136934415603006e-03 3.329901055785713792e+08
1.035965553473508147e-03 3.328382399132218957e+08
1.037797405998421973e-03 3.326859286887547374e+08
1.039632497707940802e-03 3.325331709250153303e+08
1.041470834329773741e-03 3.323799656420524120e+08
1.043312421601756993e-03 3.322263118601404428e+08
1.045157265271874462e-03 3.320722085998004079e+08
1.047005371098269893e-03 3.319176548818222880e+08
1.048856744849272458e-03 3.317626497272852659e+08
1.050711392303409989e-03 3.316071921575809717e+08
1.052569319249430004e-03 3.314512811944350004e+08
1.054430531486311639e-03 3.312949158599291444e+08
1.056295034823292317e-03 3.311380951765238643e+08
1.058162835079880107e-03 3.309808181670809388e+08
1.060033938085874761e-03 3.308230838548862338e+08
1.061908349681381153e-03 3.306648912636724114e+08
1.063786075716834437e-03 3.305062394176424146e+08
1.065667122053013272e-03 3.303471273414922953e+08
1.067551494561061725e-03 3.301875540604348183e+08
1.069439199122501193e-03 3.300275186002236009e+08
1.071330241629257080e-03 3.298670199871764183e+08
1.073224627983672018e-03 3.297060572481986284e+08
1.075122364098526255e-03 3.295446294108087420e+08
1.077023455897052617e-03 3.293827355031619668e+08
1.078927909312960357e-03 3.292203745540743470e+08
1.080835730290451418e-03 3.290575455930480361e+08
1.082746924784235617e-03 3.288942476502965093e+08
1.084661498759554926e-03 3.287304797567689419e+08
1.086579458192198436e-03 3.285662409441753626e+08
1.088500809068523607e-03 3.284015302450128794e+08
1.090425557385469278e-03 3.282363466925910711e+08
1.092353709150582124e-03 3.280706893210569620e+08
1.094285270382030530e-03 3.279045571654224992e+08
1.096220247108625626e-03 3.277379492615888715e+08
1.098158645369835817e-03 3.275708646463751793e+08
1.100100471215811719e-03 3.274033023575429320e+08
1.102045730707401552e-03 3.272352614338237047e+08
1.103994429916171742e-03 3.270667409149461985e+08
1.105946574924421017e-03 3.268977398416631222e+08
1.107902171825207293e-03 3.267282572557784319e+08
1.109861226722360684e-03 3.265582922001753449e+08
1.111823745730505840e-03 3.263878437188432217e+08
1.113789734975076254e-03 3.262169108569061160e+08
1.115759200592340503e-03 3.260454926606509089e+08
1.117732148729416990e-03 3.258735881775550246e+08
1.119708585544290863e-03 3.257011964563155770e+08
1.121688517205839380e-03 3.255283165468776822e+08
