# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 5.197801309312893152e+08
1.001768256211580483e-03 5.195353945082024336e+08
1.003539639153191651e-03 5.192899309035109282e+08
1.005314154353691277e-03 5.190437384509204030e+08
1.007091807351717053e-03 5.187968154838757515e+08
1.008872603695698316e-03 5.185491603355941772e+08
1.010656548943877518e-03 5.183007713390951157e+08
1.012443648664321932e-03 5.180516468272334933e+08
1.014233908434947727e-03 5.178017851327299476e+08
1.016027333843533406e-03 5.175511845882043839e+08
1.017823930487738674e-03 5.172998435262071490e+08
1.019623703975118751e-03 5.170477602792530060e+08
1.021426659923147353e-03 5.167949331798532009e+08
1.023232803959230356e-03 5.165413605605490804e+08
1.025042141720725096e-03 5.162870407539453506e+08
1.026854678854954460e-03 5.160319720927445889e+08
1.028670421019230088e-03 5.157761529097801447e+08
1.030489373880866472e-03 5.155195815380516052e+08
1.032311543117199817e-03 5.152622563107580543e+08
1.034136934415603006e-03 5.150041755613352060e+08
1.035965553473508147e-03 5.147453376234878898e+08
1.037797405998421973e-03 5.144857408312273026e+08
1.039632497707940802e-03 5.142253835189062357e+08
1.041470834329773741e-03 5.139642640212551355e+08
1.043312421601756993e-03 5.137023806734175682e+08
1.045157265271874462e-03 5.134397318109886050e+08
1.047005371098269893e-03 5.131763157700499296e+08
1.048856744849272458e-03 5.129121308872081637e+08
1.050711392303409989e-03 5.126471754996311069e+08
1.052569319249430004e-03 5.123814479450866580e+08
1.054430531486311639e-03 5.121149465619806647e+08
1.056295034823292317e-03 5.118476696893941760e+08
1.058162835079880107e-03 5.115796156671235561e+08
1.060033938085874761e-03 5.113107828357176185e+08
1.061908349681381153e-03 5.110411695365189314e+08
1.063786075716834437e-03 5.107707741117016077e+08
1.065667122053013272e-03 5.104995949043120146e+08
1.067551494561061725e-03 5.102276302583078742e+08
1.069439199122501193e-03 5.099548785185999274e+08
1.071330241629257080e-03 5.096813380310921073e+08
1.073224627983672018e-03 5.094070071427221298e+08
1.075122364098526255e-03 5.091318842015029788e+08
1.077023455897052617e-03 5.088559675565654635e+08
1.078927909312960357e-03 5.085792555581983924e+08
1.080835730290451418e-03 5.083017465578921437e+08
1.082746924784235617e-03 5.080234389083808064e+08
1.084661498759554926e-03 5.077443309636852145e+08
1.086579458192198436e-03 5.074644210791558027e+08
1.088500809068523607e-03 5.071837076115155220e+08
1.090425557385469278e-03 5.069021889189054370e+08
1.092353709150582124e-03 5.066198633609270453e+08
1.094285270382030530e-03 5.063367292986870408e+08
1.096220247108625626e-03 5.060527850948429704e+08
1.098158645369835817e-03 5.057680291136475205e+08
1.100100471215811719e-03 5.054824597209940553e+08
1.102045730707401552e-03 5.051960752844618559e+08
1.103994429916171742e-03 5.049088741733632088e+08
1.105946574924421017e-03 5.046208547587889433e+08
1.107902171825207293e-03 5.043320154136551619e+08
1.109861226722360684e-03 5.040423545127505064e+08
1.111823745730505840e-03 5.037518704327833056e+08
1.113789734975076254e-03 5.034605615524297953e+08
1.115759200592340503e-03 5.031684262523808479e+08
1.117732148729416990e-03 5.028754629153912663e+08
1.119708585544290863e-03 5.025816699263288379e+08
1.121688517205839380e-03 5.022870456722221375e+08
1.123671949893847088e-03 5.019915885423103571e+08
1.125658889799026645e-03 5.016952969280932546e+08
1.127649343123034425e-03 5.013981692233812213e+08
1.129643316078496329e-03 5.011002038243448138e+08
1.131640814889022526e-03 5.008013991295660734e+08
1.133641845789228920e-03 5.005017535400896668e+08
1.135646415024753201e-03 5.002012654594737887e+08
1.137654528852279773e-03 4.998999332938423157e+08
1.139666193539555375e-03 4.995977554519360662e+08
1.141681415365410979e-03 4.992947303451659679e+08
1.143700200619776749e-03 4.989908563876657486e+08
1.145722555603708500e-03 4.986861319963448644e+08
1.147748486629402440e-03 4.983805555909416080e+08
1.149778000020218157e-03 4.980741255940766335e+08
1.151811102110692278e-03 4.977668404313091636e+08
1.153847799246566878e-03 4.974586985311884284e+08
1.155888097784804223e-03 4.971496983253102303e+08
1.157932004093603900e-03 4.968398382483730912e+08
1.159979524552430140e-03 4.965291167382307649e+08
1.162030665552026129e-03 4.962175322359514236e+08
1.164085433494436560e-03 4.959050831858716011e+08
1.166143834793023464e-03 4.955917680356543660e+08
1.168205875872492224e-03 4.952775852363450527e+08
1.170271563168908497e-03 4.949625332424290776e+08
1.172340903129719027e-03 4.946466105118897557e+08
1.174413902213767907e-03 4.943298155062670112e+08
1.176490566891323902e-03 4.940121466907138824e+08
1.178570903644095193e-03 4.936936025340570807e+08
1.180654918965253018e-03 4.933741815088553429e+08
1.182742619359446190e-03 4.930538820914596915e+08
1.184834011342829297e-03 4.927327027620716691e+08
1.186929101443078092e-03 4.924106420048058629e+08
1.189027896199411610e-03 4.920876983077481389e+08
1.191130402162608433e-03 4.917638701630186439e+08
1.193236625895034882e-03 4.914391560668317676e+08
1.195346573970660188e-03 4.911135545195585489e+08
1.197460252975075150e-03 4.907870640257889032e+08
1.199577669505518798e-03 4.904596830943930745e+08
