# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 4.917418600328820348e+08
1.001768256211580483e-03 4.915178195724493265e+08
1.003539639153191651e-03 4.912931131978607774e+08
1.005314154353691277e-03 4.910677393815656900e+08
1.007091807351717053e-03 4.908416965957607627e+08
1.008872603695698316e-03 4.906149833124178648e+08
1.010656548943877518e-03 4.903875980033133626e+08
1.012443648664321932e-03 4.901595391400575638e+08
1.014233908434947727e-03 4.899308051941223145e+08
1.016027333843533406e-03 4.897013946368715167e+08
1.017823930487738674e-03 4.894713059395907521e+08
1.019623703975118751e-03 4.892405375735164881e+08
1.021426659923147353e-03 4.890090880098664761e+08
1.023232803959230356e-03 4.887769557198700905e+08
1.025042141720725096e-03 4.885441391747993827e+08
1.026854678854954460e-03 4.883106368459990621e+08
1.028670421019230088e-03 4.880764472049179673e+08
1.030489373880866472e-03 4.878415687231407762e+08
1.032311543117199817e-03 4.876059998724192381e+08
1.034136934415603006e-03 4.873697391247038841e+08
1.035965553473508147e-03 4.871327849521765113e+08
1.037797405998421973e-03 4.868951358272819519e+08
1.039632497707940802e-03 4.866567902227615714e+08
1.041470834329773741e-03 4.864177466116855145e+08
1.043312421601756993e-03 4.861780034674858451e+08
1.045157265271874462e-03 4.859375592639899254e+08
1.047005371098269893e-03 4.856964124754547477e+08
1.048856744849272458e-03 4.854545615765995383e+08
1.050711392303409989e-03 4.852120050426414013e+08
1.052569319249430004e-03 4.849687413493283391e+08
1.054430531486311639e-03 4.847247689729757309e+08
1.056295034823292317e-03 4.844800863904991746e+08
1.058162835079880107e-03 4.842346920794514418e+08
1.060033938085874761e-03 4.839885845180572867e+08
1.061908349681381153e-03 4.837417621852490902e+08
1.063786075716834437e-03 4.834942235607037544e+08
1.065667122053013272e-03 4.832459671248772740e+08
1.067551494561061725e-03 4.829969913590438366e+08
1.069439199122501193e-03 4.827472947453304529e+08
1.071330241629257080e-03 4.824968757667555213e+08
1.073224627983672018e-03 4.822457329072651863e+08
1.075122364098526255e-03 4.819938646517722607e+08
1.077023455897052617e-03 4.817412694861934185e+08
1.078927909312960357e-03 4.814879458974872828e+08
1.080835730290451418e-03 4.812338923736932278e+08
1.082746924784235617e-03 4.809791074039716721e+08
1.084661498759554926e-03 4.807235894786400199e+08
1.086579458192198436e-03 4.804673370892152786e+08
1.088500809068523607e-03 4.802103487284511924e+08
1.090425557385469278e-03 4.799526228903805017e+08
1.092353709150582124e-03 4.796941580703539252e+08
1.094285270382030530e-03 4.794349527650802135e+08
1.096220247108625626e-03 4.791750054726685286e+08
1.098158645369835817e-03 4.789143146926680207e+08
1.100100471215811719e-03 4.786528789261111021e+08
1.102045730707401552e-03 4.783906966755532026e+08
1.103994429916171742e-03 4.781277664451153874e+08
1.105946574924421017e-03 4.778640867405285239e+08
1.107902171825207293e-03 4.775996560691729188e+08
1.109861226722360684e-03 4.773344729401230812e+08
1.111823745730505840e-03 4.770685358641909361e+08
1.113789734975076254e-03 4.768018433539686799e+08
1.115759200592340503e-03 4.765343939238731265e+08
1.117732148729416990e-03 4.762661860901889801e+08
1.119708585544290863e-03 4.759972183711147904e+08
1.121688517205839380e-03 4.757274892868062854e+08
1.123671949893847088e-03 4.754569973594221473e+08
1.125658889799026645e-03 4.751857411131686568e+08
1.127649343123034425e-03 4.749137190743465424e+08
1.129643316078496329e-03 4.746409297713961005e+08
1.131640814889022526e-03 4.743673717349432111e+08
1.133641845789228920e-03 4.740930434978464842e+08
1.135646415024753201e-03 4.738179435952445269e+08
1.137654528852279773e-03 4.735420705646021366e+08
1.139666193539555375e-03 4.732654229457587004e+08
1.141681415365410979e-03 4.729879992809752226e+08
1.143700200619776749e-03 4.727097981149836183e+08
1.145722555603708500e-03 4.724308179950341582e+08
1.147748486629402440e-03 4.721510574709445834e+08
1.149778000020218157e-03 4.718705150951493979e+08
1.151811102110692278e-03 4.715891894227498174e+08
1.153847799246566878e-03 4.713070790115617514e+08
1.155888097784804223e-03 4.710241824221678376e+08
1.157932004093603900e-03 4.707404982179675698e+08
1.159979524552430140e-03 4.704560249652262926e+08
1.162030665552026129e-03 4.701707612331283092e+08
1.164085433494436560e-03 4.698847055938270092e+08
1.166143834793023464e-03 4.695978566224977970e+08
1.168205875872492224e-03 4.693102128973888159e+08
1.170271563168908497e-03 4.690217729998738170e+08
1.172340903129719027e-03 4.687325355145046711e+08
1.174413902213767907e-03 4.684424990290654898e+08
1.176490566891323902e-03 4.681516621346244812e+08
1.178570903644095193e-03 4.678600234255881906e+08
1.180654918965253018e-03 4.675675814997558594e+08
1.182742619359446190e-03 4.672743349583739042e+08
1.184834011342829297e-03 4.669802824061896205e+08
1.186929101443078092e-03 4.666854224515068531e+08
1.189027896199411610e-03 4.663897537062417865e+08
1.191130402162608433e-03 4.660932747859778404e+08
1.193236625895034882e-03 4.657959843100225329e+08
1.195346573970660188e-03 4.654978809014624357e+08
1.197460252975075150e-03 4.651989631872223020e+08
1.199577669505518798e-03 4.648992297981195450e+08
1.201698830170895094e-03 4.645986793689227104e+08
1.203823741591795050e-03 4.642973105384101868e+08
1.205952410400512554e-03 4.639951219494266510e+08
1.208084843241073649e-03 4.636921122489426732e+08
1.210221046769250838e-03 4.633882800881123543e+08
1.212361027652587159e-03 4.630836241223340034e+08
1.214504792570411792e-03 4.627781430113081932e+08
1.216652348213868471e-03 4.624718354190981388e+08
1.218803701285931526e-03 4.621647000141898394e+08
1.220958858501428870e-03 4.618567354695525169e+08
1.223117826587058043e-03 4.615479404626998901e+08
1.225280612281415488e-03 4.612383136757502556e+08
1.227447222335011079e-03 4.609278537954893112e+08
1.229617663510293273e-03 4.606165595134311914e+08
1.231791942581664289e-03 4.603044295258812904e+08
1.233970066335508950e-03 4.599914625339984894e+08
1.236152041570212244e-03 4.596776572438575029e+08
1.238337875096176674e-03 4.593630123665139675e+08
1.240527573735850661e-03 4.590475266180665493e+08
1.242721144323745896e-03 4.587311987197209597e+08
1.244918593706459886e-03 4.584140273978551030e+08
1.247119928742693304e-03 4.580960113840836287e+08
1.249325156303278178e-03 4.577771494153223634e+08
1.251534283271195239e-03 4.574574402338542342e+08
1.253747316541596471e-03 4.571368825873950720e+08
1.255964263021823544e-03 4.568154752291595340e+08
1.258185129631434916e-03 4.564932169179278016e+08
1.260409923302223617e-03 4.561701064181119204e+08
1.262638650978241753e-03 4.558461424998235703e+08
1.264871319615815462e-03 4.555213239389415979e+08
1.267107936183575929e-03 4.551956495171795487e+08
1.269348507662475430e-03 4.548691180221538544e+08
1.271593041045811180e-03 4.545417282474527955e+08
1.273841543339242904e-03 4.542134789927057624e+08
1.276094021560821674e-03 4.538843690636520386e+08
1.278350482741007254e-03 4.535543972722102404e+08
1.280610933922691954e-03 4.532235624365490675e+08
1.282875382161218630e-03 4.528918633811578751e+08
1.285143834524408654e-03 4.525592989369162321e+08
1.287416298092582080e-03 4.522258679411659837e+08
1.289692779958574124e-03 4.518915692377833724e+08
1.291973287227766174e-03 4.515564016772489548e+08
1.294257827018102701e-03 4.512203641167216301e+08
1.296546406460115331e-03 4.508834554201099873e+08
1.298839032696940624e-03 4.505456744581462145e+08
1.301135712884349998e-03 4.502070201084585786e+08
1.303436454190766858e-03 4.498674912556452751e+08
1.305741263797291322e-03 4.495270867913486362e+08
1.308050148897717778e-03 4.491858056143296361e+08
1.310363116698564810e-03 4.488436466305416822e+08
1.312680174419092981e-03 4.485006087532067299e+08
1.315001329291329334e-03 4.481566909028898478e+08
1.317326588560085174e-03 4.478118920075764656e+08
1.319655959482986425e-03 4.474662110027461052e+08
1.321989449330491411e-03 4.471196468314509988e+08
1.324327065385915141e-03 4.467721984443920851e+08
1.326668814945447744e-03 4.464238647999965549e+08
1.329014705318185040e-03 4.460746448644947410e+08
1.331364743826146972e-03 4.457245376119982004e+08
1.333718937804296688e-03 4.453735420245792270e+08
1.336077294600571553e-03 4.450216570923479199e+08
1.338439821575900489e-03 4.446688818135313988e+08
1.340806526104230002e-03 4.443152151945540905e+08
1.343177415572541309e-03 4.439606562501167059e+08
1.345552497380882000e-03 4.436052040032762289e+08
1.347931778942383380e-03 4.432488574855265617e+08
1.350315267683286063e-03 4.428916157368790507e+08
1.352702971042959047e-03 4.425334778059439659e+08
1.355094896473928992e-03 4.421744427500116229e+08
1.357491051441899951e-03 4.418145096351342201e+08
1.359891443425778092e-03 4.414536775362076163e+08
1.362296079917690774e-03 4.410919455370552540e+08
1.364704968423016912e-03 4.407293127305090427e+08
1.367118116460405621e-03 4.403657782184939384e+08
1.369535531561802020e-03 4.400013411121107340e+08
1.371957221272466316e-03 4.396360005317203999e+08
1.374383193151003943e-03 4.392697556070284247e+08
1.376813454769384862e-03 4.389026054771683216e+08
1.379248013712969798e-03 4.385345492907879353e+08
1.381686877580527587e-03 4.381655862061341405e+08
1.384130053984268570e-03 4.377957153911377192e+08
1.386577550549862809e-03 4.374249360235002041e+08
1.389029374916460466e-03 4.370532472907803655e+08
1.391485534736724115e-03 4.366806483904796243e+08
1.393946037676846526e-03 4.363071385301299691e+08
1.396410891416577978e-03 4.359327169273803234e+08
1.398880103649243834e-03 4.355573828100860119e+08
1.401353682081777925e-03 4.351811354163941145e+08
1.403831634434739902e-03 4.348039739948339462e+08
1.406313968442343644e-03 4.344258978044038415e+08
1.408800691852474165e-03 4.340469061146619916e+08
1.411291812426721014e-03 4.336669982058138847e+08
1.413787337940397137e-03 4.332861733688030839e+08
1.416287276182565330e-03 4.329044309054002762e+08
1.418791634956057543e-03 4.325217701282945871e+08
1.421300422077506750e-03 4.321381903611825705e+08
1.423813645377367118e-03 4.317536909388606548e+08
1.426331312699940027e-03 4.313682712073147297e+08
1.428853431903393369e-03 4.309819305238136649e+08
1.431380010859794509e-03 4.305946682569985390e+08
1.433911057455130884e-03 4.302064837869771719e+08
1.436446579589329732e-03 4.298173765054148436e+08
1.438986585176291926e-03 4.294273458156279922e+08
1.441531082143910833e-03 4.290363911326764226e+08
1.444080078434099423e-03 4.286445118834572434e+08
1.446633582002809998e-03 4.282517075067988038e+08
1.449191600820067373e-03 4.278579774535535574e+08
1.451754142869987520e-03 4.274633211866929531e+08
1.454321216150806411e-03 4.270677381814017296e+08
1.456892828674898228e-03 4.266712279251736403e+08
1.459468988468809632e-03 4.262737899179045558e+08
1.462049703573278401e-03 4.258754236719899774e+08
1.464634982043262713e-03 4.254761287124190331e+08
1.467224831947958703e-03 4.250759045768718719e+08
1.469819261370835595e-03 4.246747508158149719e+08
1.472418278409655000e-03 4.242726669925971031e+08
1.475021891176498887e-03 4.238696526835476756e+08
1.477630107797788883e-03 4.234657074780728221e+08
1.480242936414320537e-03 4.230608309787526727e+08
1.482860385181284562e-03 4.226550228014389277e+08
1.485482462268287876e-03 4.222482825753534436e+08
1.488109175859387645e-03 4.218406099431854486e+08
1.490740534153110796e-03 4.214320045611901283e+08
1.493376545362483073e-03 4.210224660992872715e+08
1.496017217715048774e-03 4.206119942411610484e+08
1.498662559452904573e-03 4.202005886843574047e+08
1.501312578832720342e-03 4.197882491403846741e+08
1.503967284125766468e-03 4.193749753348125219e+08
1.506626683617935539e-03 4.189607670073731542e+08
1.509290785609775738e-03 4.185456239120593071e+08
1.511959598416511225e-03 4.181295458172260523e+08
1.514633130368071411e-03 4.177125325056905150e+08
1.517311389809110258e-03 4.172945837748337984e+08
1.519994385099041837e-03 4.168756994367005229e+08
1.522682124612060499e-03 4.164558793181009889e+08
1.525374616737169928e-03 4.160351232607119679e+08
1.528071869878202442e-03 4.156134311211796403e+08
1.530773892453855855e-03 4.151908027712193727e+08
1.533480692897714074e-03 4.147672380977192521e+08
