# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 2.517771470875365436e+08
1.001768256211580483e-03 2.516726171676541269e+08
1.003539639153191651e-03 2.515677764166177511e+08
1.005314154353691277e-03 2.514626241206159592e+08
1.007091807351717053e-03 2.513571595657143891e+08
1.008872603695698316e-03 2.512513820378692150e+08
1.010656548943877518e-03 2.511452908229402900e+08
1.012443648664321932e-03 2.510388852067048550e+08
1.014233908434947727e-03 2.509321644748708308e+08
1.016027333843533406e-03 2.508251279130907953e+08
1.017823930487738674e-03 2.507177748069757223e+08
1.019623703975118751e-03 2.506101044421089888e+08
1.021426659923147353e-03 2.505021161040602028e+08
1.023232803959230356e-03 2.503938090783996880e+08
1.025042141720725096e-03 2.502851826507123113e+08
1.026854678854954460e-03 2.501762361066125631e+08
1.028670421019230088e-03 2.500669687317584753e+08
1.030489373880866472e-03 2.499573798118662834e+08
1.032311543117199817e-03 2.498474686327254772e+08
1.034136934415603006e-03 2.497372344802138507e+08
1.035965553473508147e-03 2.496266766403118074e+08
1.037797405998421973e-03 2.495157943991178274e+08
1.039632497707940802e-03 2.494045870428641438e+08
1.041470834329773741e-03 2.492930538579311371e+08
1.043312421601756993e-03 2.491811941308636963e+08
1.045157265271874462e-03 2.490690071483862996e+08
1.047005371098269893e-03 2.489564921974189878e+08
1.048856744849272458e-03 2.488436485650929809e+08
1.050711392303409989e-03 2.487304755387668610e+08
1.052569319249430004e-03 2.486169724060424566e+08
1.054430531486311639e-03 2.485031384547813535e+08
1.056295034823292317e-03 2.483889729731208980e+08
1.058162835079880107e-03 2.482744752494907379e+08
1.060033938085874761e-03 2.481596445726294816e+08
1.061908349681381153e-03 2.480444802316017449e+08
1.063786075716834437e-03 2.479289815158140659e+08
1.065667122053013272e-03 2.478131477150330842e+08
1.067551494561061725e-03 2.476969781194015443e+08
1.069439199122501193e-03 2.475804720194563866e+08
1.071330241629257080e-03 2.474636287061453164e+08
1.073224627983672018e-03 2.473464474708451033e+08
1.075122364098526255e-03 2.472289276053783596e+08
1.077023455897052617e-03 2.471110684020323753e+08
1.078927909312960357e-03 2.469928691535757184e+08
1.080835730290451418e-03 2.468743291532771587e+08
1.082746924784235617e-03 2.467554476949236393e+08
1.084661498759554926e-03 2.466362240728383958e+08
1.086579458192198436e-03 2.465166575818993747e+08
1.088500809068523607e-03 2.463967475175578296e+08
1.090425557385469278e-03 2.462764931758572757e+08
1.092353709150582124e-03 2.461558938534517288e+08
1.094285270382030530e-03 2.460349488476251960e+08
1.096220247108625626e-03 2.459136574563105106e+08
1.098158645369835817e-03 2.457920189781087041e+08
1.100100471215811719e-03 2.456700327123082876e+08
1.102045730707401552e-03 2.455476979589047432e+08
1.103994429916171742e-03 2.454250140186198950e+08
1.105946574924421017e-03 2.453019801929225326e+08
1.107902171825207293e-03 2.451785957840474248e+08
1.109861226722360684e-03 2.450548600950158834e+08
1.111823745730505840e-03 2.449307724296556413e+08
1.113789734975076254e-03 2.448063320926217437e+08
1.115759200592340503e-03 2.446815383894164562e+08
1.117732148729416990e-03 2.445563906264101565e+08
1.119708585544290863e-03 2.444308881108619273e+08
1.121688517205839380e-03 2.443050301509409845e+08
1.123671949893847088e-03 2.441788160557470620e+08
1.125658889799026645e-03 2.440522451353319883e+08
1.127649343123034425e-03 2.439253167007212043e+08
1.129643316078496329e-03 2.437980300639346838e+08
1.131640814889022526e-03 2.436703845380091667e+08
1.133641845789228920e-03 2.435423794370195568e+08
1.135646415024753201e-03 2.434140140761011839e+08
1.137654528852279773e-03 2.432852877714715302e+08
1.139666193539555375e-03 2.431561998404526711e+08
1.141681415365410979e-03 2.430267496014935076e+08
1.143700200619776749e-03 2.428969363741928041e+08
1.145722555603708500e-03 2.427667594793209434e+08
1.147748486629402440e-03 2.426362182388434410e+08
1.149778000020218157e-03 2.425053119759439230e+08
1.151811102110692278e-03 2.423740400150468946e+08
1.153847799246566878e-03 2.422424016818411946e+08
1.155888097784804223e-03 2.421103963033033907e+08
1.157932004093603900e-03 2.419780232077215910e+08
1.159979524552430140e-03 2.418452817247187197e+08
1.162030665552026129e-03 2.417121711852767169e+08
1.164085433494436560e-03 2.415786909217605591e+08
1.166143834793023464e-03 2.414448402679424286e+08
1.168205875872492224e-03 2.413106185590261817e+08
1.170271563168908497e-03 2.411760251316711903e+08
1.172340903129719027e-03 2.410410593240179420e+08
1.174413902213767907e-03 2.409057204757124484e+08
1.176490566891323902e-03 2.407700079279309213e+08
1.178570903644095193e-03 2.406339210234054327e+08
1.180654918965253018e-03 2.404974591064485312e+08
1.182742619359446190e-03 2.403606215229794979e+08
1.184834011342829297e-03 2.402234076205491424e+08
1.186929101443078092e-03 2.400858167483662963e+08
1.189027896199411610e-03 2.399478482573228180e+08
1.191130402162608433e-03 2.398095015000208616e+08
1.193236625895034882e-03 2.396707758307977617e+08
1.195346573970660188e-03 2.395316706057533622e+08
1.197460252975075150e-03 2.393921851827764809e+08
1.199577669505518798e-03 2.392523189215712845e+08
1.201698830170895094e-03 2.391120711836841106e+08
1.203823741591795050e-03 2.389714413325308561e+08
1.205952410400512554e-03 2.388304287334240675e+08
1.208084843241073649e-03 2.386890327535998821e+08
1.210221046769250838e-03 2.385472527622463107e+08
1.212361027652587159e-03 2.384050881305299997e+08
1.214504792570411792e-03 2.382625382316250205e+08
1.216652348213868471e-03 2.381196024407399893e+08
1.218803701285931526e-03 2.379762801351469457e+08
1.220958858501428870e-03 2.378325706942089796e+08
1.223117826587058043e-03 2.376884734994094670e+08
