# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 1.458679893641763449e+09
1.001768256211580483e-03 1.457799567086759329e+09
1.003539639153191651e-03 1.456916660531494379e+09
1.005314154353691277e-03 1.456031168329935074e+09
1.007091807351717053e-03 1.455143084837599277e+09
1.008872603695698316e-03 1.454252404411682129e+09
1.010656548943877518e-03 1.453359121411185980e+09
1.012443648664321932e-03 1.452463230197049379e+09
1.014233908434947727e-03 1.451564725132272959e+09
1.016027333843533406e-03 1.450663600582053423e+09
1.017823930487738674e-03 1.449759850913913250e+09
1.019623703975118751e-03 1.448853470497836590e+09
1.021426659923147353e-03 1.447944453706398964e+09
1.023232803959230356e-03 1.447032794914904356e+09
1.025042141720725096e-03 1.446118488501520634e+09
1.026854678854954460e-03 1.445201528847417116e+09
1.028670421019230088e-03 1.444281910336900473e+09
1.030489373880866472e-03 1.443359627357556105e+09
1.032311543117199817e-03 1.442434674300386190e+09
1.034136934415603006e-03 1.441507045559952974e+09
1.035965553473508147e-03 1.440576735534518242e+09
1.037797405998421973e-03 1.439643738626188278e+09
1.039632497707940802e-03 1.438708049241058826e+09
1.041470834329773741e-03 1.437769661789358616e+09
1.043312421601756993e-03 1.436828570685596466e+09
1.045157265271874462e-03 1.435884770348709583e+09
1.047005371098269893e-03 1.434938255202212572e+09
1.048856744849272458e-03 1.433989019674345493e+09
1.050711392303409989e-03 1.433037058198225737e+09
1.052569319249430004e-03 1.432082365211999416e+09
1.054430531486311639e-03 1.431124935158997774e+09
1.056295034823292317e-03 1.430164762487884998e+09
1.058162835079880107e-03 1.429201841652819157e+09
1.060033938085874761e-03 1.428236167113605499e+09
1.061908349681381153e-03 1.427267733335858107e+09
1.063786075716834437e-03 1.426296534791152954e+09
1.065667122053013272e-03 1.425322565957192183e+09
1.067551494561061725e-03 1.424345821317961931e+09
1.069439199122501193e-03 1.423366295363898754e+09
1.071330241629257080e-03 1.422383982592048883e+09
1.073224627983672018e-03 1.421398877506233692e+09
1.075122364098526255e-03 1.420410974617216825e+09
1.077023455897052617e-03 1.419420268442871332e+09
1.078927909312960357e-03 1.418426753508343697e+09
1.080835730290451418e-03 1.417430424346226931e+09
1.082746924784235617e-03 1.416431275496731997e+09
1.084661498759554926e-03 1.415429301507853746e+09
1.086579458192198436e-03 1.414424496935549259e+09
1.088500809068523607e-03 1.413416856343908072e+09
1.090425557385469278e-03 1.412406374305331469e+09
1.092353709150582124e-03 1.411393045400703430e+09
1.094285270382030530e-03 1.410376864219572306e+09
1.096220247108625626e-03 1.409357825360326767e+09
1.098158645369835817e-03 1.408335923430380344e+09
1.100100471215811719e-03 1.407311153046346426e+09
1.102045730707401552e-03 1.406283508834225893e+09
1.103994429916171742e-03 1.405252985429586649e+09
1.105946574924421017e-03 1.404219577477752209e+09
1.107902171825207293e-03 1.403183279633985996e+09
1.109861226722360684e-03 1.402144086563677788e+09
1.111823745730505840e-03 1.401101992942534208e+09
1.113789734975076254e-03 1.400056993456768513e+09
1.115759200592340503e-03 1.399009082803289652e+09
1.117732148729416990e-03 1.397958255689896107e+09
1.119708585544290863e-03 1.396904506835470676e+09
1.121688517205839380e-03 1.395847830970173597e+09
1.123671949893847088e-03 1.394788222835637331e+09
1.125658889799026645e-03 1.393725677185169220e+09
1.127649343123034425e-03 1.392660188783945560e+09
1.129643316078496329e-03 1.391591752409212351e+09
1.131640814889022526e-03 1.390520362850487947e+09
1.133641845789228920e-03 1.389446014909764528e+09
1.135646415024753201e-03 1.388368703401713133e+09
1.137654528852279773e-03 1.387288423153888702e+09
1.139666193539555375e-03 1.386205169006934404e+09
1.141681415365410979e-03 1.385118935814791203e+09
1.143700200619776749e-03 1.384029718444909334e+09
1.145722555603708500e-03 1.382937511778453350e+09
1.147748486629402440e-03 1.381842310710518122e+09
1.149778000020218157e-03 1.380744110150339127e+09
1.151811102110692278e-03 1.379642905021511555e+09
1.153847799246566878e-03 1.378538690262199163e+09
1.155888097784804223e-03 1.377431460825356007e+09
1.157932004093603900e-03 1.376321211678944826e+09
1.159979524552430140e-03 1.375207937806154013e+09
1.162030665552026129e-03 1.374091634205621004e+09
1.164085433494436560e-03 1.372972295891653538e+09
1.166143834793023464e-03 1.371849917894454479e+09
1.168205875872492224e-03 1.370724495260345936e+09
1.170271563168908497e-03 1.369596023051996231e+09
1.172340903129719027e-03 1.368464496348645926e+09
1.174413902213767907e-03 1.367329910246341228e+09
1.176490566891323902e-03 1.366192259858161211e+09
1.178570903644095193e-03 1.365051540314448357e+09
1.180654918965253018e-03 1.363907746763045549e+09
1.182742619359446190e-03 1.362760874369530201e+09
1.184834011342829297e-03 1.361610918317446947e+09
1.186929101443078092e-03 1.360457873808547974e+09
1.189027896199411610e-03 1.359301736063031673e+09
1.191130402162608433e-03 1.358142500319782495e+09
1.193236625895034882e-03 1.356980161836611271e+09
1.195346573970660188e-03 1.355814715890499353e+09
1.197460252975075150e-03 1.354646157777843952e+09
1.199577669505518798e-03 1.353474482814701557e+09
1.201698830170895094e-03 1.352299686337036133e+09
1.203823741591795050e-03 1.351121763700967789e+09
1.205952410400512554e-03 1.349940710283025026e+09
1.208084843241073649e-03 1.348756521480390310e+09
1.210221046769250838e-03 1.347569192711158276e+09
1.212361027652587159e-03 1.346378719414587498e+09
1.214504792570411792e-03 1.345185097051357508e+09
1.216652348213868471e-03 1.343988321103821993e+09
1.218803701285931526e-03 1.342788387076273918e+09
1.220958858501428870e-03 1.341585290495197535e+09
1.223117826587058043e-03 1.340379026909537077e+09
1.225280612281415488e-03 1.339169591890953541e+09
1.227447222335011079e-03 1.337956981034091711e+09
1.229617663510293273e-03 1.336741189956845522e+09
1.231791942581664289e-03 1.335522214300624609e+09
1.233970066335508950e-03 1.334300049730623007e+09
1.236152041570212244e-03 1.333074691936086655e+09
1.238337875096176674e-03 1.331846136630590439e+09
1.240527573735850661e-03 1.330614379552303553e+09
1.242721144323745896e-03 1.329379416464268208e+09
1.244918593706459886e-03 1.328141243154675007e+09
1.247119928742693304e-03 1.326899855437138319e+09
1.249325156303278178e-03 1.325655249150976658e+09
1.251534283271195239e-03 1.324407420161488295e+09
1.253747316541596471e-03 1.323156364360239267e+09
1.255964263021823544e-03 1.321902077665340185e+09
1.258185129631434916e-03 1.320644556021734238e+09
1.260409923302223617e-03 1.319383795401479721e+09
1.262638650978241753e-03 1.318119791804039240e+09
1.264871319615815462e-03 1.316852541256568670e+09
1.267107936183575929e-03 1.315582039814205647e+09
1.269348507662475430e-03 1.314308283560360909e+09
1.271593041045811180e-03 1.313031268607011318e+09
1.273841543339242904e-03 1.311750991094997406e+09
1.276094021560821674e-03 1.310467447194313526e+09
1.278350482741007254e-03 1.309180633104408503e+09
