# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 3.826732935112691522e+08
1.001768256211580483e-03 3.825048211197931767e+08
1.003539639153191651e-03 3.823358477361291647e+08
1.005314154353691277e-03 3.821663722093439698e+08
1.007091807351717053e-03 3.819963933882991076e+08
1.008872603695698316e-03 3.818259101216734052e+08
1.010656548943877518e-03 3.816549212579828501e+08
1.012443648664321932e-03 3.814834256456037760e+08
1.014233908434947727e-03 3.813114221327934861e+08
1.016027333843533406e-03 3.811389095677128434e+08
1.017823930487738674e-03 3.809658867984484434e+08
1.019623703975118751e-03 3.807923526730350256e+08
1.021426659923147353e-03 3.806183060394780040e+08
1.023232803959230356e-03 3.804437457457755804e+08
1.025042141720725096e-03 3.802686706399428248e+08
1.026854678854954460e-03 3.800930795700340867e+08
1.028670421019230088e-03 3.799169713841661215e+08
1.030489373880866472e-03 3.797403449305423498e+08
1.032311543117199817e-03 3.795631990574755669e+08
1.034136934415603006e-03 3.793855326134128571e+08
1.035965553473508147e-03 3.792073444469586015e+08
1.037797405998421973e-03 3.790286334068997502e+08
1.039632497707940802e-03 3.788493983422294259e+08
1.041470834329773741e-03 3.786696381021720767e+08
1.043312421601756993e-03 3.784893515362083316e+08
1.045157265271874462e-03 3.783085374940993786e+08
1.047005371098269893e-03 3.781271948259133697e+08
1.048856744849272458e-03 3.779453223820496202e+08
1.050711392303409989e-03 3.777629190132652521e+08
1.052569319249430004e-03 3.775799835706998706e+08
1.054430531486311639e-03 3.773965149059031606e+08
1.056295034823292317e-03 3.772125118708595037e+08
1.058162835079880107e-03 3.770279733180156350e+08
1.060033938085874761e-03 3.768428981003063321e+08
1.061908349681381153e-03 3.766572850711819530e+08
1.063786075716834437e-03 3.764711330846353769e+08
1.065667122053013272e-03 3.762844409952290654e+08
1.067551494561061725e-03 3.760972076581217051e+08
1.069439199122501193e-03 3.759094319290979505e+08
1.071330241629257080e-03 3.757211126645944118e+08
1.073224627983672018e-03 3.755322487217283845e+08
1.075122364098526255e-03 3.753428389583257437e+08
1.077023455897052617e-03 3.751528822329506874e+08
1.078927909312960357e-03 3.749623774049328566e+08
1.080835730290451418e-03 3.747713233343971372e+08
1.082746924784235617e-03 3.745797188822927475e+08
1.084661498759554926e-03 3.743875629104221463e+08
1.086579458192198436e-03 3.741948542814712524e+08
