# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 1.752350468166477084e+08
1.001768256211580483e-03 1.751640736589039266e+08
1.003539639153191651e-03 1.750928895317646563e+08
1.005314154353691277e-03 1.750214939513884485e+08
1.007091807351717053e-03 1.749498864338569045e+08
1.008872603695698316e-03 1.748780664951843023e+08
1.010656548943877518e-03 1.748060336513260603e+08
1.012443648664321932e-03 1.747337874181885719e+08
1.014233908434947727e-03 1.746613273116380274e+08
1.016027333843533406e-03 1.745886528475100994e+08
1.017823930487738674e-03 1.745157635416189730e+08
1.019623703975118751e-03 1.744426589097674191e+08
1.021426659923147353e-03 1.743693384677559733e+08
1.023232803959230356e-03 1.742958017313926518e+08
1.025042141720725096e-03 1.742220482165027261e+08
1.026854678854954460e-03 1.741480774389387667e+08
1.028670421019230088e-03 1.740738889145903289e+08
1.030489373880866472e-03 1.739994821593938470e+08
1.032311543117199817e-03 1.739248566893430054e+08
1.034136934415603006e-03 1.738500120204987824e+08
1.035965553473508147e-03 1.737749476689994037e+08
1.037797405998421973e-03 1.736996631510711014e+08
1.039632497707940802e-03 1.736241579830382764e+08
1.041470834329773741e-03 1.735484316813339293e+08
1.043312421601756993e-03 1.734724837625103295e+08
1.045157265271874462e-03 1.733963137432495356e+08
1.047005371098269893e-03 1.733199211403744519e+08
1.048856744849272458e-03 1.732433054708590806e+08
1.050711392303409989e-03 1.731664662518400550e+08
1.052569319249430004e-03 1.730894030006270111e+08
1.054430531486311639e-03 1.730121152347141802e+08
1.056295034823292317e-03 1.729346024717912376e+08
1.058162835079880107e-03 1.728568642297545075e+08
1.060033938085874761e-03 1.727789000267185867e+08
1.061908349681381153e-03 1.727007093810273409e+08
1.063786075716834437e-03 1.726222918112657964e+08
1.065667122053013272e-03 1.725436468362715244e+08
1.067551494561061725e-03 1.724647739751462042e+08
1.069439199122501193e-03 1.723856727472677529e+08
1.071330241629257080e-03 1.723063426723017991e+08
1.073224627983672018e-03 1.722267832702136040e+08
1.075122364098526255e-03 1.721469940612805188e+08
1.077023455897052617e-03 1.720669745661037564e+08
1.078927909312960357e-03 1.719867243056206703e+08
1.080835730290451418e-03 1.719062428011169434e+08
1.082746924784235617e-03 1.718255295742391646e+08
1.084661498759554926e-03 1.717445841470073164e+08
1.086579458192198436e-03 1.716634060418271422e+08
1.088500809068523607e-03 1.715819947815028727e+08
1.090425557385469278e-03 1.715003498892502189e+08
1.092353709150582124e-03 1.714184708887088597e+08
1.094285270382030530e-03 1.713363573039556146e+08
1.096220247108625626e-03 1.712540086595173776e+08
1.098158645369835817e-03 1.711714244803843498e+08
1.100100471215811719e-03 1.710886042920231223e+08
1.102045730707401552e-03 1.710055476203901172e+08
1.103994429916171742e-03 1.709222539919447899e+08
1.105946574924421017e-03 1.708387229336633980e+08
1.107902171825207293e-03 1.707549539730525911e+08
1.109861226722360684e-03 1.706709466381627321e+08
1.111823745730505840e-03 1.705867004576020539e+08
1.113789734975076254e-03 1.705022149605505168e+08
1.115759200592340503e-03 1.704174896767736673e+08
1.117732148729416990e-03 1.703325241366367638e+08
1.119708585544290863e-03 1.702473178711189330e+08
1.121688517205839380e-03 1.701618704118276238e+08
1.123671949893847088e-03 1.700761812910125554e+08
1.125658889799026645e-03 1.699902500415806472e+08
1.127649343123034425e-03 1.699040761971104443e+08
1.129643316078496329e-03 1.698176592918667793e+08
1.131640814889022526e-03 1.697309988608152866e+08
1.133641845789228920e-03 1.696440944396376312e+08
1.135646415024753201e-03 1.695569455647464693e+08
1.137654528852279773e-03 1.694695517733003497e+08
1.139666193539555375e-03 1.693819126032187939e+08
1.141681415365410979e-03 1.692940275931977928e+08
1.143700200619776749e-03 1.692058962827252150e+08
1.145722555603708500e-03 1.691175182120960057e+08
1.147748486629402440e-03 1.690288929224279523e+08
1.149778000020218157e-03 1.689400199556774497e+08
1.151811102110692278e-03 1.688508988546550870e+08
1.153847799246566878e-03 1.687615291630416214e+08
1.155888097784804223e-03 1.686719104254039228e+08
1.157932004093603900e-03 1.685820421872113347e+08
1.159979524552430140e-03 1.684919239948513508e+08
1.162030665552026129e-03 1.684015553956462741e+08
1.164085433494436560e-03 1.683109359378697872e+08
1.166143834793023464e-03 1.682200651707630157e+08
1.168205875872492224e-03 1.681289426445515454e+08
1.170271563168908497e-03 1.680375679104616344e+08
1.172340903129719027e-03 1.679459405207377672e+08
1.174413902213767907e-03 1.678540600286590159e+08
1.176490566891323902e-03 1.677619259885561764e+08
1.178570903644095193e-03 1.676695379558292627e+08
1.180654918965253018e-03 1.675768954869641066e+08
1.182742619359446190e-03 1.674839981395505071e+08
1.184834011342829297e-03 1.673908454722991288e+08
1.186929101443078092e-03 1.672974370450589955e+08
1.189027896199411610e-03 1.672037724188358486e+08
1.191130402162608433e-03 1.671098511558093429e+08
1.193236625895034882e-03 1.670156728193511665e+08
1.195346573970660188e-03 1.669212369740426540e+08
1.197460252975075150e-03 1.668265431856938899e+08
