# q Iq
1.000000000000000048e-04 7.732873235238345806e+05
1.002537693486482012e-04 7.732868964909473434e+05
1.005081826861196301e-04 7.732864672881499864e+05
1.007632416466603341e-04 7.732860359044176294e+05
1.010189478686639712e-04 7.732856023286689306e+05
1.012753029946815452e-04 7.732851665497666690e+05
1.015323086714327500e-04 7.732847285565170459e+05
1.017899665498157131e-04 7.732842883376688696e+05
1.020482782849185018e-04 7.732838458819142543e+05
1.023072455360288409e-04 7.732834011778878048e+05
1.025668699666455367e-04 7.732829542141663842e+05
1.028271532444888318e-04 7.732825049792689970e+05
1.030880970415108672e-04 7.732820534616555087e+05
1.033497030339070261e-04 7.732815996497283923e+05
1.036119729021260167e-04 7.732811435318305157e+05
1.038749083308814056e-04 7.732806850962449098e+05
1.041385110091615923e-04 7.732802243311968632e+05
1.044027826302415730e-04 7.732797612248500809e+05
1.046677248916929285e-04 7.732792957653086632e+05
1.049333394953954663e-04 7.732788279406169895e+05
1.051996281475478452e-04 7.732783577387579717e+05
1.054665925586782010e-04 7.732778851476532873e+05
1.057342344436559096e-04 7.732774101551643107e+05
1.060025555217017384e-04 7.732769327490897849e+05
1.062715575163997178e-04 7.732764529171665199e+05
1.065412421557073737e-04 7.732759706470693927e+05
1.068116111719677214e-04 7.732754859264107654e+05
1.070826663019194705e-04 7.732749987427399028e+05
1.073544092867089649e-04 7.732745090835425071e+05
1.076268418719010788e-04 7.732740169362412998e+05
1.078999658074900319e-04 7.732735222881943919e+05
1.081737828479114374e-04 7.732730251266967971e+05
1.084482947520526967e-04 7.732725254389775218e+05
1.087235032832651699e-04 7.732720232122017769e+05
1.089994102093746109e-04 7.732715184334693477e+05
1.092760173026934326e-04 7.732710110898142448e+05
1.095533263400311696e-04 7.732705011682050535e+05
1.098313391027068106e-04 7.732699886555437697e+05
1.101100573765593425e-04 7.732694735386659158e+05
1.103894829519599886e-04 7.732689558043401921e+05
1.106696176238234025e-04 7.732684354392681271e+05
1.109504631916188356e-04 7.732679124300838448e+05
1.112320214593824700e-04 7.732673867633530172e+05
1.115142942357281655e-04 7.732668584255737951e+05
1.117972833338599280e-04 7.732663274031756446e+05
1.120809905715826430e-04 7.732657936825181823e+05
1.123654177713145983e-04 7.732652572498928057e+05
1.126505667600988004e-04 7.732647180915210629e+05
1.129364393696144123e-04 7.732641761935541872e+05
1.132230374361892634e-04 7.732636315420732135e+05
1.135103628008107856e-04 7.732630841230886290e+05
1.137984173091387123e-04 7.732625339225394418e+05
1.140872028115160830e-04 7.732619809262938797e+05
1.143767211629819288e-04 7.732614251201477600e+05
1.146669742232823849e-04 7.732608664898250718e+05
1.149579638568835253e-04 7.732603050209773937e+05
1.152496919329823672e-04 7.732597406991831958e+05
1.155421603255197595e-04 7.732591735099478392e+05
1.158353709131919974e-04 7.732586034387026448e+05
1.161293255794626267e-04 7.732580304708057083e+05
1.164240262125752914e-04 7.732574545915400377e+05
1.167194747055649552e-04 7.732568757861146005e+05
1.170156729562709801e-04 7.732562940396622289e+05
1.173126228673484150e-04 7.732557093372413656e+05
1.176103263462811150e-04 7.732551216638335027e+05
1.179087853053930983e-04 7.732545310043445788e+05
1.182080016618615974e-04 7.732539373436039314e+05
1.185079773377290663e-04 7.732533406663632486e+05
1.188087142599151749e-04 7.732527409572971519e+05
1.191102143602299819e-04 7.732521382010024972e+05
1.194124795753854134e-04 7.732515323819975602e+05
1.197155118470086537e-04 7.732509234847222688e+05
1.200193131216536639e-04 7.732503114935373887e+05
1.203238853508146404e-04 7.732496963927242905e+05
1.206292304909376153e-04 7.732490781664843671e+05
1.209353505034337924e-04 7.732484567989393836e+05
1.212422473546918936e-04 7.732478322741296142e+05
1.215499230160903288e-04 7.732472045760145411e+05
1.218583794640107755e-04 7.732465736884726211e+05
1.221676186798498480e-04 7.732459395952998893e+05
1.224776426500328393e-04 7.732453022802103078e+05
1.227884533660254980e-04 7.732446617268347181e+05
1.231000528243477712e-04 7.732440179187221220e+05
1.234124430265857032e-04 7.732433708393359557e+05
1.237256259794050964e-04 7.732427204720573500e+05
1.240396036945640612e-04 7.732420668001823360e+05
1.243543781889255655e-04 7.732414098069219617e+05
1.246699514844712582e-04 7.732407494754025247e+05
1.249863256083134228e-04 7.732400857886641752e+05
1.253035025927090715e-04 7.732394187296612654e+05
1.256214844750719805e-04 7.732387482812609524e+05
1.259402732979866758e-04 7.732380744262444787e+05
1.262598711092207391e-04 7.732373971473043784e+05
1.265802799617386581e-04 7.732367164270459907e+05
1.269015019137147561e-04 7.732360322479861788e+05
1.272235390285459853e-04 7.732353445925534470e+05
1.275463933748660487e-04 7.732346534430859610e+05
1.278700670265577055e-04 7.732339587818332948e+05
1.281945620627671372e-04 7.732332605909543345e+05
1.285198805679162257e-04 7.732325588525173953e+05
1.288460246317170009e-04 7.732318535484996391e+05
1.291729963491840001e-04 7.732311446607871912e+05
1.295007978206486879e-04 7.732304321711735101e+05
1.298294311517724940e-04 7.732297160613600863e+05
1.301588984535600134e-04 7.732289963129549287e+05
1.304892018423734260e-04 7.732282729074734962e+05
1.308203434399450463e-04 7.732275458263366017e+05
1.311523253733920687e-04 7.732268150508709950e+05
1.314851497752290901e-04 7.732260805623084307e+05
1.318188187833829088e-04 7.732253423417856684e+05
1.321533345412052645e-04 7.732246003703436581e+05
1.324886991974873391e-04 7.732238546289262595e+05
1.328249149064734177e-04 7.732231050983818714e+05
1.331619838278740888e-04 7.732223517594605219e+05
1.334999081268812334e-04 7.732215945928149158e+05
1.338386899741807645e-04 7.732208335789996199e+05
1.341783315459676702e-04 7.732200686984701315e+05
1.345188350239588887e-04 7.732192999315832276e+05
1.348602025954084599e-04 7.732185272585949861e+05
1.352024364531204819e-04 7.732177506596622989e+05
1.355455387954641812e-04 7.732169701148406602e+05
1.358895118263871399e-04 7.732161856040840503e+05
1.362343577554301765e-04 7.732153971072454005e+05
1.365800787977413050e-04 7.732146046040747315e+05
1.369266771740895315e-04 7.732138080742193852e+05
1.372741551108799785e-04 7.732130074972234434e+05
1.376225148401671937e-04 7.732122028525269125e+05
1.379717585996704913e-04 7.732113941194657236e+05
1.383218886327873423e-04 7.732105812772705685e+05
1.386729071886086341e-04 7.732097643050664337e+05
1.390248165219328468e-04 7.732089431818731828e+05
1.393776188932799038e-04 7.732081178866029950e+05
1.397313165689068656e-04 7.732072883980619954e+05
1.400859118208213467e-04 7.732064546949480427e+05
1.404414069267970742e-04 7.732056167558507295e+05
1.407978041703875755e-04 7.732047745592514984e+05
1.411551058409418725e-04 7.732039280835221289e+05
1.415133142336181149e-04 7.732030773069245042e+05
1.418724316493993832e-04 7.732022222076104954e+05
1.422324603951074032e-04 7.732013627636205638e+05
1.425934027834183755e-04 7.732004989528842270e+05
1.429552611328773143e-04 7.731996307532178471e+05
1.433180377679125486e-04 7.731987581423267256e+05
1.436817350188516866e-04 7.731978810978014953e+05
1.440463552219354670e-04 7.731969995971197495e+05
1.444119007193337778e-04 7.731961136176447617e+05
1.447783738591597238e-04 7.731952231366243213e+05
1.451457769954856997e-04 7.731943281311911996e+05
1.455141124883575126e-04 7.731934285783617524e+05
1.458833827038104271e-04 7.731925244550356874e+05
1.462535900138839926e-04 7.731916157379955985e+05
1.466247367966368425e-04 7.731907024039059179e+05
1.469968254361629569e-04 7.731897844293129165e+05
1.473698583226058117e-04 7.731888617906433064e+05
1.477438378521750211e-04 7.731879344642044744e+05
1.481187664271603238e-04 7.731870024261833169e+05
1.484946464559484423e-04 7.731860656526457751e+05
1.488714803530371503e-04 7.731851241195362527e+05
1.492492705390519698e-04 7.731841778026777320e+05
1.496280194407612681e-04 7.731832266777689802e+05
1.500077294910912744e-04 7.731822707203865284e+05
1.503884031291429120e-04 7.731813099059829256e+05
1.507700428002061636e-04 7.731803442098852247e+05
1.511526509557770126e-04 7.731793736072956817e+05
1.515362300535719707e-04 7.731783980732908240e+05
1.519207825575451276e-04 7.731774175828202860e+05
1.523063109379026517e-04 7.731764321107068099e+05
1.526928176711198667e-04 7.731754416316451970e+05
1.530803052399565929e-04 7.731744461202013772e+05
1.534687761334727052e-04 7.731734455508127576e+05
1.538582328470451286e-04 7.731724398977864766e+05
1.542486778823826913e-04 7.731714291352996370e+05
1.546401137475434447e-04 7.731704132373975590e+05
1.550325429569494092e-04 7.731693921779948287e+05
1.554259680314041647e-04 7.731683659308722708e+05
1.558203914981075961e-04 7.731673344696791610e+05
1.562158158906734302e-04 7.731662977679291507e+05
1.566122437491448212e-04 7.731652557990028290e+05
1.570096776200103424e-04 7.731642085361452773e+05
1.574081200562214421e-04 7.731631559524652548e+05
1.578075736172074870e-04 7.731620980209356640e+05
1.582080408688935698e-04 7.731610347143919207e+05
1.586095243837156343e-04 7.731599660055311397e+05
1.590120267406383374e-04 7.731588918669123668e+05
1.594155505251703634e-04 7.731578122709550662e+05
1.598200983293821778e-04 7.731567271899385378e+05
1.602256727519215588e-04 7.731556365960016847e+05
1.606322763980312966e-04 7.731545404611417325e+05
1.610399118795655376e-04 7.731534387572138803e+05
1.614485818150059396e-04 7.731523314559302526e+05
1.618582888294797773e-04 7.731512185288594337e+05
1.622690355547754741e-04 7.731500999474255368e+05
1.626808246293607078e-04 7.731489756829077378e+05
1.630936586983981588e-04 7.731478457064395770e+05
1.635075404137635894e-04 7.731467099890076788e+05
1.639224724340624588e-04 7.731455685014515184e+05
1.643384574246464032e-04 7.731444212144627236e+05
