# q Iq
1.000000000000000048e-04 2.615866863699239120e+07
1.002537693486482012e-04 2.615860915116504207e+07
1.005081826861196301e-04 2.615854936331286654e+07
1.007632416466603341e-04 2.615848927190378681e+07
1.010189478686639712e-04 2.615842887539798766e+07
1.012753029946815452e-04 2.615836817224783450e+07
1.015323086714327500e-04 2.615830716089787707e+07
1.017899665498157131e-04 2.615824583978477865e+07
1.020482782849185018e-04 2.615818420733727887e+07
1.023072455360288409e-04 2.615812226197617874e+07
1.025668699666455367e-04 2.615806000211427361e+07
1.028271532444888318e-04 2.615799742615633458e+07
1.030880970415108672e-04 2.615793453249904513e+07
1.033497030339070261e-04 2.615787131953096390e+07
1.036119729021260167e-04 2.615780778563251346e+07
1.038749083308814056e-04 2.615774392917592078e+07
1.041385110091615923e-04 2.615767974852513522e+07
1.044027826302415730e-04 2.615761524203585461e+07
1.046677248916929285e-04 2.615755040805545449e+07
1.049333394953954663e-04 2.615748524492292851e+07
1.051996281475478452e-04 2.615741975096886605e+07
1.054665925586782010e-04 2.615735392451543361e+07
1.057342344436559096e-04 2.615728776387625933e+07
1.060025555217017384e-04 2.615722126735646278e+07
1.062715575163997178e-04 2.615715443325259164e+07
1.065412421557073737e-04 2.615708725985255465e+07
1.068116111719677214e-04 2.615701974543559551e+07
1.070826663019194705e-04 2.615695188827227056e+07
1.073544092867089649e-04 2.615688368662435189e+07
1.076268418719010788e-04 2.615681513874484226e+07
1.078999658074900319e-04 2.615674624287787825e+07
1.081737828479114374e-04 2.615667699725873396e+07
1.084482947520526967e-04 2.615660740011373907e+07
1.087235032832651699e-04 2.615653744966025278e+07
1.089994102093746109e-04 2.615646714410660788e+07
1.092760173026934326e-04 2.615639648165208474e+07
1.095533263400311696e-04 2.615632546048682928e+07
1.098313391027068106e-04 2.615625407879184559e+07
1.101100573765593425e-04 2.615618233473892882e+07
1.103894829519599886e-04 2.615611022649063170e+07
1.106696176238234025e-04 2.615603775220018625e+07
1.109504631916188356e-04 2.615596491001151502e+07
1.112320214593824700e-04 2.615589169805911928e+07
1.115142942357281655e-04 2.615581811446808651e+07
1.117972833338599280e-04 2.615574415735399723e+07
1.120809905715826430e-04 2.615566982482291386e+07
1.123654177713145983e-04 2.615559511497130245e+07
1.126505667600988004e-04 2.615552002588601410e+07
1.129364393696144123e-04 2.615544455564421043e+07
1.132230374361892634e-04 2.615536870231333375e+07
1.135103628008107856e-04 2.615529246395104751e+07
1.137984173091387123e-04 2.615521583860518411e+07
1.140872028115160830e-04 2.615513882431371883e+07
1.143767211629819288e-04 2.615506141910467669e+07
1.146669742232823849e-04 2.615498362099612504e+07
1.149579638568835253e-04 2.615490542799611762e+07
1.152496919329823672e-04 2.615482683810259402e+07
1.155421603255197595e-04 2.615474784930341318e+07
1.158353709131919974e-04 2.615466845957623050e+07
1.161293255794626267e-04 2.615458866688847542e+07
1.164240262125752914e-04 2.615450846919731051e+07
1.167194747055649552e-04 2.615442786444956064e+07
1.170156729562709801e-04 2.615434685058164597e+07
1.173126228673484150e-04 2.615426542551959306e+07
1.176103263462811150e-04 2.615418358717890829e+07
1.179087853053930983e-04 2.615410133346457034e+07
1.182080016618615974e-04 2.615401866227096319e+07
1.185079773377290663e-04 2.615393557148181647e+07
1.188087142599151749e-04 2.615385205897016078e+07
1.191102143602299819e-04 2.615376812259829044e+07
1.194124795753854134e-04 2.615368376021767035e+07
1.197155118470086537e-04 2.615359896966889873e+07
1.200193131216536639e-04 2.615351374878168106e+07
1.203238853508146404e-04 2.615342809537471831e+07
1.206292304909376153e-04 2.615334200725572556e+07
1.209353505034337924e-04 2.615325548222128302e+07
1.212422473546918936e-04 2.615316851805688068e+07
1.215499230160903288e-04 2.615308111253678054e+07
1.218583794640107755e-04 2.615299326342401281e+07
1.221676186798498480e-04 2.615290496847027913e+07
1.224776426500328393e-04 2.615281622541594878e+07
1.227884533660254980e-04 2.615272703198993579e+07
1.231000528243477712e-04 2.615263738590969145e+07
1.234124430265857032e-04 2.615254728488112986e+07
1.237256259794050964e-04 2.615245672659857199e+07
1.240396036945640612e-04 2.615236570874468237e+07
1.243543781889255655e-04 2.615227422899040207e+07
1.246699514844712582e-04 2.615218228499493003e+07
1.249863256083134228e-04 2.615208987440560758e+07
1.253035025927090715e-04 2.615199699485790357e+07
1.256214844750719805e-04 2.615190364397532493e+07
1.259402732979866758e-04 2.615180981936938688e+07
1.262598711092207391e-04 2.615171551863951609e+07
1.265802799617386581e-04 2.615162073937302828e+07
1.269015019137147561e-04 2.615152547914503887e+07
1.272235390285459853e-04 2.615142973551840335e+07
1.275463933748660487e-04 2.615133350604367629e+07
1.278700670265577055e-04 2.615123678825902566e+07
1.281945620627671372e-04 2.615113957969020307e+07
1.285198805679162257e-04 2.615104187785043195e+07
1.288460246317170009e-04 2.615094368024039268e+07
1.291729963491840001e-04 2.615084498434813321e+07
1.295007978206486879e-04 2.615074578764900193e+07
1.298294311517724940e-04 2.615064608760561422e+07
1.301588984535600134e-04 2.615054588166775554e+07
1.304892018423734260e-04 2.615044516727233678e+07
1.308203434399450463e-04 2.615034394184331596e+07
1.311523253733920687e-04 2.615024220279163495e+07
1.314851497752290901e-04 2.615013994751518220e+07
1.318188187833829088e-04 2.615003717339867726e+07
1.321533345412052645e-04 2.614993387781364843e+07
1.324886991974873391e-04 2.614983005811834335e+07
1.328249149064734177e-04 2.614972571165766940e+07
1.331619838278740888e-04 2.614962083576313406e+07
1.334999081268812334e-04 2.614951542775274813e+07
1.338386899741807645e-04 2.614940948493100703e+07
1.341783315459676702e-04 2.614930300458877161e+07
1.345188350239588887e-04 2.614919598400324956e+07
1.348602025954084599e-04 2.614908842043787614e+07
1.352024364531204819e-04 2.614898031114227697e+07
