# q Iq
1.000000000000000048e-04 8.976234020783571526e+06
1.002537693486482012e-04 8.976221446216741577e+06
1.005081826861196301e-04 8.976208807763393968e+06
1.007632416466603341e-04 8.976196105099018663e+06
1.010189478686639712e-04 8.976183337897464633e+06
1.012753029946815452e-04 8.976170505830923095e+06
1.015323086714327500e-04 8.976157608569925651e+06
1.017899665498157131e-04 8.976144645783323795e+06
1.020482782849185018e-04 8.976131617138288915e+06
1.023072455360288409e-04 8.976118522300306708e+06
1.025668699666455367e-04 8.976105360933162272e+06
1.028271532444888318e-04 8.976092132698938251e+06
1.030880970415108672e-04 8.976078837257992476e+06
1.033497030339070261e-04 8.976065474268969148e+06
1.036119729021260167e-04 8.976052043388770893e+06
1.038749083308814056e-04 8.976038544272566214e+06
1.041385110091615923e-04 8.976024976573763415e+06
1.044027826302415730e-04 8.976011339944018051e+06
1.046677248916929285e-04 8.975997634033216164e+06
1.049333394953954663e-04 8.975983858489470556e+06
1.051996281475478452e-04 8.975970012959090993e+06
1.054665925586782010e-04 8.975956097086621448e+06
1.057342344436559096e-04 8.975942110514771193e+06
1.060025555217017384e-04 8.975928052884452045e+06
1.062715575163997178e-04 8.975913923834750429e+06
1.065412421557073737e-04 8.975899723002918065e+06
1.068116111719677214e-04 8.975885450024366379e+06
1.070826663019194705e-04 8.975871104532662779e+06
1.073544092867089649e-04 8.975856686159498990e+06
1.076268418719010788e-04 8.975842194534709677e+06
1.078999658074900319e-04 8.975827629286246374e+06
1.081737828479114374e-04 8.975812990040177479e+06
1.084482947520526967e-04 8.975798276420664042e+06
1.087235032832651699e-04 8.975783488049961627e+06
1.089994102093746109e-04 8.975768624548412859e+06
1.092760173026934326e-04 8.975753685534434393e+06
1.095533263400311696e-04 8.975738670624496415e+06
1.098313391027068106e-04 8.975723579433131963e+06
1.101100573765593425e-04 8.975708411572912708e+06
1.103894829519599886e-04 8.975693166654443368e+06
1.106696176238234025e-04 8.975677844286352396e+06
1.109504631916188356e-04 8.975662444075286388e+06
1.112320214593824700e-04 8.975646965625885874e+06
1.115142942357281655e-04 8.975631408540798351e+06
1.117972833338599280e-04 8.975615772420639172e+06
1.120809905715826430e-04 8.975600056864006445e+06
1.123654177713145983e-04 8.975584261467460543e+06
1.126505667600988004e-04 8.975568385825505480e+06
1.129364393696144123e-04 8.975552429530596361e+06
1.132230374361892634e-04 8.975536392173117027e+06
1.135103628008107856e-04 8.975520273341370746e+06
1.137984173091387123e-04 8.975504072621572763e+06
1.140872028115160830e-04 8.975487789597839117e+06
1.143767211629819288e-04 8.975471423852169886e+06
1.146669742232823849e-04 8.975454974964449182e+06
1.149579638568835253e-04 8.975438442512428388e+06
1.152496919329823672e-04 8.975421826071707532e+06
1.155421603255197595e-04 8.975405125215744600e+06
1.158353709131919974e-04 8.975388339515831321e+06
1.161293255794626267e-04 8.975371468541068956e+06
1.164240262125752914e-04 8.975354511858390644e+06
1.167194747055649552e-04 8.975337469032522291e+06
1.170156729562709801e-04 8.975320339625975117e+06
1.173126228673484150e-04 8.975303123199051246e+06
1.176103263462811150e-04 8.975285819309821352e+06
1.179087853053930983e-04 8.975268427514104173e+06
1.182080016618615974e-04 8.975250947365462780e+06
1.185079773377290663e-04 8.975233378415210173e+06
1.188087142599151749e-04 8.975215720212364569e+06
1.191102143602299819e-04 8.975197972303664312e+06
1.194124795753854134e-04 8.975180134233552963e+06
1.197155118470086537e-04 8.975162205544145778e+06
1.200193131216536639e-04 8.975144185775252059e+06
1.203238853508146404e-04 8.975126074464326724e+06
1.206292304909376153e-04 8.975107871146501973e+06
1.209353505034337924e-04 8.975089575354527682e+06
1.212422473546918936e-04 8.975071186618795618e+06
1.215499230160903288e-04 8.975052704467307776e+06
1.218583794640107755e-04 8.975034128425676376e+06
1.221676186798498480e-04 8.975015458017099649e+06
1.224776426500328393e-04 8.974996692762365565e+06
1.227884533660254980e-04 8.974977832179822028e+06
1.231000528243477712e-04 8.974958875785378739e+06
1.234124430265857032e-04 8.974939823092481121e+06
1.237256259794050964e-04 8.974920673612112179e+06
1.240396036945640612e-04 8.974901426852772012e+06
1.243543781889255655e-04 8.974882082320464775e+06
1.246699514844712582e-04 8.974862639518691227e+06
1.249863256083134228e-04 8.974843097948430106e+06
1.253035025927090715e-04 8.974823457108128816e+06
1.256214844750719805e-04 8.974803716493686661e+06
1.259402732979866758e-04 8.974783875598451123e+06
1.262598711092207391e-04 8.974763933913191780e+06
1.265802799617386581e-04 8.974743890926104039e+06
1.269015019137147561e-04 8.974723746122775599e+06
1.272235390285459853e-04 8.974703498986190185e+06
1.275463933748660487e-04 8.974683148996707052e+06
1.278700670265577055e-04 8.974662695632046089e+06
1.281945620627671372e-04 8.974642138367282227e+06
1.285198805679162257e-04 8.974621476674824953e+06
1.288460246317170009e-04 8.974600710024403408e+06
1.291729963491840001e-04 8.974579837883060798e+06
1.295007978206486879e-04 8.974558859715132043e+06
1.298294311517724940e-04 8.974537774982240051e+06
1.301588984535600134e-04 8.974516583143267781e+06
1.304892018423734260e-04 8.974495283654361963e+06
1.308203434399450463e-04 8.974473875968907028e+06
1.311523253733920687e-04 8.974452359537506476e+06
1.314851497752290901e-04 8.974430733807986602e+06
1.318188187833829088e-04 8.974408998225368559e+06
1.321533345412052645e-04 8.974387152231855318e+06
1.324886991974873391e-04 8.974365195266824216e+06
1.328249149064734177e-04 8.974343126766806468e+06
1.331619838278740888e-04 8.974320946165470406e+06
1.334999081268812334e-04 8.974298652893619612e+06
1.338386899741807645e-04 8.974276246379164979e+06
1.341783315459676702e-04 8.974253726047111675e+06
1.345188350239588887e-04 8.974231091319557279e+06
1.348602025954084599e-04 8.974208341615660116e+06
1.352024364531204819e-04 8.974185476351631805e+06
1.355455387954641812e-04 8.974162494940726086e+06
1.358895118263871399e-04 8.974139396793214604e+06
1.362343577554301765e-04 8.974116181316390634e+06
1.365800787977413050e-04 8.974092847914522514e+06
1.369266771740895315e-04 8.974069395988870412e+06
1.372741551108799785e-04 8.974045824937647209e+06
1.376225148401671937e-04 8.974022134156018496e+06
1.379717585996704913e-04 8.973998323036087677e+06
1.383218886327873423e-04 8.973974390966860577e+06
1.386729071886086341e-04 8.973950337334254757e+06
1.390248165219328468e-04 8.973926161521069705e+06
1.393776188932799038e-04 8.973901862906968221e+06
1.397313165689068656e-04 8.973877440868476406e+06
1.400859118208213467e-04 8.973852894778953865e+06
1.404414069267970742e-04 8.973828224008580670e+06
1.407978041703875755e-04 8.973803427924335003e+06
1.411551058409418725e-04 8.973778505890002474e+06
1.415133142336181149e-04 8.973753457266122103e+06
1.418724316493993832e-04 8.973728281410004944e+06
1.422324603951074032e-04 8.973702977675689384e+06
1.425934027834183755e-04 8.973677545413950458e+06
1.429552611328773143e-04 8.973651983972257003e+06
1.433180377679125486e-04 8.973626292694775388e+06
1.436817350188516866e-04 8.973600470922349021e+06
1.440463552219354670e-04 8.973574517992470413e+06
1.444119007193337778e-04 8.973548433239277452e+06
1.447783738591597238e-04 8.973522215993525460e+06
1.451457769954856997e-04 8.973495865582583472e+06
1.455141124883575126e-04 8.973469381330398843e+06
1.458833827038104271e-04 8.973442762557500973e+06
1.462535900138839926e-04 8.973416008580965921e+06
1.466247367966368425e-04 8.973389118714408949e+06
1.469968254361629569e-04 8.973362092267964035e+06
1.473698583226058117e-04 8.973334928548267111e+06
1.477438378521750211e-04 8.973307626858437434e+06
1.481187664271603238e-04 8.973280186498058960e+06
1.484946464559484423e-04 8.973252606763163581e+06
1.488714803530371503e-04 8.973224886946214363e+06
1.492492705390519698e-04 8.973197026336090639e+06
1.496280194407612681e-04 8.973169024218054488e+06
1.500077294910912744e-04 8.973140879873752594e+06
1.503884031291429120e-04 8.973112592581190169e+06
1.507700428002061636e-04 8.973084161614699289e+06
1.511526509557770126e-04 8.973055586244951934e+06
1.515362300535719707e-04 8.973026865738898516e+06
1.519207825575451276e-04 8.972997999359792098e+06
1.523063109379026517e-04 8.972968986367134377e+06
1.526928176711198667e-04 8.972939826016686857e+06
1.530803052399565929e-04 8.972910517560428008e+06
1.534687761334727052e-04 8.972881060246540233e+06
1.538582328470451286e-04 8.972851453319406137e+06
1.542486778823826913e-04 8.972821696019569412e+06
1.546401137475434447e-04 8.972791787583718076e+06
1.550325429569494092e-04 8.972761727244680747e+06
1.554259680314041647e-04 8.972731514231389388e+06
1.558203914981075961e-04 8.972701147768866271e+06
1.562158158906734302e-04 8.972670627078207210e+06
1.566122437491448212e-04 8.972639951376557350e+06
1.570096776200103424e-04 8.972609119877096266e+06
1.574081200562214421e-04 8.972578131789010018e+06
1.578075736172074870e-04 8.972546986317468807e+06
1.582080408688935698e-04 8.972515682663632557e+06
1.586095243837156343e-04 8.972484220024596900e+06
1.590120267406383374e-04 8.972452597593383864e+06
1.594155505251703634e-04 8.972420814558936283e+06
1.598200983293821778e-04 8.972388870106076822e+06
1.602256727519215588e-04 8.972356763415498659e+06
1.606322763980312966e-04 8.972324493663739413e+06
1.610399118795655376e-04 8.972292060023162514e+06
1.614485818150059396e-04 8.972259461661940441e+06
1.618582888294797773e-04 8.972226697744023055e+06
1.622690355547754741e-04 8.972193767429124564e+06
1.626808246293607078e-04 8.972160669872699305e+06
1.630936586983981588e-04 8.972127404225921258e+06
1.635075404137635894e-04 8.972093969635663554e+06
1.639224724340624588e-04 8.972060365244468674e+06
1.643384574246464032e-04 8.972026590190537274e+06
1.647554980576315859e-04 8.971992643607698381e+06
1.651735970119145268e-04 8.971958524625398219e+06
1.655927569731906418e-04 8.971924232368664816e+06
1.660129806339700998e-04 8.971889765958087519e+06
1.664342706935965520e-04 8.971855124509803951e+06
1.668566298582630696e-04 8.971820307135473937e+06
1.672800608410308736e-04 8.971785312942244112e+06
1.677045663618454622e-04 8.971750141032753512e+06
1.681301491475552050e-04 8.971714790505072102e+06
1.685568119319283647e-04 8.971679260452711955e+06
1.689845574556702007e-04 8.971643549964593723e+06
1.694133884664416711e-04 8.971607658125009388e+06
1.698433077188757779e-04 8.971571584013616666e+06
1.702743179745967023e-04 8.971535326705405489e+06
1.707064220022360139e-04 8.971498885270688683e+06
1.711396225774517257e-04 8.971462258775049821e+06
1.715739224829456681e-04 8.971425446279352531e+06
1.720093245084808092e-04 8.971388446839695796e+06
1.724458314509003099e-04 8.971351259507391602e+06
1.728834461141442471e-04 8.971313883328946307e+06
1.733221713092688318e-04 8.971276317346042022e+06
